Full Journal Title,JCR Abbreviated Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Average Journal Impact Factor Percentile,Normalized Eigenfactor
HAU-Journal of Ethnographic Theory,HAU-J ETHNOGR THEORY,2575-1433,978,1,0.826,2.094,0.146,103,5.9,14.3,0.00324,1.352,99.03,34.659,0.67938
HAUTARZT,HAUTARZT,0017-8470,"1,301",0.751,0.638,0.699,0.267,172,10.2,6.5,0.00073,0.117,95.93,5.147,0.15487
Head & Face Medicine,HEAD FACE MED,****-****,"1,098",2.151,2.075,2.351,0.194,36,7.1,8.6,0.00087,0.574,88.89,37.912,0.18323
HEAD AND NECK-JOURNAL FOR THE SCIENCES AND SPECIALTIES OF THE HEAD AND NECK,HEAD NECK-J SCI SPEC,1043-3074,"16,925",3.147,2.877,3.343,2.247,542,6.3,6.8,0.01735,0.811,86.53,70.304,3.63524
HEADACHE,HEADACHE,0017-8748,"10,445",5.887,4.749,4.933,1.671,249,8.4,7.6,0.00958,1.291,87.95,85.337,2.00785
HEALTH,HEALTH-LONDON,1363-4593,"1,526",2.279,2.191,2.615,1.027,75,8.2,10.5,0.00151,0.823,98.67,47.869,0.31793
HEALTH & PLACE,HEALTH PLACE,1353-8292,"9,762",4.078,3.682,5.145,0.701,167,7.9,7.5,0.01003,1.426,93.41,79.219,2.1014
HEALTH & SOCIAL CARE IN THE COMMUNITY,HEALTH SOC CARE COMM,0966-0410,"4,551",2.821,2.512,3.163,0.471,418,5.6,7.3,0.00563,0.796,89.95,75.142,1.17995
HEALTH & SOCIAL WORK,HEALTH SOC WORK,0360-7283,"1,307",1.511,1.489,2.199,0.278,18,10.7,7.6,0.00116,0.662,100,32.955,0.24434
HEALTH AFFAIRS,HEALTH AFFAIR,0278-2715,"22,442",6.301,5.976,7.034,2.907,225,7.2,3.9,0.04725,3.843,95.11,96.033,9.90022
Health and Human Rights,HEALTH HUM RIGHTS,1079-0969,829,1.552,1.299,2.082,1.082,61,4.9,4,0.00155,0.769,100,24.148,0.3251
Health and Quality of Life Outcomes,HEALTH QUAL LIFE OUT,****-****,"12,375",3.186,3.028,3.951,0.458,369,8.3,8.8,0.0117,1.092,93.77,64.699,2.45248
HEALTH CARE ANALYSIS,HEALTH CARE ANAL,1065-3058,716,2.524,2.381,1.871,0.583,36,8.9,9.7,0.00069,0.585,100,62.128,0.14651
Health Care for Women International,HEALTH CARE WOMEN IN,0739-9332,"2,160",1.373,1.196,1.542,0.269,145,9.4,8,0.00161,0.397,93.1,25.71,0.33857
HEALTH CARE MANAGEMENT REVIEW,HEALTH CARE MANAGE R,0361-6274,"2,006",3.328,3.194,3.634,1.22,41,10.4,10.6,0.00178,1.056,92.68,77.841,0.37359
Health Care Management Science,HEALTH CARE MANAG SC,1386-9620,"1,496",2.893,2.583,3.016,1.176,51,7.1,7.9,0.00183,0.96,98.04,60.795,0.38521
HEALTH COMMUNICATION,HEALTH COMMUN,1041-0236,"6,101",3.198,2.677,3.434,0.882,433,5.6,9.8,0.00823,0.961,96.07,71.416,1.72458
HEALTH ECONOMICS,HEALTH ECON,1057-9230,"7,932",3.046,2.795,3.429,0.368,174,10.2,8,0.01131,1.6,99.43,66.287,2.37094
Health Economics Policy and Law,HEALTH ECON POLICY L,1744-1331,767,2.446,2.429,2.653,1.438,32,6.2,8.9,0.00142,1.112,96.88,43.75,0.2976
Health Economics Review,HEALTH ECON REV,2191-1991,822,2.306,2.222,2.502,0.316,38,4.9,7.3,0.00185,0.853,81.58,50.57,0.38816
HEALTH EDUCATION & BEHAVIOR,HEALTH EDUC BEHAV,1090-1981,"5,587",2.623,2.529,2.963,1.202,119,10.4,7.2,0.00466,0.922,95.8,57.102,0.97836
HEALTH EDUCATION JOURNAL,HEALTH EDUC J,0017-8969,"1,212",1.299,1.045,1.434,0.302,106,6.3,7.5,0.00121,0.317,95.28,14.82,0.25472
HEALTH EDUCATION RESEARCH,HEALTH EDUC RES,0268-1153,"4,992",1.538,1.462,2.425,0.106,47,12.6,7.4,0.00229,0.775,89.36,23.248,0.48001
HEALTH EXPECTATIONS,HEALTH EXPECT,1369-6513,"4,873",3.377,2.984,3.891,0.709,179,5.3,7.1,0.00854,1.099,85.47,71.397,1.78956
Health Informatics Journal,HEALTH INFORM J,1460-4582,"1,497",2.681,2.386,3,1,210,4.1,7.8,0.0023,0.747,90,44.398,0.48374
Health Information and Libraries Journal,HEALTH INFO LIBR J,1471-1834,"1,539",2.154,1.981,2.187,1.154,52,11.3,6.5,0.00094,0.658,86.54,48.256,0.19728
Health Information Management Journal,HEALTH INF MANAG J,1833-3583,541,3.185,2.556,3.211,1.514,35,5.7,6.1,0.00054,0.751,85.71,59.64,0.1151
HEALTH PHYSICS,HEALTH PHYS,0017-9078,"5,109",1.316,0.94,1.144,1.316,117,13.9,9.9,0.0015,0.207,94.87,16.842,0.31543
HEALTH POLICY,HEALTH POLICY,0168-8510,"9,058",2.98,2.812,3.481,0.751,169,8.8,7.1,0.01001,1.163,79.29,59.438,2.09795
HEALTH POLICY AND PLANNING,HEALTH POLICY PLANN,0268-1080,"6,543",3.344,3.133,3.902,0.798,119,7,6.4,0.01063,1.461,84.87,71.202,2.22885
Health Policy and Technology,HEALTH POLICY TECHN,2211-8837,630,1.931,1.812,1.832,1.354,65,3.3,3.9,0.0009,0.39,93.85,25.568,0.19012
Health Promotion and Chronic Disease Prevention in Canada-Research Policy and Practice,HEALTH PROMOT CHRON,2368-738X,597,3.24,3.147,3.53,0.447,38,3.3,6,0.00167,0.989,94.74,62.315,0.35002
HEALTH PROMOTION INTERNATIONAL,HEALTH PROMOT INT,0957-4824,"4,787",2.483,2.357,2.814,1.554,121,9.3,8.6,0.00429,0.77,91.74,47.884,0.90006
Health Promotion Journal of Australia,HEALTH PROMOT J AUST,1036-1073,"1,247",1.954,1.657,1.947,0.828,157,6.6,7.2,0.00118,0.511,94.27,36.08,0.24891
HEALTH PSYCHOLOGY,HEALTH PSYCHOL,0278-6133,"15,057",4.267,4.148,5.487,2.131,107,10.9,9.4,0.01279,1.854,96.26,81.273,2.67993
Health Psychology Review,HEALTH PSYCHOL REV,1743-7199,"3,102",7.182,6.818,13.76,4,47,5.3,7.7,0.0052,3.921,42.55,96.565,1.09121
Health Reports,HEALTH REP,0840-6529,"1,781",4.796,4.389,4.404,0.923,26,8.7,6.3,0.00177,1.266,100,86,0.37138
Health Research Policy and Systems,HEALTH RES POLICY SY,1478-4505,"2,789",3.318,2.882,3.351,0.954,130,4.5,6.7,0.00547,1.092,81.54,76.705,1.14707
HEALTH RISK & SOCIETY,HEALTH RISK SOC,1369-8575,"1,210",1.756,1.537,1.852,0.792,24,9.8,9.9,0.00065,0.519,95.83,27.667,0.13669
Health Security,HEALTH SECUR,2326-5094,582,1.81,1.514,2.159,0.889,72,3.2,4.6,0.00204,0.832,100,29.83,0.42901
HEALTH SERVICES RESEARCH,HEALTH SERV RES,0017-9124,"9,969",3.402,3.271,3.615,0.617,141,10.5,6.5,0.01334,1.721,98.58,73.832,2.79535
Health Sociology Review,HEALTH SOCIOL REV,1446-1242,765,1.122,1,2.128,0.775,40,8.5,6,0.00073,0.652,100,16.38,0.15321
Health Systems & Reform,HEALTH SYST REFORM,2328-8604,493,3.391,3.261,3.724,2.435,23,3.5,4.5,0.00204,1.713,100,79.403,0.42861
HEALTH TECHNOLOGY ASSESSMENT,HEALTH TECHNOL ASSES,1366-5278,"6,820",4.014,3.924,5.613,0.639,72,8.4,9.5,0.00901,2.08,86.11,75.463,1.88907
Healthcare,HEALTHCARE-BASEL,****-****,"2,175",2.645,2.442,3.044,0.616,563,2.9,6.7,0.0043,0.738,88.45,51.399,0.90102
HealthCare-The Journal of Delivery Science and Innovation,HEALTHCARE-J DEL SCI,2213-0764,636,2.194,2.164,2.3,0.576,59,4.1,5.7,0.00196,0.921,98.31,31.25,0.41134
HEARING RESEARCH,HEARING RES,0378-5955,"11,475",3.208,2.834,3.719,0.978,134,10.6,10.8,0.01019,1.08,87.31,67.53,2.1351
HEART,HEART,1355-6037,"22,182",5.994,5.793,6.308,3.821,223,8.2,5.5,0.02849,2.341,73.54,78.521,5.9692
HEART & LUNG,HEART LUNG,0147-9563,"3,080",2.21,2.086,2.455,1.363,135,7.6,6.6,0.00289,0.691,86.67,36.479,0.60704
HEART AND VESSELS,HEART VESSELS,0910-8327,"2,953",2.037,1.762,1.79,0.433,270,4.4,8,0.00424,0.427,100,23.589,0.88836
Heart Failure Clinics,HEART FAIL CLIN,1551-7136,"1,324",3.179,3.047,2.508,1.429,42,5.2,7.2,0.00175,0.646,78.57,52.465,0.36812
HEART FAILURE REVIEWS,HEART FAIL REV,1382-4147,"3,816",4.214,3.994,5.201,1.533,214,5.1,6.9,0.00496,1.361,69.63,62.324,1.03968
Heart Lung and Circulation,HEART LUNG CIRC,1443-9506,"4,050",2.975,2.771,2.682,1.47,234,4,7,0.0073,0.752,79.49,47.535,1.5311
HEART RHYTHM,HEART RHYTHM,1547-5271,"16,459",6.343,5.907,6.209,3.086,266,5.8,6.8,0.02574,2.015,91.35,81.338,5.39453
HEART SURGERY FORUM,HEART SURG FORUM,1098-3511,696,0.676,0.585,0.751,0.168,173,7.5,8.4,0.0007,0.184,94.22,3.593,0.1483
HEAT AND MASS TRANSFER,HEAT MASS TRANSFER,0947-7411,"6,647",2.464,2.234,2.288,0.619,310,6.7,9.1,0.00504,0.387,98.71,54.181,1.0574
HEAT TRANSFER ENGINEERING,HEAT TRANSFER ENG,0145-7632,"4,723",2.172,1.579,2.32,1.021,237,8.4,9.8,0.00263,0.381,99.58,46.481,0.5518
HEAT TRANSFER RESEARCH,HEAT TRANSF RES,1064-2285,"1,021",2.443,1.976,1.49,0.392,102,2.7,6.6,0.0008,0.173,100,52.419,0.16953
HEC Forum,HEC FORUM,0956-2737,489,1.087,0.978,1.504,0.682,44,8,9.9,0.0006,0.493,97.73,34.821,0.12656
HELGOLAND MARINE RESEARCH,HELGOLAND MAR RES,1438-387X,"1,921",1.241,1.207,1.809,0.154,13,16.3,13.6,0.00056,0.497,100,26.556,0.11803
HELICOBACTER,HELICOBACTER,1083-4389,"3,713",5.753,4.944,4.678,1.258,97,5.7,6.5,0.00374,0.936,89.69,75.926,0.78383
Hellenic Journal of Nuclear Medicine,HELL J NUCL MED,1790-5427,574,1.102,1.046,1.157,0.26,50,5.3,5.8,0.00074,0.242,82,8.582,0.15655
HELMINTHOLOGIA,HELMINTHOLOGIA,0440-6605,722,1.184,0.966,0.96,0.234,47,8.9,11.6,0.0005,0.2,100,23.32,0.10681
HELVETICA CHIMICA ACTA,HELV CHIM ACTA,0018-019X,"6,917",2.164,2.093,1.393,0.544,57,19.4,6.3,0.00161,0.326,91.23,36.034,0.33921
HEMATOLOGICAL ONCOLOGY,HEMATOL ONCOL,0278-0232,"2,224",5.271,5.064,3.954,0.555,110,3.1,5.9,0.00466,1.109,80,68.603,0.97837
Hematology,HEMATOLOGY,1024-5332,"1,936",2.269,2.238,2.033,0.278,72,5.7,7.1,0.00226,0.448,91.67,21.711,0.47463
Hematology-American Society of Hematology Education Program,HEMATOL-AM SOC HEMAT,1520-4391,"3,842",3.061,3.007,4.079,0.076,92,6.6,3.8,0.00588,1.32,90.22,56.998,1.23285
HEMATOLOGY-ONCOLOGY CLINICS OF NORTH AMERICA,HEMATOL ONCOL CLIN N,0889-8588,"3,117",3.722,3.715,3.891,0.612,85,6.4,6.5,0.00391,1.038,64.71,49.138,0.81977
Hemijska Industrija,HEM IND,0367-598X,525,0.627,0.612,0.812,0.097,31,6.6,9.8,0.00032,0.115,96.77,9.441,0.06724
Hemodialysis International,HEMODIAL INT,1492-7535,"1,923",1.812,1.724,1.879,0.355,107,6,8.7,0.00253,0.506,87.85,22.778,0.53197
HEMOGLOBIN,HEMOGLOBIN,0363-0269,"1,325",0.849,0.651,0.9,0.212,99,9.8,10,0.00073,0.179,93.94,3.742,0.15369
Hepatitis Monthly,HEPAT MON,1735-143X,"1,323",0.66,0.577,1.409,0.537,54,6.5,6.7,0.00123,0.31,81.48,0.543,0.25828
Hepatobiliary & Pancreatic Diseases International,HEPATOB PANCREAT DIS,1499-3872,"2,334",3.78,3.667,3.059,0.725,69,5.8,7.4,0.00252,0.651,78.26,45.109,0.52835
Hepatobiliary Surgery and Nutrition,HEPATOBIL SURG NUTR,2304-3881,"1,292",7.293,6.69,5.311,1.647,34,4.1,5.2,0.00228,1.251,58.82,89.309,0.47788
HEPATOLOGY,HEPATOLOGY,0270-9139,"78,043",17.425,16.773,16.555,7.176,346,8.4,6.2,0.08344,5.126,85.84,94.022,17.48351
Hepatology Communications,HEPATOL COMMUN,****-****,"1,919",5.073,4.915,5.122,0.816,185,2.3,5.7,0.00598,1.686,94.59,65.761,1.2549
Hepatology International,HEPATOL INT,1936-0533,"3,481",6.047,5.886,5.975,2.133,98,4.2,4.9,0.0065,1.732,74.49,74.457,1.36389
HEPATOLOGY RESEARCH,HEPATOL RES,1386-6346,"5,658",4.288,3.736,3.651,1.764,144,5.2,6.2,0.00664,0.795,90.97,58.152,1.39236
HERALD OF THE RUSSIAN ACADEMY OF SCIENCES,HER RUSS ACAD SCI+,1019-3316,415,0.56,0.455,0.577,0.07,86,6.8,9.4,0.00075,0.236,90.7,21.298,0.15878
HERD-Health Environments Research & Design Journal,HERD-HEALTH ENV RES,1937-5867,"1,167",2.624,1.612,3.03,0.548,104,5.1,8.5,0.00109,0.54,91.35,57.67,0.22953
Hereditary Cancer in Clinical Practice,HERED CANCER CLIN PR,1731-2302,512,2.857,2.755,2.627,0.409,22,5.2,7.5,0.00083,0.737,81.82,20.455,0.17484
HEREDITAS,HEREDITAS,1601-5223,"1,955",3.271,3.136,2.807,0.333,48,20,8.4,0.00068,0.613,87.5,50,0.14425
HEREDITY,HEREDITY,0018-067X,"10,968",3.821,3.681,4.553,1.062,129,11.8,9.9,0.0083,1.39,90.7,66.656,1.73951
Heritage Science,HERIT SCI,2050-7445,"1,017",2.517,2.058,2.56,0.446,121,3.2,10.4,0.00179,0.578,95.04,47.231,0.37655
Hernia,HERNIA,1265-4906,"5,350",4.739,3.298,3.694,1.028,254,6.5,7.2,0.00505,0.811,87.01,87.5,1.05842
Heroin Addiction and Related Clinical Problems,HEROIN ADDICT REL CL,1592-1638,275,0.955,0.493,0.841,0.324,34,5.3,9.4,0.00019,0.104,97.06,6.757,0.0407
HERPETOLOGICA,HERPETOLOGICA,0018-0831,"3,225",1.676,1.632,1.554,1.279,43,27.8,10.3,0.00084,0.439,97.67,56.286,0.17605
Herpetological Conservation and Biology,HERPETOL CONSERV BIO,2151-0733,928,1.134,1.008,1.275,0.213,61,6.5,14.9,0.00127,0.382,98.36,36.286,0.26715
HERPETOLOGICAL JOURNAL,HERPETOL J,0268-0130,990,0.862,0.741,1.241,0.586,29,11.3,12.4,0.00062,0.356,93.1,22.571,0.13042
HERPETOLOGICAL MONOGRAPHS,HERPETOL MONOGR,0733-1347,471,1.857,1.857,2.28,0.125,8,17.2,17.5,0.00018,0.704,87.5,63.714,0.03797
HERPETOZOA,HERPETOZOA,1013-4425,269,0.841,0.73,1.01,0.111,27,8.3,11.9,0.00029,0.282,100,21.429,0.06147
HERZ,HERZ,0340-9937,"1,529",1.443,1.361,1.124,1.223,157,5.7,6.6,0.00157,0.276,84.08,8.099,0.33069
HERZOGIA,HERZOGIA,0018-0971,401,0.848,0.552,0.82,0.162,37,5.5,13.1,0.00044,0.171,100,14.681,0.09402
HETEROATOM CHEMISTRY,HETEROATOM CHEM,1042-7163,"1,226",1.366,1.366,1.162,0,7,11.7,9.9,0.0004,0.17,100,24.302,0.08392
HETEROCYCLES,HETEROCYCLES,0385-5414,"4,489",0.831,0.702,0.777,0.23,139,14.5,10,0.00137,0.126,92.09,11.404,0.28905
HETEROCYCLIC COMMUNICATIONS,HETEROCYCL COMMUN,0793-0283,656,1.12,1.06,1.045,0.261,23,7.2,9.4,0.00039,0.145,100,21.93,0.0838
HIGH ABILITY STUDIES,HIGH ABIL STUD,1359-8139,547,1.115,1.115,1.769,0.857,21,11.3,12.4,0.0003,0.449,100,9.305,0.06296
HIGH ALTITUDE MEDICINE & BIOLOGY,HIGH ALT MED BIOL,1527-0297,"1,570",1.981,1.63,2.111,1.131,61,7.9,9.2,0.00133,0.535,95.08,26.689,0.2807
HIGH ENERGY CHEMISTRY,HIGH ENERG CHEM+,0018-1439,790,0.762,0.506,0.704,0.28,75,8.4,10.3,0.00042,0.098,98.67,4.012,0.089
High Energy Density Physics,HIGH ENERG DENS PHYS,1574-1818,763,1.218,1.013,1.126,0.354,99,7.2,11.1,0.00085,0.345,97.98,19.118,0.17811
HIGH PERFORMANCE POLYMERS,HIGH PERFORM POLYM,0954-0083,"2,118",2.161,1.606,1.838,0.682,148,4.8,7.1,0.00125,0.197,97.97,41.477,0.26245
High Power Laser Science and Engineering,HIGH POWER LASER SCI,2095-4719,820,3.992,3.92,3.227,0.651,43,2.5,9.2,0.0022,0.919,95.35,82.323,0.46216
HIGH PRESSURE RESEARCH,HIGH PRESSURE RES,0895-7959,"1,854",1.431,1.284,2.243,0.537,53,11.5,12.9,0.0016,0.643,100,33.529,0.3373
HIGH TEMPERATURE,HIGH TEMP+,0018-151X,"1,706",1.094,0.632,0.873,0.204,93,9.9,12.8,0.0011,0.155,90.32,13.438,0.23158
HIGH TEMPERATURE MATERIALS AND PROCESSES,HIGH TEMP MAT PR-ISR,0334-6455,751,0.826,0.803,0.657,0.085,71,6,8.5,0.00064,0.111,98.59,8.806,0.1357
HIGH TEMPERATURES-HIGH PRESSURES,HIGH TEMP-HIGH PRESS,0018-1544,695,0.571,0.508,0.5,1.29,31,19.6,13,0.0002,0.119,96.77,4.057,0.0421
High Voltage,HIGH VOLT,2397-7264,831,4.714,3.095,5.097,0.791,110,2.7,5.9,0.00138,0.928,86.36,84.799,0.29022
HIGHER EDUCATION,HIGH EDUC,0018-1560,"9,225",4.634,4.025,5.171,0.921,228,9,8.6,0.00793,1.371,94.74,88.826,1.66251
Higher Education Policy,HIGH EDUC POLICY,0952-8733,"1,194",2.629,2.484,2.48,0.758,66,8.8,8.7,0.00101,0.667,100,60.417,0.21312
Higher Education Research & Development,HIGH EDUC RES DEV,0729-4360,"4,827",3.851,3.059,4.19,0.69,229,6.7,8.6,0.00471,0.947,97.82,82.386,0.98725
HIMALAYAN GEOLOGY,HIMAL GEOL,0971-8966,442,1.293,1.171,1.327,0.375,24,12.1,20.1,0.00018,0.185,95.83,34.375,0.03902
Hip International,HIP INT,1120-7000,"2,099",2.135,1.923,2.054,0.41,256,5.4,8.9,0.00317,0.599,87.89,39.634,0.6643
HIPPOCAMPUS,HIPPOCAMPUS,1050-9631,"9,540",3.899,3.589,4.148,1.443,106,10.7,10.8,0.00839,1.572,100,54.762,1.75981
Hippokratia,HIPPOKRATIA,1108-4189,"1,114",0.471,0.471,0.934,0,16,9.8,6.1,0.00045,0.184,100,6.805,0.09581
Hiroshima Mathematical Journal,HIROSHIMA MATH J,0018-2079,399,0.6,0.525,0.516,0.1,20,24.4,18.4,0.00041,0.447,100,15.909,0.08778
HISPANIA-A JOURNAL DEVOTED TO THE TEACHING OF SPANISH AND PORTUGUESE,HISPANIA-J DEV INTER,0018-2133,391,0.165,0.147,0.299,0,39,15.1,11.9,0.00059,0.23,100,4.922,0.1246
HISPANIC JOURNAL OF BEHAVIORAL SCIENCES,HISPANIC J BEHAV SCI,0739-9863,"1,875",0.797,0.678,1.597,0.31,29,14.9,9.3,0.00072,0.472,96.55,11.786,0.15182
HISTOCHEMISTRY AND CELL BIOLOGY,HISTOCHEM CELL BIOL,0948-6143,"5,312",4.304,3.804,3.376,1.094,106,9.4,9.8,0.00391,0.756,91.51,70.171,0.82079
HISTOLOGY AND HISTOPATHOLOGY,HISTOL HISTOPATHOL,0213-3911,"4,857",2.303,2.29,2.06,0.743,136,10.1,8.3,0.00261,0.409,76.47,28.788,0.54771
HISTOPATHOLOGY,HISTOPATHOLOGY,0309-0167,"13,171",5.087,4.858,4.424,3.421,240,8.2,6.1,0.0129,1.256,84.17,67.995,2.70425
Historia Agraria,HIST AGRAR,1139-1472,223,0.488,0.419,0.454,0.13,23,11.9,16.2,0.00039,0.399,100,40.099,0.08343
Historia Critica,HIST CRITICA,0121-1617,265,1,0.981,0.738,0.045,22,7.5,17.4,0.00138,0.902,100,80.693,0.28999
HISTORIA MATHEMATICA,HIST MATH,0315-0860,387,0.639,0.472,0.551,0.25,16,23.6,61.3,0.00094,1.183,100,23.175,0.19901
Historia y Politica,HIST POLIT,1575-0361,250,0.5,0.478,0.829,0.16,25,8.1,12.9,0.00137,1.143,100,26.288,0.28863
HISTORICAL BIOLOGY,HIST BIOL,0891-2963,"1,947",2.259,2.015,1.902,0.887,256,5,16.6,0.00261,0.552,99.22,80.556,0.54852
HISTORICAL JOURNAL,HIST J,0018-246X,"1,336",1.181,1.085,0.939,0.293,58,18.7,31.4,0.00302,1.281,91.38,86.634,0.63294
Historical Materialism-Research in Critical Marxist Theory,HIST MATER,1465-4466,514,0.915,0.901,0.77,0.219,32,10.1,18.6,0.00159,0.831,100,17.308,0.33509
HISTORICAL METHODS,HIST METHOD,0161-5440,341,1,0.833,1.123,0.211,19,10.8,17.1,0.00069,0.838,94.74,80.693,0.14637
Historical Records of Australian Science,HIST REC AUST SCI,0727-3061,87,1.111,0.889,0.566,0.176,17,Not Available,48.7,0.00012,0.235,94.12,62.698,0.02686
Historical Social Research-Historische Sozialforschung,HIST SOC RES,0172-6404,924,0.472,0.424,0.778,1.633,49,8.6,12.8,0.00123,0.351,100,20.522,0.25974
Historical Studies in the Natural Sciences,HIST STUD NAT SCI,1939-1811,208,1.162,0.676,1.011,0.25,28,6,26.1,0.00065,0.674,100,57.664,0.13806
HISTORIOGRAPHIA LINGUISTICA,HIST LINGUIST,0302-5160,90,0.409,0.318,0.354,0,5,Not Available,37,0.00042,0.642,80,16.839,0.09007
History and Anthropology,HIST ANTHROPOL,0275-7206,503,1.25,1.163,1.6,0.169,65,4.7,14.3,0.00216,1.167,89.23,66.109,0.45302
HISTORY AND PHILOSOPHY OF LOGIC,HIST PHILOS LOGIC,0144-5340,185,0.75,0.639,0.528,0.133,30,11.1,31.9,0.0006,0.657,100,53.968,0.12608
HISTORY AND PHILOSOPHY OF THE LIFE SCIENCES,HIST PHIL LIFE SCI,0391-9714,415,1.205,1.027,1,0.406,32,8.7,18.9,0.00075,0.461,100,60.541,0.15919
HISTORY AND THEORY,HIST THEORY,0018-2656,"1,357",1.147,1.044,1.06,0.69,42,16.8,18.1,0.00128,0.829,69.05,84.653,0.27
History of Education,HIST EDUC,0046-760X,795,0.871,0.706,0.966,0.153,59,11,29.3,0.00153,0.731,98.31,31.088,0.32168
History of Geo- and Space Sciences,HIST GEO- SPACE SCI,2190-5010,58,0.5,0.344,0.474,0.214,14,Not Available,24.8,0.00007,0.134,100,17.135,0.01644
HISTORY OF POLITICAL ECONOMY,HIST POLIT ECON,0018-2702,902,0.772,0.644,1.055,0.095,42,15.1,37.2,0.00161,0.787,95.24,30.299,0.33775
HISTORY OF PSYCHIATRY,HIST PSYCHIATR,0957-154X,435,0.419,0.387,0.532,0.114,44,13,38.7,0.00045,0.279,97.73,7.07,0.09511
History of Psychology,HIST PSYCHOL,1093-4510,298,1.029,0.857,0.808,0.737,19,8.5,25.3,0.00039,0.367,94.74,42.553,0.08226
HISTORY OF SCIENCE,HIST SCI,0073-2753,589,0.892,0.838,0.844,0.879,33,17.3,27.1,0.0011,1.12,100,48.735,0.23191
History of the Family,HIST FAM,1081-602X,476,1.107,0.946,1.213,0.459,37,8.5,17.3,0.00114,0.819,100,45.729,0.24036
HISTORY OF THE HUMAN SCIENCES,HIST HUM SCI,0952-6951,746,0.69,0.563,0.856,0.814,59,10.7,22.3,0.00105,0.642,86.44,38.637,0.22175
HISTORY WORKSHOP JOURNAL,HIST WORKSHOP J,1363-3554,812,1.096,1.058,1.168,0.667,15,15.9,21,0.00184,1.369,100,83.663,0.38692
HITOTSUBASHI JOURNAL OF ECONOMICS,HITOTSUB J ECON,0018-280X,130,0.706,0.706,0.473,0,4,18,13,0.00005,0.093,100,10.212,0.01102
HIV MEDICINE,HIV MED,1464-2662,"2,926",3.18,2.984,3.317,0.714,126,5.5,6.2,0.00544,1.173,90.48,41.848,1.14105
HIV Research & Clinical Practice,HIV RES CLIN PRACT,2578-7489,20,1.2,1.2,Not Available,0.053,19,Not Available,6.3,0.00011,Not Available,100,7.262,0.02461
HLA,HLA,2059-2302,"1,447",4.513,3.222,3.833,5.757,111,1.2,6.1,0.00174,0.809,92.79,61.024,0.36651
HNO,HNO,0017-6192,"1,608",1.284,1.062,1.213,0.389,180,7.1,7.2,0.00139,0.241,97.78,12.5,0.29294
Hokkaido Mathematical Journal,HOKKAIDO MATH J,0385-4035,454,0.766,0.766,0.62,0.308,13,17.3,20.5,0.0004,0.307,100,32.879,0.08538
Holistic Nursing Practice,HOLIST NURS PRACT,0887-9311,923,1,0.892,1.348,0.146,41,9.8,7.9,0.00068,0.287,87.8,13.574,0.14416
HOLOCENE,HOLOCENE,0959-6836,"7,821",2.769,2.539,2.889,0.981,155,9.7,12.1,0.00722,0.918,96.77,51.505,1.51367
HOLZFORSCHUNG,HOLZFORSCHUNG,0018-3830,"5,589",2.393,2.141,2.363,0.713,115,12,10.4,0.00252,0.399,96.52,75.22,0.52797
Homeopathy,HOMEOPATHY,1475-4916,588,1.444,0.556,1.586,1.448,29,5.9,7.7,0.00027,0.163,82.76,32.759,0.05688
Homicide Studies,HOMICIDE STUD,1088-7679,"1,011",2.8,2.171,2.646,0.394,33,10.8,10.9,0.00059,0.699,96.97,61.594,0.12365
HOMO-JOURNAL OF COMPARATIVE HUMAN BIOLOGY,HOMO,0018-442X,705,0.614,0.6,0.959,0.273,22,10.4,13.6,0.00062,0.309,100,18.75,0.13012
Homology Homotopy and Applications,HOMOL HOMOTOPY APPL,1532-0073,409,0.519,0.506,0.624,0.311,45,9.7,18,0.00138,0.709,100,7.929,0.28916
Hong Kong Journal of Dermatology & Venereology,HONG KONG J DERMATOL,1814-7453,27,0.091,0.091,0.153,0.063,16,Not Available,8.5,0.00003,0.044,68.75,0.735,0.00797
Hong Kong Journal of Emergency Medicine,HONG KONG J EMERG ME,1024-9079,252,0.486,0.468,0.398,0.149,114,7.2,9,0.00028,0.11,90.35,4.688,0.05925
Hong Kong Journal of Occupational Therapy,HONG KONG J OCCUP TH,1569-1861,167,0.917,0.917,1.194,Not Available,0,6.6,Not Available,0.00019,0.299,Not Available,3.676,0.04004
Hong Kong Journal of Paediatrics,HONG KONG J PAEDIATR,1013-9923,127,0.149,0.149,0.243,0.636,33,6.8,9.9,0.0001,0.063,90.91,0.388,0.02292
Hong Kong Law Journal,HONG KONG LAW J,0378-0600,205,0.611,0.222,0.438,0.16,50,6.3,7.4,0.00027,0.13,100,14.901,0.05813
HONG KONG MEDICAL JOURNAL,HONG KONG MED J,1024-2708,"2,398",2.227,1.798,2.319,0.981,53,8.4,7.4,0.002,0.581,81.13,47.041,0.42018
HORMONE AND METABOLIC RESEARCH,HORM METAB RES,0018-5043,"5,245",2.936,2.77,2.772,1.051,117,9.1,7.6,0.00413,0.664,61.54,28.621,0.86655
Hormone Research in Paediatrics,HORM RES PAEDIAT,1663-2818,"2,647",2.852,2.768,2.962,0.605,81,5.6,9,0.00408,0.843,82.72,47.191,0.85616
Hormones & Cancer,HORM CANCER-US,1868-8497,929,3.869,3.803,3.19,0.696,23,5.3,8.3,0.00118,0.752,82.61,45.28,0.2483
