Journal	JournalFullName	ISSN	2022IF	2022AI
J SPORT DEV	JOURNAL OF SPORT FOR DEVELOPMENT	2330-0574	1.1	0.0
J SPORT ECON	JOURNAL OF SPORTS ECONOMICS	1527-0025	1.7	0.571
J SPORT ECON	JOURNAL OF SPORTS ECONOMICS	1527-0025	1.7	0.571
J SPORT EXERCISE PSY	JOURNAL OF SPORT & EXERCISE PSYCHOLOGY	0895-2779	2.4	0.68
J SPORT EXERCISE PSY	JOURNAL OF SPORT & EXERCISE PSYCHOLOGY	0895-2779	2.4	0.68
J SPORT HEALTH RES	JOURNAL OF SPORT AND HEALTH RESEARCH	1989-6239	0.6	0.079
J SPORT HEALTH RES	JOURNAL OF SPORT AND HEALTH RESEARCH	1989-6239	0.6	0.079
J SPORT HEALTH SCI	JOURNAL OF SPORT AND HEALTH SCIENCE	2095-2546	11.7	1.906
J SPORT HEALTH SCI	JOURNAL OF SPORT AND HEALTH SCIENCE	2095-2546	11.7	1.906
J SPORT MANAGE	JOURNAL OF SPORT MANAGEMENT	0888-4773	3.6	0.87
J SPORT MANAGE	JOURNAL OF SPORT MANAGEMENT	0888-4773	3.6	0.87
J SPORT MED PHYS FIT	JOURNAL OF SPORTS MEDICINE AND PHYSICAL FITNESS	0022-4707	1.7	0.378
J SPORT MED PHYS FIT	JOURNAL OF SPORTS MEDICINE AND PHYSICAL FITNESS	0022-4707	1.7	0.378
J SPORT PSYCHOL ACTI	JOURNAL OF SPORT PSYCHOLOGY IN ACTION	2152-0704	1.8	0.405
J SPORT PSYCHOL ACTI	JOURNAL OF SPORT PSYCHOLOGY IN ACTION	2152-0704	1.8	0.405
J SPORT REHABIL	JOURNAL OF SPORT REHABILITATION	1056-6716	1.7	0.452
J SPORT REHABIL	JOURNAL OF SPORT REHABILITATION	1056-6716	1.7	0.452
J SPORT SCI	JOURNAL OF SPORTS SCIENCES	0264-0414	3.4	0.808
J SPORT SCI	JOURNAL OF SPORTS SCIENCES	0264-0414	3.4	0.808
J SPORT SCI MED	JOURNAL OF SPORTS SCIENCE AND MEDICINE	1303-2968	3.2	0.701
J SPORT SCI MED	JOURNAL OF SPORTS SCIENCE AND MEDICINE	1303-2968	3.2	0.701
J SPORT SOC ISSUES	JOURNAL OF SPORT & SOCIAL ISSUES	0193-7235	2.3	0.806
J SPORT SOC ISSUES	JOURNAL OF SPORT & SOCIAL ISSUES	0193-7235	2.3	0.806
J STAT COMPUT SIM	JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION	0094-9655	1.2	0.471
J STAT COMPUT SIM	JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION	0094-9655	1.2	0.471
J STAT DATA SCI EDUC	JOURNAL OF STATISTICS AND DATA SCIENCE EDUCATION	2693-9169	1.7	0.434
J STAT DATA SCI EDUC	JOURNAL OF STATISTICS AND DATA SCIENCE EDUCATION	2693-9169	1.7	0.434
J STAT EDUC	JOURNAL OF STATISTICS EDUCATION	1069-1898	2.2	0.721
J STAT EDUC	JOURNAL OF STATISTICS EDUCATION	1069-1898	2.2	0.721
J STAT MANAG SYST	JOURNAL OF STATISTICS AND MANAGEMENT SYSTEMS	0972-0510	1.6	0.293
J STAT MANAG SYST	JOURNAL OF STATISTICS AND MANAGEMENT SYSTEMS	0972-0510	1.6	0.293
J STAT MECH-THEORY E	JOURNAL OF STATISTICAL MECHANICS-THEORY AND EXPERIMENT	1742-5468	2.4	0.773
J STAT MECH-THEORY E	JOURNAL OF STATISTICAL MECHANICS-THEORY AND EXPERIMENT	1742-5468	2.4	0.773
J STAT PHYS	JOURNAL OF STATISTICAL PHYSICS	0022-4715	1.6	0.875
J STAT PHYS	JOURNAL OF STATISTICAL PHYSICS	0022-4715	1.6	0.875
J STAT PLAN INFER	JOURNAL OF STATISTICAL PLANNING AND INFERENCE	0378-3758	0.9	0.61
J STAT PLAN INFER	JOURNAL OF STATISTICAL PLANNING AND INFERENCE	0378-3758	0.9	0.61
J STAT SOC INQ SO I	JOURNAL OF THE STATISTICAL AND SOCIAL INQUIRY SOCIETY OF IRELAND	0081-4776	0.1	0.087
J STAT SOFTW	JOURNAL OF STATISTICAL SOFTWARE	1548-7660	5.8	9.885
J STAT SOFTW	JOURNAL OF STATISTICAL SOFTWARE	1548-7660	5.8	9.885
J STAT THEORY APPL	JOURNAL OF STATISTICAL THEORY AND APPLICATIONS	2214-1766	1.0	0.209
J STAT THEORY APPL	JOURNAL OF STATISTICAL THEORY AND APPLICATIONS	2214-1766	1.0	0.209
J STAT THEORY PRACT	JOURNAL OF STATISTICAL THEORY AND PRACTICE	1559-8608	0.6	0.242
J STAT THEORY PRACT	JOURNAL OF STATISTICAL THEORY AND PRACTICE	1559-8608	0.6	0.242
J STEM CELLS REGEN	JOURNAL OF STEM CELLS & REGENERATIVE MEDICINE	0973-7154	2.7	0.316
J STEM CELLS REGEN	JOURNAL OF STEM CELLS & REGENERATIVE MEDICINE	0973-7154	2.7	0.316
J STEROID BIOCHEM	JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY	0960-0760	4.1	0.846
J STEROID BIOCHEM	JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY	0960-0760	4.1	0.846
J STOMATOL ORAL MAXI	JOURNAL OF STOMATOLOGY ORAL AND MAXILLOFACIAL SURGERY	2468-8509	2.2	0.471
J STOMATOL ORAL MAXI	JOURNAL OF STOMATOLOGY ORAL AND MAXILLOFACIAL SURGERY	2468-8509	2.2	0.471
J STORED PROD RES	JOURNAL OF STORED PRODUCTS RESEARCH	0022-474X	2.7	0.35
J STORED PROD RES	JOURNAL OF STORED PRODUCTS RESEARCH	0022-474X	2.7	0.35
J STRAIN ANAL ENG	JOURNAL OF STRAIN ANALYSIS FOR ENGINEERING DESIGN	0309-3247	1.6	0.269
J STRAIN ANAL ENG	JOURNAL OF STRAIN ANALYSIS FOR ENGINEERING DESIGN	0309-3247	1.6	0.269
J STRATEG MARK	JOURNAL OF STRATEGIC MARKETING	0965-254X	4.1	0.65
J STRATEG MARK	JOURNAL OF STRATEGIC MARKETING	0965-254X	4.1	0.65
J STRATEGIC INF SYST	JOURNAL OF STRATEGIC INFORMATION SYSTEMS	0963-8687	7.0	3.384
J STRATEGIC INF SYST	JOURNAL OF STRATEGIC INFORMATION SYSTEMS	0963-8687	7.0	3.384
J STRATEGIC STUD	JOURNAL OF STRATEGIC STUDIES	0140-2390	1.9	1.0
J STRATEGIC STUD	JOURNAL OF STRATEGIC STUDIES	0140-2390	1.9	1.0
J STRATEGY MANAG	JOURNAL OF STRATEGY AND MANAGEMENT	1755-425X	3.1	0.444
J STRATEGY MANAG	JOURNAL OF STRATEGY AND MANAGEMENT	1755-425X	3.1	0.444
J STRENGTH COND RES	JOURNAL OF STRENGTH AND CONDITIONING RESEARCH	1064-8011	3.2	0.718
J STRENGTH COND RES	JOURNAL OF STRENGTH AND CONDITIONING RESEARCH	1064-8011	3.2	0.718
J STROKE	JOURNAL OF STROKE	2287-6391	8.2	2.581
J STROKE	JOURNAL OF STROKE	2287-6391	8.2	2.581
J STROKE CEREBROVASC	JOURNAL OF STROKE & CEREBROVASCULAR DISEASES	1052-3057	2.5	0.64
J STROKE CEREBROVASC	JOURNAL OF STROKE & CEREBROVASCULAR DISEASES	1052-3057	2.5	0.64
J STRUCT BIOL	JOURNAL OF STRUCTURAL BIOLOGY	1047-8477	3.0	1.722
J STRUCT BIOL	JOURNAL OF STRUCTURAL BIOLOGY	1047-8477	3.0	1.722
J STRUCT BIOL-X	JOURNAL OF STRUCTURAL BIOLOGY-X	2590-1524	2.9	1.37
J STRUCT BIOL-X	JOURNAL OF STRUCTURAL BIOLOGY-X	2590-1524	2.9	1.37
J STRUCT CHEM+	JOURNAL OF STRUCTURAL CHEMISTRY	0022-4766	0.8	0.09
J STRUCT CHEM+	JOURNAL OF STRUCTURAL CHEMISTRY	0022-4766	0.8	0.09
J STRUCT ENG	JOURNAL OF STRUCTURAL ENGINEERING	0733-9445	4.1	0.869
J STRUCT ENG	JOURNAL OF STRUCTURAL ENGINEERING	0733-9445	4.1	0.869
J STRUCT FINANC	JOURNAL OF STRUCTURED FINANCE	1551-9783	0.4	0.088
J STRUCT FINANC	JOURNAL OF STRUCTURED FINANCE	1551-9783	0.4	0.088
J STRUCT FIRE ENG	JOURNAL OF STRUCTURAL FIRE ENGINEERING	2040-2317	1.0	0.212
J STRUCT FIRE ENG	JOURNAL OF STRUCTURAL FIRE ENGINEERING	2040-2317	1.0	0.212
J STRUCT GEOL	JOURNAL OF STRUCTURAL GEOLOGY	0191-8141	3.1	0.902
J STRUCT GEOL	JOURNAL OF STRUCTURAL GEOLOGY	0191-8141	3.1	0.902
J STRUCT INTEGR MAIN	JOURNAL OF STRUCTURAL INTEGRITY AND MAINTENANCE	2470-5314	2.1	0.347
J STRUCT INTEGR MAIN	JOURNAL OF STRUCTURAL INTEGRITY AND MAINTENANCE	2470-5314	2.1	0.347
J STUD AFF RES PRACT	JOURNAL OF STUDENT AFFAIRS RESEARCH AND PRACTICE	1949-6591	1.1	0.454
J STUD AFF RES PRACT	JOURNAL OF STUDENT AFFAIRS RESEARCH AND PRACTICE	1949-6591	1.1	0.454
J STUD ALCOHOL DRUGS	JOURNAL OF STUDIES ON ALCOHOL AND DRUGS	1937-1888	3.4	1.194
J STUD ALCOHOL DRUGS	JOURNAL OF STUDIES ON ALCOHOL AND DRUGS	1937-1888	3.4	1.194
J STUD EDUC DEV	JOURNAL FOR THE STUDY OF EDUCATION AND DEVELOPMENT	0210-3702	0.8	0.191
J STUD FINANC AID	JOURNAL OF STUDENT FINANCIAL AID	0884-9153	0.8	0.686
J STUD FINANC AID	JOURNAL OF STUDENT FINANCIAL AID	0884-9153	0.8	0.686
J STUD HIST JESUS	JOURNAL FOR THE STUDY OF THE HISTORICAL JESUS	1476-8690	0.2	0.32
J STUD INT EDUC	JOURNAL OF STUDIES IN INTERNATIONAL EDUCATION	1028-3153	2.4	0.993
J STUD INT EDUC	JOURNAL OF STUDIES IN INTERNATIONAL EDUCATION	1028-3153	2.4	0.993
J STUD NEW TESTAMENT	JOURNAL FOR THE STUDY OF THE NEW TESTAMENT	0142-064X	0.3	0.459
J STUD OLD TESTAM	JOURNAL FOR THE STUDY OF THE OLD TESTAMENT	0309-0892	0.3	0.694
J STUD RELIG NAT CUL	JOURNAL FOR THE STUDY OF RELIGION NATURE AND CULTURE	1749-4907	0.5	0.211
J STUDY CHRIST CULT	JOURNAL FOR THE STUDY OF CHRISTIAN CULTURE	2071-9957	0.0	0.0
J STUDY JUD	JOURNAL FOR THE STUDY OF JUDAISM	0047-2212	0.6	1.206
J STUDY PSEUDEPIGR	JOURNAL FOR THE STUDY OF THE PSEUDEPIGRAPHA	0951-8207	0.3	0.465
J STUDY RELIG	JOURNAL FOR THE STUDY OF RELIGION	1011-7601	0.1	0.306
J STUDY RELIG IDEOL	JOURNAL FOR THE STUDY OF RELIGIONS AND IDEOLOGIES	1583-0039	0.3	0.082
J STUDY SPIRITUAL	JOURNAL FOR THE STUDY OF SPIRITUALITY	2044-0243	1.4	0.21
J STUDY SPORTS ATHL	JOURNAL FOR THE STUDY OF SPORTS AND ATHLETES IN EDUCATION	1935-7397	0.7	0.142
J SUBST ABUSE TREAT	JOURNAL OF SUBSTANCE ABUSE TREATMENT	0740-5472	3.9	1.448
J SUBST ABUSE TREAT	JOURNAL OF SUBSTANCE ABUSE TREATMENT	0740-5472	3.9	1.448
J SUBST USE	JOURNAL OF SUBSTANCE USE	1465-9891	0.8	0.22
J SUBST USE	JOURNAL OF SUBSTANCE USE	1465-9891	0.8	0.22
J SUFI STUD	JOURNAL OF SUFI STUDIES	2210-5948	0.4	0.289
J SUFI STUD	JOURNAL OF SUFI STUDIES	2210-5948	0.4	0.289
J SULFUR CHEM	JOURNAL OF SULFUR CHEMISTRY	1741-5993	2.2	0.232
J SULFUR CHEM	JOURNAL OF SULFUR CHEMISTRY	1741-5993	2.2	0.232
J SUPERCOMPUT	JOURNAL OF SUPERCOMPUTING	0920-8542	3.3	0.384
J SUPERCOMPUT	JOURNAL OF SUPERCOMPUTING	0920-8542	3.3	0.384
J SUPERCOND NOV MAGN	JOURNAL OF SUPERCONDUCTIVITY AND NOVEL MAGNETISM	1557-1939	1.8	0.248
J SUPERCOND NOV MAGN	JOURNAL OF SUPERCONDUCTIVITY AND NOVEL MAGNETISM	1557-1939	1.8	0.248
J SUPERCRIT FLUID	JOURNAL OF SUPERCRITICAL FLUIDS	0896-8446	3.9	0.544
J SUPERCRIT FLUID	JOURNAL OF SUPERCRITICAL FLUIDS	0896-8446	3.9	0.544
J SUPERHARD MATER+	JOURNAL OF SUPERHARD MATERIALS	1063-4576	0.9	0.099
J SUPERHARD MATER+	JOURNAL OF SUPERHARD MATERIALS	1063-4576	0.9	0.099
J SUPPLY CHAIN MANAG	JOURNAL OF SUPPLY CHAIN MANAGEMENT	1523-2409	10.6	2.286
J SUPPLY CHAIN MANAG	JOURNAL OF SUPPLY CHAIN MANAGEMENT	1523-2409	10.6	2.286
J SUPREME COURT HIST	JOURNAL OF SUPREME COURT HISTORY	1059-4329	0.1	0.051
J SUPREME COURT HIST	JOURNAL OF SUPREME COURT HISTORY	1059-4329	0.1	0.051
J SURF INVESTIG	JOURNAL OF SURFACE INVESTIGATION	1027-4510	0.4	0.073
J SURF INVESTIG	JOURNAL OF SURFACE INVESTIGATION	1027-4510	0.4	0.073
J SURFACTANTS DETERG	JOURNAL OF SURFACTANTS AND DETERGENTS	1097-3958	1.6	0.217
J SURFACTANTS DETERG	JOURNAL OF SURFACTANTS AND DETERGENTS	1097-3958	1.6	0.217
J SURG CASE REP	JOURNAL OF SURGICAL CASE REPORTS	2042-8812	0.5	0.123
J SURG CASE REP	JOURNAL OF SURGICAL CASE REPORTS	2042-8812	0.5	0.123
J SURG EDUC	JOURNAL OF SURGICAL EDUCATION	1931-7204	2.9	0.961
J SURG EDUC	JOURNAL OF SURGICAL EDUCATION	1931-7204	2.9	0.961
J SURG ONCOL	JOURNAL OF SURGICAL ONCOLOGY	0022-4790	2.5	0.869
J SURG ONCOL	JOURNAL OF SURGICAL ONCOLOGY	0022-4790	2.5	0.869
J SURG RES	JOURNAL OF SURGICAL RESEARCH	0022-4804	2.2	0.704
J SURG RES	JOURNAL OF SURGICAL RESEARCH	0022-4804	2.2	0.704
J SURV ENG	JOURNAL OF SURVEYING ENGINEERING	0733-9453	1.9	0.398
J SURV ENG	JOURNAL OF SURVEYING ENGINEERING	0733-9453	1.9	0.398
J SURV STAT METHODOL	JOURNAL OF SURVEY STATISTICS AND METHODOLOGY	2325-0984	2.1	1.132
J SURV STAT METHODOL	JOURNAL OF SURVEY STATISTICS AND METHODOLOGY	2325-0984	2.1	1.132
J SUSTAIN CEM-BASED	JOURNAL OF SUSTAINABLE CEMENT-BASED MATERIALS	2165-0373	4.4	0.641
J SUSTAIN CEM-BASED	JOURNAL OF SUSTAINABLE CEMENT-BASED MATERIALS	2165-0373	4.4	0.641
J SUSTAIN DEV ENERGY	JOURNAL OF SUSTAINABLE DEVELOPMENT OF ENERGY WATER AND ENVIRONMENT SYSTEMS-JSDEWES	1848-9257	2.1	0.275
J SUSTAIN DEV ENERGY	JOURNAL OF SUSTAINABLE DEVELOPMENT OF ENERGY WATER AND ENVIRONMENT SYSTEMS-JSDEWES	1848-9257	2.1	0.275
J SUSTAIN FINANC INV	JOURNAL OF SUSTAINABLE FINANCE & INVESTMENT	2043-0795	4.3	0.67
J SUSTAIN FINANC INV	JOURNAL OF SUSTAINABLE FINANCE & INVESTMENT	2043-0795	4.3	0.67
J SUSTAIN FOREST	JOURNAL OF SUSTAINABLE FORESTRY	1054-9811	1.6	0.33
J SUSTAIN FOREST	JOURNAL OF SUSTAINABLE FORESTRY	1054-9811	1.6	0.33
J SUSTAIN METALL	JOURNAL OF SUSTAINABLE METALLURGY	2199-3823	2.4	0.47
J SUSTAIN METALL	JOURNAL OF SUSTAINABLE METALLURGY	2199-3823	2.4	0.47
J SUSTAIN MINING	JOURNAL OF SUSTAINABLE MINING	2543-4950	1.0	0.0
J SUSTAIN MINING	JOURNAL OF SUSTAINABLE MINING	2543-4950	1.0	0.0
J SUSTAIN TOUR	JOURNAL OF SUSTAINABLE TOURISM	0966-9582	9.0	1.585
J SUSTAIN TOUR	JOURNAL OF SUSTAINABLE TOURISM	0966-9582	9.0	1.585
J SUSTAIN WATER BUIL	JOURNAL OF SUSTAINABLE WATER IN THE BUILT ENVIRONMENT	2379-6111	1.9	0.376
J SUSTAIN WATER BUIL	JOURNAL OF SUSTAINABLE WATER IN THE BUILT ENVIRONMENT	2379-6111	1.9	0.376
J SWINE HEALTH PROD	JOURNAL OF SWINE HEALTH AND PRODUCTION	1537-209X	0.7	0.186
J SWINE HEALTH PROD	JOURNAL OF SWINE HEALTH AND PRODUCTION	1537-209X	0.7	0.186
J TAIWAN INST CHEM E	JOURNAL OF THE TAIWAN INSTITUTE OF CHEMICAL ENGINEERS	1876-1070	5.7	0.617
J TEKNOL	JURNAL TEKNOLOGI-SCIENCES & ENGINEERING	0127-9696	0.7	0.094
J TEXT I	JOURNAL OF THE TEXTILE INSTITUTE	0040-5000	1.7	0.0
J THEOL INTERPRET	JOURNAL OF THEOLOGICAL INTERPRETATION	1936-0843	0.1	0.0
J THEOL STUD	JOURNAL OF THEOLOGICAL STUDIES	0022-5185	0.4	0.7
J THEOR APP MECH-POL	JOURNAL OF THEORETICAL AND APPLIED MECHANICS	1429-2955	0.7	0.125
J THEOR APPL EL COMM	JOURNAL OF THEORETICAL AND APPLIED ELECTRONIC COMMERCE RESEARCH	0718-1876	5.6	0.64
J THEOR APPL MECH-BU	JOURNAL OF THEORETICAL AND APPLIED MECHANICS-BULGARIA	0861-6663	0.2	0.082
J THEOR BIOL	JOURNAL OF THEORETICAL BIOLOGY	0022-5193	2.0	0.536
J THEOR COMPUT ACOUS	JOURNAL OF THEORETICAL AND COMPUTATIONAL ACOUSTICS	2591-7285	1.9	0.26
J THEOR COMPUT CHEM	JOURNAL OF THEORETICAL & COMPUTATIONAL CHEMISTRY	0219-6336	2.4	0.161
J THEOR NOMBR BORDX	JOURNAL DE THEORIE DES NOMBRES DE BORDEAUX	1246-7405	0.4	0.528
J THEOR PHILOS PSYCH	JOURNAL OF THEORETICAL AND PHILOSOPHICAL PSYCHOLOGY	1068-8471	1.3	0.642
J THEOR POLIT	JOURNAL OF THEORETICAL POLITICS	0951-6298	1.0	0.667
J THEOR PROBAB	JOURNAL OF THEORETICAL PROBABILITY	0894-9840	0.8	0.626
J THEOR SOC BEHAV	JOURNAL FOR THE THEORY OF SOCIAL BEHAVIOUR	0021-8308	1.4	0.717
J THEOR SOC PSYCHOL	JOURNAL OF THEORETICAL SOCIAL PSYCHOLOGY	2475-0387	1.8	0.0
J THERM ANAL CALORIM	JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY	1388-6150	4.4	0.442
J THERM BIOL	JOURNAL OF THERMAL BIOLOGY	0306-4565	2.7	0.586
J THERM ENG	JOURNAL OF THERMAL ENGINEERING	2148-7847	1.1	0.131
J THERM SCI	JOURNAL OF THERMAL SCIENCE	1003-2169	2.5	0.385
J THERM SCI ENG APPL	JOURNAL OF THERMAL SCIENCE AND ENGINEERING APPLICATIONS	1948-5085	2.1	0.288
J THERM SCI TECH-JPN	JOURNAL OF THERMAL SCIENCE AND TECHNOLOGY	1880-5566	1.2	0.227
J THERM SPRAY TECHN	JOURNAL OF THERMAL SPRAY TECHNOLOGY	1059-9630	3.1	0.442
J THERM STRESSES	JOURNAL OF THERMAL STRESSES	0149-5739	2.8	0.435
J THERMOPHYS HEAT TR	JOURNAL OF THERMOPHYSICS AND HEAT TRANSFER	0887-8722	2.1	0.314
J THERMOPLAST COMPOS	JOURNAL OF THERMOPLASTIC COMPOSITE MATERIALS	0892-7057	3.3	0.317
J THORAC CARDIOV SUR	JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY	0022-5223	6.0	1.928
J THORAC DIS	JOURNAL OF THORACIC DISEASE	2072-1439	2.5	0.68
J THORAC IMAG	JOURNAL OF THORACIC IMAGING	0883-5993	3.3	0.735
J THORAC ONCOL	JOURNAL OF THORACIC ONCOLOGY	1556-0864	20.4	5.351
J THROID RES	JOURNAL OF THYROID RESEARCH	2090-8067	2.1	0.431
J THROMB HAEMOST	JOURNAL OF THROMBOSIS AND HAEMOSTASIS	1538-7933	10.4	2.373
J THROMB THROMBOLYS	JOURNAL OF THROMBOSIS AND THROMBOLYSIS	0929-5305	4.0	0.819
J TIME SER ANAL	JOURNAL OF TIME SERIES ANALYSIS	0143-9782	0.9	0.835
J TIME SER ECONOM	JOURNAL OF TIME SERIES ECONOMETRICS	2194-6507	0.8	0.176
J TISSUE ENG	JOURNAL OF TISSUE ENGINEERING	2041-7314	8.2	1.108
J TISSUE ENG REGEN M	JOURNAL OF TISSUE ENGINEERING AND REGENERATIVE MEDICINE	1932-6254	3.3	0.583
J TISSUE VIABILITY	JOURNAL OF TISSUE VIABILITY	0965-206X	2.5	0.594
J TOPOL	JOURNAL OF TOPOLOGY	1753-8416	1.1	1.868
J TOPOL ANAL	JOURNAL OF TOPOLOGY AND ANALYSIS	1793-5253	0.8	0.868
J TORREY BOT SOC	JOURNAL OF THE TORREY BOTANICAL SOCIETY	1095-5674	0.3	0.151
J TOUR CULT CHANGE	JOURNAL OF TOURISM AND CULTURAL CHANGE	1476-6825	2.2	0.446
J TOUR FUTURES	JOURNAL OF TOURISM FUTURES	2055-5911	6.7	1.023
J TOUR HIST	JOURNAL OF TOURISM HISTORY	1755-182X	0.2	0.149
J TOUR SERV	JOURNAL OF TOURISM AND SERVICES	1804-5650	6.0	0.461
J TOURISM MANAG RES	JOURNAL OF TOURISM MANAGEMENT RESEARCH	2408-9117	1.7	0.0
J TOXICOL ENV HEAL A	JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A-CURRENT ISSUES	1528-7394	2.6	0.371
J TOXICOL ENV HEAL B	JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS	1093-7404	7.2	1.602
J TOXICOL PATHOL	JOURNAL OF TOXICOLOGIC PATHOLOGY	0914-9198	1.2	0.273
J TOXICOL SCI	JOURNAL OF TOXICOLOGICAL SCIENCES	0388-1350	2.0	0.329
J TOXICOL-US	JOURNAL OF TOXICOLOGY	1687-8191	2.9	0.651
J TRACE ELEM MED BIO	JOURNAL OF TRACE ELEMENTS IN MEDICINE AND BIOLOGY	0946-672X	3.5	0.524
J TRADIT CHIN MED	JOURNAL OF TRADITIONAL CHINESE MEDICINE	0255-2922	2.6	0.278
J TRADIT COMPL MED	JOURNAL OF TRADITIONAL AND COMPLEMENTARY MEDICINE	2225-4110	4.5	0.0
J TRAFFIC TRANSP ENG	JOURNAL OF TRAFFIC AND TRANSPORTATION ENGINEERING-ENGLISH EDITION	2095-7564	7.9	0.966
J TRANSCULT NURS	JOURNAL OF TRANSCULTURAL NURSING	1043-6596	2.1	0.575
J TRANSFORM EDUC	JOURNAL OF TRANSFORMATIVE EDUCATION	1541-3446	1.0	5.113
J TRANSL AUTOIMMUN	JOURNAL OF TRANSLATIONAL AUTOIMMUNITY	2589-9090	3.9	1.008
J TRANSL INTERN MED	JOURNAL OF TRANSLATIONAL INTERNAL MEDICINE	2450-131X	4.9	0.719
J TRANSL MED	JOURNAL OF TRANSLATIONAL MEDICINE	1479-5876	7.4	1.371
J TRANSP ECON POLICY	JOURNAL OF TRANSPORT ECONOMICS AND POLICY	0022-5258	0.9	0.328
J TRANSP ENG A-SYST	JOURNAL OF TRANSPORTATION ENGINEERING PART A-SYSTEMS	2473-2907	2.1	0.425
J TRANSP ENG B-PAVE	JOURNAL OF TRANSPORTATION ENGINEERING PART B-PAVEMENTS	2573-5438	2.3	0.437
J TRANSP GEOGR	JOURNAL OF TRANSPORT GEOGRAPHY	0966-6923	6.1	1.291
J TRANSP HEALTH	JOURNAL OF TRANSPORT & HEALTH	2214-1405	3.6	0.86
J TRANSP HIST	JOURNAL OF TRANSPORT HISTORY	0022-5266	0.7	0.319
J TRANSP LAND USE	JOURNAL OF TRANSPORT AND LAND USE	1938-7849	1.9	0.754
J TRANSP SAF SECUR	JOURNAL OF TRANSPORTATION SAFETY & SECURITY	1943-9962	2.6	0.514
J TRANSP SECUR	JOURNAL OF TRANSPORTATION SECURITY	1938-7741	1.3	0.196
J TRANSP SUPPLY CHAI	JOURNAL OF TRANSPORT AND SUPPLY CHAIN MANAGEMENT	2310-8789	1.5	0.172
J TRANSPLANT	JOURNAL OF TRANSPLANTATION	2090-0007	2.5	0.594
J TRAUMA ACUTE CARE	JOURNAL OF TRAUMA AND ACUTE CARE SURGERY	2163-0755	3.4	1.113
J TRAUMA DISSOCIATIO	JOURNAL OF TRAUMA & DISSOCIATION	1529-9732	3.3	1.084
J TRAUMA NURS	JOURNAL OF TRAUMA NURSING	1078-7496	1.0	0.352
J TRAUMA STRESS	JOURNAL OF TRAUMATIC STRESS	0894-9867	3.3	1.329
J TRAVEL MED	JOURNAL OF TRAVEL MEDICINE	1195-1982	25.7	4.012
J TRAVEL RES	JOURNAL OF TRAVEL RESEARCH	0047-2875	8.9	1.938
J TRAVEL TOUR MARK	JOURNAL OF TRAVEL & TOURISM MARKETING	1054-8408	7.2	1.346
J TRIBOLOGI	JURNAL TRIBOLOGI	2289-7232	1.5	0.147
J TRIBOL-T ASME	JOURNAL OF TRIBOLOGY-TRANSACTIONS OF THE ASME	0742-4787	2.5	0.336
J TROP ECOL	JOURNAL OF TROPICAL ECOLOGY	0266-4674	1.4	0.58
J TROP FOR SCI	JOURNAL OF TROPICAL FOREST SCIENCE	0128-1283	0.9	0.153
J TROP MED-US	JOURNAL OF TROPICAL MEDICINE	1687-9686	2.2	0.56
J TROP METEOROL	JOURNAL OF TROPICAL METEOROLOGY	1006-8775	1.2	0.207
J TROP PEDIATRICS	JOURNAL OF TROPICAL PEDIATRICS	0142-6338	2.0	0.458
J TRUST RES	JOURNAL OF TRUST RESEARCH	2151-5581	1.4	0.978
J TURBOMACH	JOURNAL OF TURBOMACHINERY-TRANSACTIONS OF THE ASME	0889-504X	1.7	0.485
J TURBUL	JOURNAL OF TURBULENCE	1468-5248	1.9	0.631
J TURK SLEEP MED	JOURNAL OF TURKISH SLEEP MEDICINE-TURK UYKU TIBBI DERGISI	2148-1504	0.6	0.107
J TURK-GER GYNECOL A	JOURNAL OF THE TURKISH-GERMAN GYNECOLOGICAL ASSOCIATION	1309-0399	1.4	0.307
J ULTRAS MED	JOURNAL OF ULTRASOUND IN MEDICINE	0278-4297	2.3	0.587
J ULTRASON	JOURNAL OF ULTRASONOGRAPHY	2084-8404	1.1	0.301
J ULTRASOUND	JOURNAL OF ULTRASOUND	1971-3495	2.0	0.465
J UNIV TEACH LEARN P	JOURNAL OF UNIVERSITY TEACHING AND LEARNING PRACTICE	1449-9789	1.6	0.3
J UNIVERS COMPUT SCI	JOURNAL OF UNIVERSAL COMPUTER SCIENCE	0948-695X	1.0	0.18
J UNMANNED VEH SYST	JOURNAL OF UNMANNED VEHICLE SYSTEMS	2291-3467	2.3	0.386
J UNSCH ALTERN LEARN	JOURNAL OF UNSCHOOLING AND ALTERNATIVE LEARNING	1916-8128	0.1	0.011
J URBAN AFF	JOURNAL OF URBAN AFFAIRS	0735-2166	2.1	0.811
J URBAN CULT RES	JOURNAL OF URBAN CULTURE RESEARCH	2228-8279	0.5	0.057
J URBAN DES	JOURNAL OF URBAN DESIGN	1357-4809	2.1	0.552
J URBAN ECON	JOURNAL OF URBAN ECONOMICS	0094-1190	6.3	3.26
