Full title,Abbreviation,Country,SCIE,SSCI,AHCI,ESCI
JOURNAL OF MEDICAL ENTOMOLOGY,J MED ENTOMOL,UNITED STATES,X,,,
JOURNAL OF MEDICAL ETHICS,J MED ETHICS,ENGLAND,X,X,,
JOURNAL OF MEDICAL ETHICS AND HISTORY OF MEDICINE,J MED ETHICS HIST ME,IRAN,,,,X
JOURNAL OF MEDICAL GENETICS,J MED GENET,ENGLAND,X,,,
JOURNAL OF MEDICAL HUMANITIES,J MED HUMANIT,UNITED STATES,,,,X
JOURNAL OF MEDICAL IMAGING,J MED IMAGING,UNITED STATES,,,,X
JOURNAL OF MEDICAL IMAGING AND RADIATION ONCOLOGY,J MED IMAG RADIAT ON,AUSTRALIA,X,,,
JOURNAL OF MEDICAL IMAGING AND RADIATION SCIENCES,J MED IMAGING RADIAT,UNITED STATES,,,,X
JOURNAL OF MEDICAL INTERNET RESEARCH,J MED INTERNET RES,CANADA,X,,,
JOURNAL OF MEDICAL INVESTIGATION,J MED INVESTIG,JAPAN,,,,X
JOURNAL OF MEDICAL MICROBIOLOGY,J MED MICROBIOL,ENGLAND,X,,,
JOURNAL OF MEDICAL PHYSICS,J MED PHYS,INDIA,,,,X
JOURNAL OF MEDICAL PRIMATOLOGY,J MED PRIMATOL,SWITZERLAND,X,,,
JOURNAL OF MEDICAL RADIATION SCIENCES,J MED RADIAT SCI,ENGLAND,,,,X
JOURNAL OF MEDICAL SCIENCE,J MED SCI-POLAND,POLAND,,,,X
JOURNAL OF MEDICAL SCREENING,J MED SCREEN,ENGLAND,X,,,
JOURNAL OF MEDICAL SIGNALS & SENSORS,J MED SIGNALS SENS,IRAN,,,,X
JOURNAL OF MEDICAL SYSTEMS,J MED SYST,UNITED STATES,X,,,
JOURNAL OF MEDICAL TOXICOLOGY,J MED TOXICOL,UNITED STATES,X,,,
JOURNAL OF MEDICAL ULTRASONICS,J MED ULTRASON,JAPAN,X,,,
JOURNAL OF MEDICAL ULTRASOUND,J MED ULTRASOUND,TAIWAN,,,,X
JOURNAL OF MEDICAL VIROLOGY,J MED VIROL,UNITED STATES,X,,,
JOURNAL OF MEDICINAL CHEMISTRY,J MED CHEM,UNITED STATES,X,,,
JOURNAL OF MEDICINAL FOOD,J MED FOOD,UNITED STATES,X,,,
JOURNAL OF MEDICINAL PLANTS AND BY-PRODUCTS-JMPB,J MED PLANTS BY-PROD,IRAN,,,,X
JOURNAL OF MEDICINAL PLANTS FOR ECONOMIC DEVELOPMENT,J MED PLANTS EC DEV,SOUTH AFRICA,,,,X
JOURNAL OF MEDICINE ACCESS,J MED ACCESS,ENGLAND,,,,X
JOURNAL OF MEDICINE AND PHILOSOPHY,J MED PHILOS,UNITED STATES,,X,,
JOURNAL OF MEDIEVAL AND EARLY MODERN STUDIES,J MEDIEV EARLY MOD S,UNITED STATES,,,X,
JOURNAL OF MEDIEVAL HISTORY,J MEDIEVAL HIST,NETHERLANDS,,,X,
JOURNAL OF MEDIEVAL IBERIAN STUDIES,J MEDIEV IBER STUD,UNITED STATES,,,X,
JOURNAL OF MEDIEVAL RELIGIOUS CULTURES,J MEDIEV RELIG CULT,UNITED STATES,,,,X
JOURNAL OF MEDITERRANEAN ARCHAEOLOGY,J MEDITERR ARCHAEOL,UNITED STATES,,,X,
JOURNAL OF MEHMET AKIF ERSOY UNIVERSITY ECONOMICS AND ADMINISTRATIVE SCIENCES FACULTY,J MEHMET AKIF ERSOY,TURKIYE,,,,X
JOURNAL OF MEMBRANE BIOLOGY,J MEMBRANE BIOL,UNITED STATES,X,,,
JOURNAL OF MEMBRANE COMPUTING,J MEMBRANE COMPUT,SINGAPORE,,,,X
JOURNAL OF MEMBRANE SCIENCE,J MEMBRANE SCI,NETHERLANDS,X,,,
JOURNAL OF MEMBRANE SCIENCE LETTERS,J MEMBRANE SCI LETT,NETHERLANDS,,,,X
JOURNAL OF MEMORY AND LANGUAGE,J MEM LANG,UNITED STATES,X,X,,
JOURNAL OF MENS HEALTH,J MENS HEALTH,SINGAPORE,X,X,,
JOURNAL OF MENTAL HEALTH,J MENT HEALTH,ENGLAND,,X,,
JOURNAL OF MENTAL HEALTH AND HUMAN BEHAVIOUR,J MENT HEALTH HUM BE,INDIA,,,,X
JOURNAL OF MENTAL HEALTH POLICY AND ECONOMICS,J MENT HEALTH POLICY,ITALY,,X,,
JOURNAL OF MENTAL HEALTH RESEARCH IN INTELLECTUAL DISABILITIES,J MENT HEALTH RES IN,ENGLAND,,X,,
JOURNAL OF MENTAL HEALTH TRAINING EDUCATION AND PRACTICE,J MENT HEALTH TRAIN,ENGLAND,,,,X
JOURNAL OF METALS MATERIALS AND MINERALS,J MET MATER MINER,THAILAND,,,,X
JOURNAL OF METAMORPHIC GEOLOGY,J METAMORPH GEOL,ENGLAND,X,,,
JOURNAL OF METAVERSE,J METAVERSE,TURKIYE,,,,X
JOURNAL OF METEOROLOGICAL RESEARCH,J METEOROL RES-PRC,PEOPLES R CHINA,X,,,
JOURNAL OF MICRO AND BIO ROBOTICS,J MICRO BIO ROBOT,GERMANY,,,,X
JOURNAL OF MICRO AND NANO-MANUFACTURING,J MICRO NANO-MANUF,UNITED STATES,,,,X
JOURNAL OF MICROBIOLOGICAL METHODS,J MICROBIOL METH,NETHERLANDS,X,,,
JOURNAL OF MICROBIOLOGY,J MICROBIOL,SOUTH KOREA,X,,,
JOURNAL OF MICROBIOLOGY & BIOLOGY EDUCATION,J MICROBIOL BIOL EDU,UNITED STATES,,,,X
JOURNAL OF MICROBIOLOGY AND BIOTECHNOLOGY,J MICROBIOL BIOTECHN,SOUTH KOREA,X,,,
JOURNAL OF MICROBIOLOGY BIOTECHNOLOGY AND FOOD SCIENCES,J MICROB BIOTEC FOOD,SLOVAKIA,,,,X
JOURNAL OF MICROBIOLOGY IMMUNOLOGY AND INFECTION,J MICROBIOL IMMUNOL,TAIWAN,X,,,
JOURNAL OF MICROELECTROMECHANICAL SYSTEMS,J MICROELECTROMECH S,UNITED STATES,X,,,
JOURNAL OF MICROENCAPSULATION,J MICROENCAPSUL,ENGLAND,X,,,
JOURNAL OF MICROMECHANICS AND MICROENGINEERING,J MICROMECH MICROENG,ENGLAND,X,,,
JOURNAL OF MICRO-NANOPATTERNING MATERIALS AND METROLOGY-JM3,J MICRO-NANOPATTERN,UNITED STATES,X,,,
JOURNAL OF MICROORGANISM CONTROL,J MICROORG CONTROL,JAPAN,X,,,
JOURNAL OF MICROPALAEONTOLOGY,J MICROPALAEONTOL,GERMANY,X,,,
JOURNAL OF MICROSCOPY,J MICROSC-OXFORD,ENGLAND,X,,,
JOURNAL OF MICROWAVE POWER AND ELECTROMAGNETIC ENERGY,J MICROWAVE POWER EE,UNITED STATES,X,,,
JOURNAL OF MIDDLE EAST WOMENS STUDIES,J MIDDLE E WOMENS ST,UNITED STATES,,X,,
JOURNAL OF MID-LIFE HEALTH,J MID-LIFE HEALTH,INDIA,,,,X
JOURNAL OF MIDWIFERY & WOMENS HEALTH,J MIDWIFERY WOM HEAL,UNITED STATES,X,X,,
JOURNAL OF MIGRATION AND HEALTH,J MIGRATION HEALTH,ENGLAND,,,,X
JOURNAL OF MIGRATION HISTORY,J MIGRATION HIST,NETHERLANDS,,,,X
JOURNAL OF MILITARY AND STRATEGIC STUDIES,J MIL STRATEG STUD,CANADA,,,,X
JOURNAL OF MILITARY AND VETERANS HEALTH,J MIL VETERANS HEALT,AUSTRALIA,,,,X
JOURNAL OF MILITARY HISTORY,J MILITARY HIST,UNITED STATES,,,X,
JOURNAL OF MILITARY VETERAN AND FAMILY HEALTH,J MIL VETERAN FAM HL,CANADA,,,,X
JOURNAL OF MINERALOGICAL AND PETROLOGICAL SCIENCES,J MINER PETROL SCI,JAPAN,X,,,
JOURNAL OF MINIMAL ACCESS SURGERY,J MINIM ACCESS SURG,INDIA,X,,,
JOURNAL OF MINIMALLY INVASIVE GYNECOLOGY,J MINIM INVAS GYN,UNITED STATES,X,,,
JOURNAL OF MINIMALLY INVASIVE SPINE SURGERY AND TECHNIQUE,J MINIM INVAS SPINE,SOUTH KOREA,,,,X
JOURNAL OF MINING AND ENVIRONMENT,J MIN ENVIRON,IRAN,,,,X
JOURNAL OF MINING AND METALLURGY SECTION B-METALLURGY,J MIN METALL B,SERBIA,X,,,
JOURNAL OF MINING INSTITUTE,J MIN INST,RUSSIA,,,,X
JOURNAL OF MINING SCIENCE,J MIN SCI+,RUSSIA,X,,,
JOURNAL OF MIXED METHODS RESEARCH,J MIX METHOD RES,UNITED STATES,,X,,
JOURNAL OF MODELLING IN MANAGEMENT,J MODEL MANAG,ENGLAND,,,,X
JOURNAL OF MODERN AFRICAN STUDIES,J MOD AFR STUD,ENGLAND,,X,,
JOURNAL OF MODERN CRAFT,J MOD CRAFT,ENGLAND,,,X,
JOURNAL OF MODERN DYNAMICS,J MOD DYNAM,UNITED STATES,X,,,
JOURNAL OF MODERN EUROPEAN HISTORY,J MOD EUR HIST,ENGLAND,,X,X,
JOURNAL OF MODERN GREEK STUDIES,J MOD GREEK STUD,UNITED STATES,,,X,
JOURNAL OF MODERN HISTORY,J MOD HIST,UNITED STATES,,X,X,
JOURNAL OF MODERN ITALIAN STUDIES,J MOD ITAL STUD,ENGLAND,,X,X,
JOURNAL OF MODERN JEWISH STUDIES,J MOD JEW STUD,ENGLAND,,,,X
JOURNAL OF MODERN LITERATURE,J MOD LIT,UNITED STATES,,,X,
JOURNAL OF MODERN OPTICS,J MOD OPTIC,ENGLAND,X,,,
JOURNAL OF MODERN PERIODICAL STUDIES,J MOD PERIOD STUD,UNITED STATES,,,,X
JOURNAL OF MODERN POWER SYSTEMS AND CLEAN ENERGY,J MOD POWER SYST CLE,PEOPLES R CHINA,X,,,
JOURNAL OF MODERN RUSSIAN HISTORY AND HISTORIOGRAPHY,J MOD RUSS HIST HIS,NETHERLANDS,,,,X
JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,J MOL CELL CARDIOL,ENGLAND,X,,,
JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY PLUS,J MOL CELL CARD PLUS,ENGLAND,,,,X
JOURNAL OF MOLECULAR AND ENGINEERING MATERIALS,J MOL ENG MATER,SINGAPORE,,,,X
JOURNAL OF MOLECULAR BIOLOGY,J MOL BIOL,UNITED STATES,X,,,
JOURNAL OF MOLECULAR CELL BIOLOGY,J MOL CELL BIOL,PEOPLES R CHINA,X,,,
JOURNAL OF MOLECULAR DIAGNOSTICS,J MOL DIAGN,UNITED STATES,X,,,
JOURNAL OF MOLECULAR ENDOCRINOLOGY,J MOL ENDOCRINOL,ENGLAND,X,,,
JOURNAL OF MOLECULAR EVOLUTION,J MOL EVOL,GERMANY,X,,,
JOURNAL OF MOLECULAR GRAPHICS & MODELLING,J MOL GRAPH MODEL,UNITED STATES,X,,,
JOURNAL OF MOLECULAR HISTOLOGY,J MOL HISTOL,NETHERLANDS,X,,,
JOURNAL OF MOLECULAR MEDICINE-JMM,J MOL MED,GERMANY,X,,,
JOURNAL OF MOLECULAR MODELING,J MOL MODEL,GERMANY,X,,,
JOURNAL OF MOLECULAR NEUROSCIENCE,J MOL NEUROSCI,UNITED STATES,X,,,
JOURNAL OF MOLECULAR PATHOLOGY,J MOL PATHOL,SWITZERLAND,,,,X
JOURNAL OF MOLECULAR RECOGNITION,J MOL RECOGNIT,ENGLAND,X,,,
JOURNAL OF MOLECULAR SPECTROSCOPY,J MOL SPECTROSC,UNITED STATES,X,,,
JOURNAL OF MOLECULAR STRUCTURE,J MOL STRUCT,NETHERLANDS,X,,,
JOURNAL OF MOLLUSCAN STUDIES,J MOLLUS STUD,ENGLAND,X,,,
JOURNAL OF MONETARY ECONOMICS,J MONETARY ECON,NETHERLANDS,,X,,
JOURNAL OF MONEY CREDIT AND BANKING,J MONEY CREDIT BANK,UNITED STATES,,X,,
JOURNAL OF MONEY LAUNDERING CONTROL,J MONEY LAUND CONTRO,ENGLAND,,,,X
JOURNAL OF MORAL EDUCATION,J MORAL EDUC,ENGLAND,,X,,
JOURNAL OF MORAL PHILOSOPHY,J MORAL PHILOS,NETHERLANDS,,X,X,
JOURNAL OF MORAVIAN HISTORY,J MORAV HIST,UNITED STATES,,,,X
JOURNAL OF MORPHOLOGY,J MORPHOL,UNITED STATES,X,,,
JOURNAL OF MOSAIC RESEARCH,J MOSAIC RES,TURKIYE,,,,X
JOURNAL OF MOTOR BEHAVIOR,J MOTOR BEHAV,UNITED STATES,X,X,,
JOURNAL OF MOTOR LEARNING AND DEVELOPMENT,J MOTOR LEARN DEV,UNITED STATES,,,,X
JOURNAL OF MOUNTAIN SCIENCE,J MT SCI-ENGL,PEOPLES R CHINA,X,,,
JOURNAL OF MOVEMENT DISORDERS,J MOV DISORD,SOUTH KOREA,X,,,
JOURNAL OF MULTI-CRITERIA DECISION ANALYSIS,J MULTI-CRITERIA DEC,ENGLAND,,,,X
JOURNAL OF MULTICULTURAL COUNSELING AND DEVELOPMENT,J MULTICULT COUNS D,UNITED STATES,,X,,
JOURNAL OF MULTICULTURAL DISCOURSES,J MULTICULT DISCOURS,UNITED STATES,,,,X
JOURNAL OF MULTIDISCIPLINARY HEALTHCARE,J MULTIDISCIP HEALTH,ENGLAND,X,,,
JOURNAL OF MULTILINGUAL AND MULTICULTURAL DEVELOPMENT,J MULTILING MULTICUL,ENGLAND,,X,X,
JOURNAL OF MULTILINGUAL THEORIES AND PRACTICES,J MULTILING THEOR PR,ENGLAND,,,,X
JOURNAL OF MULTIMORBIDITY AND COMORBIDITY,J MULTIMORB COMORB,ENGLAND,,,,X
JOURNAL OF MULTINATIONAL FINANCIAL MANAGEMENT,J MULTINATL FINANC M,NETHERLANDS,,X,,
JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING,J MULT-VALUED LOG S,UNITED STATES,X,,,
JOURNAL OF MULTISCALE MODELLING,J MULTISCALE MODEL,SINGAPORE,,,,X
JOURNAL OF MULTIVARIATE ANALYSIS,J MULTIVARIATE ANAL,UNITED STATES,X,,,
JOURNAL OF MUSCLE RESEARCH AND CELL MOTILITY,J MUSCLE RES CELL M,NETHERLANDS,X,,,
JOURNAL OF MUSCULOSKELETAL & NEURONAL INTERACTIONS,J MUSCULOSKEL NEURON,GREECE,X,,,
JOURNAL OF MUSCULOSKELETAL SURGERY AND RESEARCH,J MUSCULOSKELET SURG,SAUDI ARABIA,,,,X
JOURNAL OF MUSEUM EDUCATION,J MUS EDUC,UNITED STATES,,,,X
JOURNAL OF MUSIC TEACHER EDUCATION,J MUSIC TEACH EDUC,UNITED STATES,,,,X
JOURNAL OF MUSIC THEORY,J MUSIC THEORY,UNITED STATES,,,X,
JOURNAL OF MUSIC THERAPY,J MUSIC THER,UNITED STATES,,X,,
JOURNAL OF MUSICOLOGICAL RESEARCH,J MUSICOL RES,ENGLAND,,,X,
JOURNAL OF MUSICOLOGY,J MUSICOLOGY,UNITED STATES,,,X,
JOURNAL OF MUSLIM MENTAL HEALTH,J MUSLIM MENT HEALTH,UNITED STATES,,,,X
JOURNAL OF NANO RESEARCH,J NANO RES-SW,SWITZERLAND,X,,,
JOURNAL OF NANOBIOTECHNOLOGY,J NANOBIOTECHNOL,ENGLAND,X,,,
JOURNAL OF NANOELECTRONICS AND OPTOELECTRONICS,J NANOELECTRON OPTOE,UNITED STATES,X,,,
JOURNAL OF NANOFLUIDS,J NANOFLUIDS,UNITED STATES,,,,X
JOURNAL OF NANOPARTICLE RESEARCH,J NANOPART RES,NETHERLANDS,X,,,
JOURNAL OF NANOPHOTONICS,J NANOPHOTONICS,UNITED STATES,X,,,
JOURNAL OF NANOSTRUCTURE IN CHEMISTRY,J NANOSTRUCTURE CHEM,IRAN,X,,,
JOURNAL OF NANOSTRUCTURES,J NANOSTRUCT,IRAN,,,,X
JOURNAL OF NANOTECHNOLOGY,J NANOTECHNOL,UNITED STATES,,,,X
JOURNAL OF NATURAL FIBERS,J NAT FIBERS,UNITED STATES,X,,,
JOURNAL OF NATURAL HISTORY,J NAT HIST,ENGLAND,X,,,
JOURNAL OF NATURAL MEDICINES,J NAT MED-TOKYO,JAPAN,X,,,
JOURNAL OF NATURAL PRODUCTS,J NAT PROD,UNITED STATES,X,,,
JOURNAL OF NAVAL ARCHITECTURE AND MARINE ENGINEERING,J NAV ARCHIT MAR ENG,BANGLADESH,,,,X
JOURNAL OF NAVIGATION,J NAVIGATION,ENGLAND,X,,,
JOURNAL OF NEAR EASTERN STUDIES,J NEAR EASTERN STUD,UNITED STATES,,,X,
JOURNAL OF NEAR INFRARED SPECTROSCOPY,J NEAR INFRARED SPEC,ENGLAND,X,,,
JOURNAL OF NEMATOLOGY,J NEMATOL,UNITED STATES,X,,,
JOURNAL OF NEONATAL-PERINATAL MEDICINE,J NEONAT-PERINAT MED,NETHERLANDS,,,,X
JOURNAL OF NEPHROLOGY,J NEPHROL,GERMANY,X,,,
JOURNAL OF NERVOUS AND MENTAL DISEASE,J NERV MENT DIS,UNITED STATES,X,X,,
JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,J NETW COMPUT APPL,ENGLAND,X,,,
JOURNAL OF NETWORK AND SYSTEMS MANAGEMENT,J NETW SYST MANAG,UNITED STATES,X,,,
JOURNAL OF NEURAL ENGINEERING,J NEURAL ENG,ENGLAND,X,,,
JOURNAL OF NEURAL TRANSMISSION,J NEURAL TRANSM,AUSTRIA,X,,,
JOURNAL OF NEUROANAESTHESIOLOGY AND CRITICAL CARE,J NEUROANAESTH CRIT,INDIA,,,,X
JOURNAL OF NEUROCHEMISTRY,J NEUROCHEM,ENGLAND,X,,,
JOURNAL OF NEURODEVELOPMENTAL DISORDERS,J NEURODEV DISORD,UNITED STATES,X,,,
JOURNAL OF NEUROENDOCRINOLOGY,J NEUROENDOCRINOL,ENGLAND,X,,,
JOURNAL OF NEUROENDOVASCULAR THERAPY,J NEUROENDOVASC THER,JAPAN,,,,X
JOURNAL OF NEUROENGINEERING AND REHABILITATION,J NEUROENG REHABIL,ENGLAND,X,,,
JOURNAL OF NEUROGASTROENTEROLOGY AND MOTILITY,J NEUROGASTROENTEROL,SOUTH KOREA,X,,,
JOURNAL OF NEUROGENETICS,J NEUROGENET,ENGLAND,X,,,
JOURNAL OF NEUROIMAGING,J NEUROIMAGING,UNITED STATES,X,,,
JOURNAL OF NEUROIMMUNE PHARMACOLOGY,J NEUROIMMUNE PHARM,UNITED STATES,X,,,
JOURNAL OF NEUROIMMUNOLOGY,J NEUROIMMUNOL,NETHERLANDS,X,,,
JOURNAL OF NEUROINFLAMMATION,J NEUROINFLAMM,ENGLAND,X,,,
JOURNAL OF NEUROINTERVENTIONAL SURGERY,J NEUROINTERV SURG,ENGLAND,X,,,
JOURNAL OF NEUROLINGUISTICS,J NEUROLINGUIST,UNITED STATES,X,X,,
JOURNAL OF NEUROLOGIC PHYSICAL THERAPY,J NEUROL PHYS THER,UNITED STATES,X,,,
JOURNAL OF NEUROLOGICAL SURGERY PART A-CENTRAL EUROPEAN NEUROSURGERY,J NEUROL SURG PART A,UNITED STATES,X,,,
JOURNAL OF NEUROLOGICAL SURGERY PART B-SKULL BASE,J NEUROL SURG PART B,UNITED STATES,X,,,
JOURNAL OF NEUROLOGICAL SURGERY REPORTS,J NEUROL SURG REP,GERMANY,,,,X
JOURNAL OF NEUROLOGY,J NEUROL,GERMANY,X,,,
JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY,J NEUROL NEUROSUR PS,ENGLAND,X,,,
JOURNAL OF NEUROMUSCULAR DISEASES,J NEUROMUSCULAR DIS,NETHERLANDS,X,,,
JOURNAL OF NEURO-ONCOLOGY,J NEURO-ONCOL,UNITED STATES,X,,,
JOURNAL OF NEURO-OPHTHALMOLOGY,J NEURO-OPHTHALMOL,UNITED STATES,X,,,
JOURNAL OF NEUROPATHOLOGY AND EXPERIMENTAL NEUROLOGY,J NEUROPATH EXP NEUR,UNITED STATES,X,,,
JOURNAL OF NEUROPHYSIOLOGY,J NEUROPHYSIOL,UNITED STATES,X,,,
JOURNAL OF NEUROPSYCHIATRY AND CLINICAL NEUROSCIENCES,J NEUROPSYCH CLIN N,UNITED STATES,X,,,
JOURNAL OF NEUROPSYCHOLOGY,J NEUROPSYCHOL,ENGLAND,X,X,,
JOURNAL OF NEURORADIOLOGY,J NEURORADIOLOGY,FRANCE,X,,,
JOURNAL OF NEURORESTORATOLOGY,J NEURORESTORATOLOGY,PEOPLES R CHINA,,,,X
JOURNAL OF NEUROSCIENCE,J NEUROSCI,UNITED STATES,X,,,
JOURNAL OF NEUROSCIENCE METHODS,J NEUROSCI METH,NETHERLANDS,X,,,
JOURNAL OF NEUROSCIENCE NURSING,J NEUROSCI NURS,UNITED STATES,X,X,,
JOURNAL OF NEUROSCIENCE PSYCHOLOGY AND ECONOMICS,J NEUROSCI PSYCHOL E,UNITED STATES,,X,,
JOURNAL OF NEUROSCIENCE RESEARCH,J NEUROSCI RES,UNITED STATES,X,,,
JOURNAL OF NEUROSCIENCES IN RURAL PRACTICE,J NEUROSCI RURAL PRA,INDIA,,,,X
JOURNAL OF NEUROSURGERY,J NEUROSURG,UNITED STATES,X,,,
JOURNAL OF NEUROSURGERY-CASE LESSONS,J NEUROSURG-CASE LES,UNITED STATES,,,,X
JOURNAL OF NEUROSURGERY-PEDIATRICS,J NEUROSURG-PEDIATR,UNITED STATES,X,,,
JOURNAL OF NEUROSURGERY-SPINE,J NEUROSURG-SPINE,UNITED STATES,X,,,
JOURNAL OF NEUROSURGICAL ANESTHESIOLOGY,J NEUROSURG ANESTH,UNITED STATES,X,,,
JOURNAL OF NEUROSURGICAL SCIENCES,J NEUROSURG SCI,ITALY,X,,,
JOURNAL OF NEUROTRAUMA,J NEUROTRAUM,UNITED STATES,X,,,
JOURNAL OF NEUROVIROLOGY,J NEUROVIROL,UNITED STATES,X,,,
JOURNAL OF NEUTRON RESEARCH,J NEUTRON RES,NETHERLANDS,,,,X
JOURNAL OF NEW APPROACHES IN EDUCATIONAL RESEARCH,J NEW APPROACHES EDU,SPAIN,,,,X
JOURNAL OF NEW MUSIC RESEARCH,J NEW MUSIC RES,ENGLAND,X,,X,
JOURNAL OF NEW ZEALAND STUDIES,J N Z STUD,NEW ZEALAND,,,,X
JOURNAL OF NIETZSCHE STUDIES,J NIETZSCHE STUD,UNITED STATES,,,X,
JOURNAL OF NIPPON MEDICAL SCHOOL,J NIPPON MED SCH,JAPAN,X,,,
JOURNAL OF NONCOMMUTATIVE GEOMETRY,J NONCOMMUT GEOM,SWITZERLAND,X,,,
JOURNAL OF NON-CRYSTALLINE SOLIDS,J NON-CRYST SOLIDS,NETHERLANDS,X,,,
JOURNAL OF NON-CRYSTALLINE SOLIDS-X,J NON-CRYST SOLIDS-X,NETHERLANDS,,,,X
JOURNAL OF NONDESTRUCTIVE EVALUATION,J NONDESTRUCT EVAL,UNITED STATES,X,,,
"JOURNAL OF NONDESTRUCTIVE EVALUATION, DIAGNOSTICS AND PROGNOSTICS OF ENGINEERING SYSTEMS",J NONDESTR EVAL DIAG,UNITED STATES,,,,X
JOURNAL OF NON-EQUILIBRIUM THERMODYNAMICS,J NON-EQUIL THERMODY,UNITED STATES,X,,,
JOURNAL OF NONLINEAR AND CONVEX ANALYSIS,J NONLINEAR CONVEX A,JAPAN,X,,,
JOURNAL OF NONLINEAR AND VARIATIONAL ANALYSIS,J NONLINEAR VAR ANAL,CANADA,X,,,
JOURNAL OF NONLINEAR COMPLEX AND DATA SCIENCE,J NONL COMPL DATA SC,GERMANY,X,,,
JOURNAL OF NONLINEAR FUNCTIONAL ANALYSIS,J NONLINEAR FUNCT AN,ENGLAND,,,,X
JOURNAL OF NONLINEAR MATHEMATICAL PHYSICS,J NONLINEAR MATH PHY,SINGAPORE,X,,,
JOURNAL OF NONLINEAR OPTICAL PHYSICS & MATERIALS,J NONLINEAR OPT PHYS,SINGAPORE,X,,,
JOURNAL OF NONLINEAR SCIENCE,J NONLINEAR SCI,UNITED STATES,X,,,
JOURNAL OF NON-NEWTONIAN FLUID MECHANICS,J NON-NEWTON FLUID,NETHERLANDS,X,,,
JOURNAL OF NONPARAMETRIC STATISTICS,J NONPARAMETR STAT,ENGLAND,X,,,
JOURNAL OF NONPROFIT & PUBLIC SECTOR MARKETING,J NONPROFIT PUBLIC S,UNITED STATES,,,,X
JOURNAL OF NONPROFIT EDUCATION AND LEADERSHIP,J NONPROFIT ED LEARN,UNITED STATES,,,,X
JOURNAL OF NONVERBAL BEHAVIOR,J NONVERBAL BEHAV,UNITED STATES,,X,,
JOURNAL OF NORTH AFRICAN STUDIES,J NORTH AFR STUD,ENGLAND,,,,X
JOURNAL OF NORTHWEST SEMITIC LANGUAGES,J NORTHWEST SEMIT LA,SOUTH AFRICA,,,,X
JOURNAL OF NUCLEAR CARDIOLOGY,J NUCL CARDIOL,UNITED STATES,X,,,
JOURNAL OF NUCLEAR ENGINEERING,J NUCL ENG-BASEL,SWITZERLAND,,,,X
JOURNAL OF NUCLEAR ENGINEERING AND RADIATION SCIENCE,J NUCL ENG RADIAT SC,UNITED STATES,,,,X
JOURNAL OF NUCLEAR FUEL CYCLE AND WASTE TECHNOLOGY,J NUCL FUEL CYCLE WA,SOUTH KOREA,,,,X
JOURNAL OF NUCLEAR MATERIALS,J NUCL MATER,NETHERLANDS,X,,,
JOURNAL OF NUCLEAR MEDICINE,J NUCL MED,UNITED STATES,X,,,
JOURNAL OF NUCLEAR MEDICINE TECHNOLOGY,J NUCL MED TECHNOL,UNITED STATES,,,,X
JOURNAL OF NUCLEAR SCIENCE AND TECHNOLOGY,J NUCL SCI TECHNOL,JAPAN,X,,,
JOURNAL OF NUCLEIC ACIDS,J NUCLEIC ACIDS,UNITED STATES,,,,X
JOURNAL OF NUMBER THEORY,J NUMBER THEORY,UNITED STATES,X,,,
JOURNAL OF NUMERICAL MATHEMATICS,J NUMER MATH,GERMANY,X,,,
JOURNAL OF NURSING ADMINISTRATION,J NURS ADMIN,UNITED STATES,X,X,,
JOURNAL OF NURSING AND MIDWIFERY SCIENCES,J NURS MIDWIFERY SCI,IRAN,,,,X
JOURNAL OF NURSING CARE QUALITY,J NURS CARE QUAL,UNITED STATES,X,X,,
JOURNAL OF NURSING EDUCATION,J NURS EDUC,UNITED STATES,X,X,,
JOURNAL OF NURSING MANAGEMENT,J NURS MANAGE,ENGLAND,X,X,,
JOURNAL OF NURSING MEASUREMENT,J NURS MEAS,UNITED STATES,,,,X
JOURNAL OF NURSING REGULATION,J NURS REGUL,UNITED STATES,X,X,,
JOURNAL OF NURSING RESEARCH,J NURS RES,TAIWAN,X,X,,
JOURNAL OF NURSING SCHOLARSHIP,J NURS SCHOLARSHIP,UNITED STATES,X,X,,
JOURNAL OF NURSOLOGY,J NURSOL,TURKIYE,,,,X
JOURNAL OF NUSANTARA STUDIES-JONUS,J NUSANT STUD-JONUS,MALAYSIA,,,,X
JOURNAL OF NUTRITION,J NUTR,UNITED STATES,X,,,
JOURNAL OF NUTRITION AND METABOLISM,J NUTR METAB,UNITED STATES,,,,X
JOURNAL OF NUTRITION EDUCATION AND BEHAVIOR,J NUTR EDUC BEHAV,UNITED STATES,X,,,
JOURNAL OF NUTRITION HEALTH & AGING,J NUTR HEALTH AGING,FRANCE,X,,,
JOURNAL OF NUTRITIONAL BIOCHEMISTRY,J NUTR BIOCHEM,UNITED STATES,X,,,
JOURNAL OF NUTRITIONAL SCIENCE,J NUTR SCI,ENGLAND,,,,X
JOURNAL OF NUTRITIONAL SCIENCE AND VITAMINOLOGY,J NUTR SCI VITAMINOL,JAPAN,X,,,
JOURNAL OF OBESITY,J OBES,UNITED STATES,,,,X
