JournalFullName,ISSN,2022IF,2022AI,
JOURNAL OF HEAD TRAUMA REHABILITATION,0885-9701,2.4,0.899,
JOURNAL OF HEADACHE AND PAIN,1129-2369,7.4,1.789,
JOURNAL OF HEALTH AND ALLIED SCIENCES NU,2582-4287,0.3,0.042,
JOURNAL OF HEALTH AND POLLUTION,2156-9614,2.4,0.378,
JOURNAL OF HEALTH AND SAFETY AT WORK,2251-807X,0.4,0.042,
JOURNAL OF HEALTH AND SOCIAL BEHAVIOR,0022-1465,5,2.343,
JOURNAL OF HEALTH CARE CHAPLAINCY,0885-4726,1.9,0.474,
JOURNAL OF HEALTH CARE FOR THE POOR AND UNDERSERVED,1049-2089,1.4,0.681,
JOURNAL OF HEALTH COMMUNICATION,1081-0730,4.4,1.229,
JOURNAL OF HEALTH ECONOMICS,0167-6296,3.5,2.648,
JOURNAL OF HEALTH MANAGEMENT,0972-0634,2.3,0.301,
JOURNAL OF HEALTH ORGANIZATION AND MANAGEMENT,1477-7266,1.4,0.388,
JOURNAL OF HEALTH POLITICS POLICY AND LAW,0361-6878,4.2,1.567,
JOURNAL OF HEALTH POPULATION AND NUTRITION,1606-0997,1.9,0.717,
JOURNAL OF HEALTH PSYCHOLOGY,1359-1053,3.2,0.817,
JOURNAL OF HEALTH RESEARCH,0857-4421,1.7,0.227,
JOURNAL OF HEALTH SERVICES RESEARCH & POLICY,1355-8196,2.4,0.973,
JOURNAL OF HEALTHCARE INFORMATICS RESEARCH,2509-4971,5.9,0.814,
JOURNAL OF HEALTHCARE LEADERSHIP,1179-3201,4.4,0.965,
JOURNAL OF HEALTHCARE MANAGEMENT,1096-9012,1.8,0.615,
JOURNAL OF HEALTHCARE QUALITY RESEARCH,2603-6479,1.2,0.173,
JOURNAL OF HEART AND LUNG TRANSPLANTATION,1053-2498,8.9,3.265,
JOURNAL OF HELLENIC STUDIES,0075-4269,0.1,1.692,
JOURNAL OF HELMINTHOLOGY,0022-149X,1.6,0.405,
JOURNAL OF HEMATOLOGY,1927-1212,1.2,0,
JOURNAL OF HEMATOLOGY & ONCOLOGY,1756-8722,28.5,4.807,
JOURNAL OF HEMATOPATHOLOGY,1868-9256,0.6,0.195,
JOURNAL OF HEPATO-BILIARY-PANCREATIC SCIENCES,1868-6974,3,1.253,
JOURNAL OF HEPATOCELLULAR CARCINOMA,2253-5969,4.1,0.857,
JOURNAL OF HEPATOLOGY,0168-8278,25.7,7.443,
JOURNAL OF HERBAL MEDICINE,2210-8033,2.3,0.317,
JOURNAL OF HEREDITY,0022-1503,3.1,0.967,
JOURNAL OF HERITAGE TOURISM,1743-873X,2.7,0.533,
JOURNAL OF HERPETOLOGY,0022-1511,0.8,0.324,
JOURNAL OF HETEROCYCLIC CHEMISTRY,0022-152X,2.4,0.227,
JOURNAL OF HEURISTICS,1381-1231,2.7,0.634,
JOURNAL OF HIGH ENERGY ASTROPHYSICS,2214-4048,3.8,1.31,
JOURNAL OF HIGH ENERGY PHYSICS,1029-8479,5.4,1.032,
JOURNAL OF HIGH SPEED NETWORKS,0926-6801,0.9,0.078,
JOURNAL OF HIGHER EDUCATION,0022-1546,3.1,1.523,
JOURNAL OF HIGHER EDUCATION POLICY AND MANAGEMENT,1360-080X,2.6,0.713,
JOURNAL OF HIMALAYAN EARTH SCIENCES,1994-3237,0.4,0,
JOURNAL OF HINDU STUDIES,1756-4255,0.2,0.186,
JOURNAL OF HIP PRESERVATION SURGERY,2054-8397,1.5,0.626,
JOURNAL OF HISTOCHEMISTRY & CYTOCHEMISTRY,0022-1554,3.2,0.764,
JOURNAL OF HISTORIC BUILDINGS AND PLACES,2753-2453,0,0,
JOURNAL OF HISTORICAL GEOGRAPHY,0305-7488,1,0.596,
JOURNAL OF HISTORICAL LINGUISTICS,2210-2116,0.7,0.39,
JOURNAL OF HISTORICAL PRAGMATICS,1566-5852,0.8,0.374,
JOURNAL OF HISTORICAL RESEARCH IN MARKETING,1755-750X,0.3,0.09,
JOURNAL OF HISTORICAL RESEARCH IN MUSIC EDUCATION,1536-6006,0.1,0.186,
JOURNAL OF HISTORICAL SOCIOLINGUISTICS,2199-2894,0.3,0,
JOURNAL OF HISTORICAL SOCIOLOGY,0952-1909,0.5,0.364,
JOURNAL OF HISTORY-NCCU,0301-9667,0,0,
JOURNAL OF HISTOTECHNOLOGY,0147-8885,1.1,0.19,
JOURNAL OF HIV-AIDS & SOCIAL SERVICES,1538-1501,0.7,0.188,
JOURNAL OF HOLISTIC NURSING,0898-0101,2,0.419,
JOURNAL OF HOLY LAND AND PALESTINE STUDIES,2054-1988,0.2,0.25,
JOURNAL OF HOMELAND SECURITY AND EMERGENCY MANAGEMENT,2194-6361,0.8,0.32,
JOURNAL OF HOMOSEXUALITY,0091-8369,2.6,1.067,
JOURNAL OF HOMOTOPY AND RELATED STRUCTURES,2193-8407,0.5,0.62,
JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY,1462-0316,1.9,0.257,
JOURNAL OF HORTICULTURAL SCIENCES,0973-354X,0.1,0,
JOURNAL OF HOSPICE & PALLIATIVE NURSING,1522-2179,1.8,0.46,
JOURNAL OF HOSPITAL INFECTION,0195-6701,6.9,1.221,
JOURNAL OF HOSPITAL MEDICINE,1553-5592,2.6,1.067,
JOURNAL OF HOSPITALITY & TOURISM EDUCATION,1096-3758,2.9,0.33,
JOURNAL OF HOSPITALITY & TOURISM RESEARCH,1096-3480,4.2,0.923,
JOURNAL OF HOSPITALITY AND TOURISM INSIGHTS,2514-9792,3.9,0.423,
JOURNAL OF HOSPITALITY AND TOURISM MANAGEMENT,1447-6770,8.3,1.278,
JOURNAL OF HOSPITALITY AND TOURISM TECHNOLOGY,1757-9880,4.7,0.918,
JOURNAL OF HOSPITALITY LEISURE SPORT & TOURISM EDUCATION,1473-8376,3.7,0.482,
JOURNAL OF HOSPITALITY MARKETING & MANAGEMENT,1936-8623,12.5,1.64,
JOURNAL OF HOUSING AND THE BUILT ENVIRONMENT,1566-4910,1.9,0.576,
JOURNAL OF HOUSING ECONOMICS,1051-1377,2.4,0.973,
JOURNAL OF HUMAN BEHAVIOR IN THE SOCIAL ENVIRONMENT,1091-1359,1.6,0.424,
JOURNAL OF HUMAN CAPITAL,1932-8575,1.3,1.186,
JOURNAL OF HUMAN DEVELOPMENT AND CAPABILITIES,1945-2829,1.5,0.791,
JOURNAL OF HUMAN EVOLUTION,0047-2484,3.2,1.027,
JOURNAL OF HUMAN GENETICS,1434-5161,3.5,0.899,
JOURNAL OF HUMAN HYPERTENSION,0950-9240,2.7,0.795,
JOURNAL OF HUMAN KINETICS,1640-5544,2.3,0.494,
JOURNAL OF HUMAN LACTATION,0890-3344,2.6,0.803,
JOURNAL OF HUMAN NUTRITION AND DIETETICS,0952-3871,3.3,0.777,
JOURNAL OF HUMAN RESOURCES,0022-166X,5.2,5.378,
JOURNAL OF HUMAN RIGHTS,1475-4835,1.9,0.619,
JOURNAL OF HUMAN RIGHTS AND SOCIAL WORK,2365-1792,1.2,0.331,
JOURNAL OF HUMAN RIGHTS AND THE ENVIRONMENT,1759-7188,1.7,0.494,
JOURNAL OF HUMAN RIGHTS PRACTICE,1757-9619,1,0.369,
JOURNAL OF HUMAN SPORT AND EXERCISE,1988-5202,0.6,0.1,
JOURNAL OF HUMAN VALUES,0971-6858,0.7,0.188,
JOURNAL OF HUMANISTIC COUNSELING,2159-0311,0.9,0.387,
JOURNAL OF HUMANISTIC MATHEMATICS,2159-8118,0.3,0.071,
JOURNAL OF HUMANISTIC PSYCHOLOGY,0022-1678,1.7,0.683,
JOURNAL OF HUMANITARIAN LOGISTICS AND SUPPLY CHAIN MANAGEMENT,2042-6747,4,0.533,
JOURNAL OF HUNGER & ENVIRONMENTAL NUTRITION,1932-0248,1.6,0.521,
JOURNAL OF HUNTINGTONS DISEASE,1879-6397,3.1,0.771,
JOURNAL OF HYDRAULIC ENGINEERING,0733-9429,2.4,0.564,
JOURNAL OF HYDRAULIC RESEARCH,0022-1686,2.3,0.609,
JOURNAL OF HYDRO-ENVIRONMENT RESEARCH,1570-6443,2.8,0.515,
JOURNAL OF HYDRODYNAMICS,1001-6058,2.5,0.461,
JOURNAL OF HYDROINFORMATICS,1464-7141,2.7,0.472,
JOURNAL OF HYDROLOGIC ENGINEERING,1084-0699,2.4,0.407,
JOURNAL OF HYDROLOGY,0022-1694,6.4,1.127,
JOURNAL OF HYDROLOGY AND HYDROMECHANICS,0042-790X,1.9,0.413,
JOURNAL OF HYDROLOGY X,2589-9155,4,1.055,
JOURNAL OF HYDROLOGY-REGIONAL STUDIES,2214-5818,4.7,0.92,
JOURNAL OF HYDROMETEOROLOGY,1525-755X,3.8,1.178,
JOURNAL OF HYMENOPTERA RESEARCH,1070-9428,1.3,0.344,
JOURNAL OF HYPERBOLIC DIFFERENTIAL EQUATIONS,0219-8916,0.7,0.654,
JOURNAL OF HYPERTENSION,0263-6352,4.9,1.393,
JOURNAL OF IBERIAN AND LATIN AMERICAN RESEARCH,1326-0219,0.3,0.108,
JOURNAL OF IBERIAN AND LATIN AMERICAN STUDIES,1470-1847,0.3,0.255,
JOURNAL OF IBERIAN GEOLOGY,1698-6180,1.3,0.43,
JOURNAL OF ICHTHYOLOGY,0032-9452,0.7,0,
JOURNAL OF ICT RESEARCH AND APPLICATIONS,2337-5787,0.6,0.109,
JOURNAL OF ILLUSTRATION,2052-0204,0,0.01,
JOURNAL OF IMAB,1312-773X,0.2,0.026,
JOURNAL OF IMAGING,2313-433X,3.2,0.6,
JOURNAL OF IMAGING SCIENCE AND TECHNOLOGY,1062-3701,1,0.126,
JOURNAL OF IMMERSION AND CONTENT-BASED LANGUAGE EDUCATION,2212-8433,0.7,0.306,
JOURNAL OF IMMIGRANT & REFUGEE STUDIES,1556-2948,1.2,0.952,
JOURNAL OF IMMIGRANT AND MINORITY HEALTH,1557-1912,1.9,0.691,
JOURNAL OF IMMUNOLOGICAL METHODS,0022-1759,2.2,0.669,
JOURNAL OF IMMUNOLOGY,0022-1767,4.4,1.581,
JOURNAL OF IMMUNOLOGY RESEARCH,2314-8861,4.1,0.895,
JOURNAL OF IMMUNOTHERAPY,1524-9557,3.9,1.147,
JOURNAL OF IMMUNOTOXICOLOGY,1547-691X,3.3,0.629,
JOURNAL OF IMPERIAL AND COMMONWEALTH HISTORY,0308-6534,0.7,0.759,
JOURNAL OF INCLUSION PHENOMENA AND MACROCYCLIC CHEMISTRY,1388-3127,2.3,0.243,
JOURNAL OF INDIAN ACADEMY OF ORAL MEDICINE AND RADIOLOGY,0972-1363,0.3,0,
JOURNAL OF INDIAN ASSOCIATION FOR CHILD AND ADOLESCENT MENTAL HEALTH,0973-1342,0.6,0.122,
JOURNAL OF INDIAN ASSOCIATION OF PUBLIC HEALTH DENTISTRY,2319-5932,0.4,0,
JOURNAL OF INDIAN BUSINESS RESEARCH,1755-4195,2.5,0.337,
JOURNAL OF INDIAN COUNCIL OF PHILOSOPHICAL RESEARCH,0970-7794,0.1,0.111,
JOURNAL OF INDIAN GEOPHYSICAL UNION,0257-7968,0.2,0.054,
JOURNAL OF INDIAN PHILOSOPHY,0022-1791,0.3,0.3,
JOURNAL OF INDIAN PROSTHODONTIC SOCIETY,0972-4052,1.2,0,
JOURNAL OF INDIVIDUAL DIFFERENCES,1614-0001,1.4,0.67,
JOURNAL OF INDO-EUROPEAN STUDIES,0092-2323,0.1,0.112,
JOURNAL OF INDUSTRIAL AND BUSINESS ECONOMICS,0391-2078,4.6,0,
JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY,1226-086X,6.1,0.729,
JOURNAL OF INDUSTRIAL AND MANAGEMENT OPTIMIZATION,1547-5816,1.3,0.261,
JOURNAL OF INDUSTRIAL AND PRODUCTION ENGINEERING,2168-1015,4.5,0.424,
JOURNAL OF INDUSTRIAL ECOLOGY,1088-1980,5.9,1.492,
JOURNAL OF INDUSTRIAL ECONOMICS,0022-1821,1.3,1.513,
JOURNAL OF INDUSTRIAL ENGINEERING AND MANAGEMENT-JIEM,2013-8423,3,0.356,
JOURNAL OF INDUSTRIAL INFORMATION INTEGRATION,2467-964X,15.7,2.094,
JOURNAL OF INDUSTRIAL INTEGRATION AND MANAGEMENT-INNOVATION AND ENTREPRENEURSHIP,2424-8622,9,0.807,
JOURNAL OF INDUSTRIAL MICROBIOLOGY & BIOTECHNOLOGY,1367-5435,3.4,0.714,
JOURNAL OF INDUSTRIAL RELATIONS,0022-1856,2.3,0.987,
JOURNAL OF INDUSTRIAL TEXTILES,1528-0837,3.2,0.381,
JOURNAL OF INDUSTRY COMPETITION & TRADE,1566-1679,1.9,0.348,
JOURNAL OF INEQUALITIES AND APPLICATIONS,1029-242X,1.6,0.378,
JOURNAL OF INEQUALITIES AND SPECIAL FUNCTIONS,2217-4303,0.5,0.164,
JOURNAL OF INFECTION,0163-4453,28.2,4.356,
JOURNAL OF INFECTION AND CHEMOTHERAPY,1341-321X,2.2,0.486,
JOURNAL OF INFECTION AND PUBLIC HEALTH,1876-0341,6.7,1.063,
JOURNAL OF INFECTION IN DEVELOPING COUNTRIES,1972-2680,1.9,0.341,
JOURNAL OF INFECTION PREVENTION,1757-1774,1.2,0,
JOURNAL OF INFECTIOUS DISEASES,0022-1899,6.4,2.204,
JOURNAL OF INFLAMMATION RESEARCH,1178-7031,4.5,0.817,
JOURNAL OF INFLAMMATION-LONDON,1476-9255,5.1,0.974,
JOURNAL OF INFORMATION & KNOWLEDGE MANAGEMENT,0219-6492,1.2,0.144,
JOURNAL OF INFORMATION & OPTIMIZATION SCIENCES,0252-2667,1.4,0.211,
JOURNAL OF INFORMATION AND COMMUNICATION TECHNOLOGY-MALAYSIA,1675-414X,1.6,0.185,
JOURNAL OF INFORMATION AND ORGANIZATIONAL SCIENCES,1846-3312,0.6,0.094,
JOURNAL OF INFORMATION AND TELECOMMUNICATION,2475-1839,2.7,0.296,
JOURNAL OF INFORMATION ASSURANCE AND SECURITY,1554-1010,0.6,0.085,
JOURNAL OF INFORMATION COMMUNICATION & ETHICS IN SOCIETY,1477-996X,1.5,0.355,
JOURNAL OF INFORMATION DISPLAY,1598-0316,3.7,0.643,
JOURNAL OF INFORMATION POLICY,2381-5892,0.9,0.683,
JOURNAL OF INFORMATION PROCESSING SYSTEMS,1976-913X,1.6,0.238,
JOURNAL OF INFORMATION SCIENCE,0165-5515,2.4,0.572,
JOURNAL OF INFORMATION SCIENCE AND ENGINEERING,1016-2364,1.1,0.11,
JOURNAL OF INFORMATION SECURITY AND APPLICATIONS,2214-2126,5.6,0.778,
JOURNAL OF INFORMATION SYSTEMS,0888-7985,1.9,0.906,
JOURNAL OF INFORMATION TECHNOLOGY,0268-3962,5.6,1.9,
JOURNAL OF INFORMATION TECHNOLOGY & POLITICS,1933-1681,2.6,1.182,
JOURNAL OF INFORMATION TECHNOLOGY EDUCATION-INNOVATIONS IN PRACTICE,2165-3151,1.2,0.315,
JOURNAL OF INFORMATION TECHNOLOGY EDUCATION-RESEARCH,1547-9714,3.2,0.476,
JOURNAL OF INFORMATION TECHNOLOGY IN CONSTRUCTION,1874-4753,3.5,0.362,
JOURNAL OF INFORMATION TECHNOLOGY RESEARCH,1938-7857,0.9,0.075,
JOURNAL OF INFORMETRICS,1751-1577,3.7,1.605,
JOURNAL OF INFRARED AND MILLIMETER WAVES,1001-9014,0.7,0.081,
JOURNAL OF INFRARED MILLIMETER AND TERAHERTZ WAVES,1866-6892,2.9,0.456,
JOURNAL OF INFRASTRUCTURE POLICY AND DEVELOPMENT,2572-7923,0.7,0.411,
JOURNAL OF INFRASTRUCTURE SYSTEMS,1076-0342,3.3,0.624,
JOURNAL OF INFUSION NURSING,1533-1458,2,0.36,
JOURNAL OF INHERITED METABOLIC DISEASE,0141-8955,4.2,1.249,
JOURNAL OF INNATE IMMUNITY,1662-811X,5.3,1.52,
JOURNAL OF INNOVATION & KNOWLEDGE,2530-7614,18.1,1.65,
JOURNAL OF INNOVATION ECONOMICS & MANAGEMENT,2032-5355,1.5,0.269,
JOURNAL OF INNOVATIVE OPTICAL HEALTH SCIENCES,1793-5458,2.5,0.348,
JOURNAL OF INORGANIC AND ORGANOMETALLIC POLYMERS AND MATERIALS,1574-1443,4,0.354,
JOURNAL OF INORGANIC BIOCHEMISTRY,0162-0134,3.9,0.508,
JOURNAL OF INORGANIC MATERIALS,1000-324X,1.7,0.142,
JOURNAL OF INSECT BEHAVIOR,0892-7553,1,0.271,
JOURNAL OF INSECT BIODIVERSITY,2538-1318,0.4,0,
JOURNAL OF INSECT CONSERVATION,1366-638X,1.9,0.61,
JOURNAL OF INSECT PHYSIOLOGY,0022-1910,2.2,0.601,
JOURNAL OF INSECT SCIENCE,1536-2442,2.2,0.419,
JOURNAL OF INSECTS AS FOOD AND FEED,2352-4588,5.1,0.601,
JOURNAL OF INSTITUTIONAL AND THEORETICAL ECONOMICS-ZEITSCHRIFT FUR DIE GESAMTE STAATSWISSENSCHAFT,0932-4569,0.4,0.402,
JOURNAL OF INSTITUTIONAL ECONOMICS,1744-1374,2.2,0.823,
JOURNAL OF INSTITUTIONAL STUDIES,2076-6297,0.6,0.123,
JOURNAL OF INSTRUMENTATION,1748-0221,1.3,0.44,
JOURNAL OF INSURANCE ISSUES,1531-6076,0.4,0.062,
JOURNAL OF INTEGER SEQUENCES,1530-7638,0.5,0.309,
JOURNAL OF INTEGRAL EQUATIONS AND APPLICATIONS,0897-3962,0.8,0.456,
JOURNAL OF INTEGRATED CARE,1476-9018,0.8,0.247,
JOURNAL OF INTEGRATED DESIGN & PROCESS SCIENCE,1092-0617,0.6,0.121,
JOURNAL OF INTEGRATED PEST MANAGEMENT,2155-7470,2.8,0.728,
JOURNAL OF INTEGRATIVE AGRICULTURE,2095-3119,4.8,0.685,
JOURNAL OF INTEGRATIVE AND COMPLEMENTARY MEDICINE,2768-3605,0,0,
JOURNAL OF INTEGRATIVE BIOINFORMATICS,1613-4516,1.9,0.534,
JOURNAL OF INTEGRATIVE ENVIRONMENTAL SCIENCES,1943-815X,2.4,0.512,
JOURNAL OF INTEGRATIVE MEDICINE-JIM,2095-4964,4.8,0.513,
JOURNAL OF INTEGRATIVE NEUROSCIENCE,0219-6352,1.8,0.287,
JOURNAL OF INTEGRATIVE PLANT BIOLOGY,1672-9072,11.4,2.073,
JOURNAL OF INTELLECTUAL & DEVELOPMENTAL DISABILITY,1366-8250,1.3,0.592,
JOURNAL OF INTELLECTUAL CAPITAL,1469-1930,6,0.835,
JOURNAL OF INTELLECTUAL DISABILITIES,1744-6295,1.5,0.481,
JOURNAL OF INTELLECTUAL DISABILITIES AND OFFENDING BEHAVIOUR,2050-8824,0.5,0.121,
JOURNAL OF INTELLECTUAL DISABILITY RESEARCH,0964-2633,3.6,0.815,
JOURNAL OF INTELLECTUAL PROPERTY LAW & PRACTICE,1747-1532,0.5,0.121,
JOURNAL OF INTELLIGENCE,2079-3200,3.5,0,
JOURNAL OF INTELLIGENCE STUDIES IN BUSINESS,2001-015X,0.9,0.089,
JOURNAL OF INTELLIGENT & FUZZY SYSTEMS,1064-1246,2,0.215,
JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS,0921-0296,3.3,0.617,
JOURNAL OF INTELLIGENT INFORMATION SYSTEMS,0925-9902,3.4,0.456,
JOURNAL OF INTELLIGENT MANUFACTURING,0956-5515,8.3,1.126,
JOURNAL OF INTELLIGENT MATERIAL SYSTEMS AND STRUCTURES,1045-389X,2.7,0.484,
JOURNAL OF INTELLIGENT SYSTEMS,0334-1860,3,0.271,
JOURNAL OF INTELLIGENT TRANSPORTATION SYSTEMS,1547-2450,3.6,0.86,
JOURNAL OF INTENSIVE CARE,2052-0492,7.1,1.488,
JOURNAL OF INTENSIVE CARE MEDICINE,0885-0666,3.1,0.926,
JOURNAL OF INTER-ORGANIZATIONAL RELATIONSHIPS,2694-3980,0,0,
JOURNAL OF INTERACTIONAL RESEARCH IN COMMUNICATION DISORDERS,2040-5111,0.3,0.055,
JOURNAL OF INTERACTIVE MARKETING,1094-9968,11.8,2.831,
JOURNAL OF INTERACTIVE MEDIA IN EDUCATION,1365-893X,3,0.612,
JOURNAL OF INTERCONNECTION NETWORKS,0219-2659,0.7,0.143,
JOURNAL OF INTERCULTURAL STUDIES,0725-6868,1,0.493,
JOURNAL OF INTERDISCIPLINARY ECONOMICS,0260-1079,0.6,0.225,
JOURNAL OF INTERDISCIPLINARY HISTORY,0022-1953,0.5,0.97,
JOURNAL OF INTERDISCIPLINARY MATHEMATICS,0972-0502,1.7,0.157,
JOURNAL OF INTERFERON AND CYTOKINE RESEARCH,1079-9907,2.3,0.664,
JOURNAL OF INTERGENERATIONAL RELATIONSHIPS,1535-0770,1.4,0.371,
JOURNAL OF INTERIOR DESIGN,1071-7641,1.3,0.175,
JOURNAL OF INTERNAL MEDICINE,0954-6820,11.1,3.087,
JOURNAL OF INTERNATIONAL ACCOUNTING AUDITING AND TAXATION,1061-9518,2.6,0,
JOURNAL OF INTERNATIONAL ACCOUNTING RESEARCH,1542-6297,1.2,0.386,
JOURNAL OF INTERNATIONAL ADVANCED OTOLOGY,1308-7649,1,0.309,
JOURNAL OF INTERNATIONAL AND COMPARATIVE EDUCATION,2232-1802,0.9,0.264,
JOURNAL OF INTERNATIONAL AND COMPARATIVE LAW,2313-3775,0.5,0,
JOURNAL OF INTERNATIONAL AND INTERCULTURAL COMMUNICATION,1751-3057,1.6,0.581,
JOURNAL OF INTERNATIONAL ARBITRATION,0255-8106,0.2,0.122,
JOURNAL OF INTERNATIONAL BUSINESS POLICY,2522-0691,7.9,3.131,
JOURNAL OF INTERNATIONAL BUSINESS STUDIES,0047-2506,11.6,4.058,
JOURNAL OF INTERNATIONAL COMMERCE ECONOMICS AND POLICY,1793-9933,0.7,0.179,
JOURNAL OF INTERNATIONAL CONSUMER MARKETING,0896-1530,3.3,0.469,
JOURNAL OF INTERNATIONAL CRIMINAL JUSTICE,1478-1387,0.9,0.381,
JOURNAL OF INTERNATIONAL DEVELOPMENT,0954-1748,1.4,0.47,
JOURNAL OF INTERNATIONAL DISPUTE SETTLEMENT,2040-3593,0.8,0.437,
JOURNAL OF INTERNATIONAL ECONOMIC LAW,1369-3034,3.1,1.129,
JOURNAL OF INTERNATIONAL ECONOMICS,0022-1996,3.3,2.954,
JOURNAL OF INTERNATIONAL EDUCATION IN BUSINESS,2046-469X,1.5,0.236,
JOURNAL OF INTERNATIONAL ENTREPRENEURSHIP,1570-7385,3.3,0.738,
JOURNAL OF INTERNATIONAL FINANCIAL MANAGEMENT & ACCOUNTING,0954-1314,5.1,0.72,
JOURNAL OF INTERNATIONAL FINANCIAL MARKETS INSTITUTIONS & MONEY,1042-4431,4,0.826,
JOURNAL OF INTERNATIONAL HUMANITARIAN LEGAL STUDIES,1878-1373,0.9,0.318,
JOURNAL OF INTERNATIONAL MANAGEMENT,1075-4253,6.1,1.348,
JOURNAL OF INTERNATIONAL MARKETING,1069-031X,5.8,1.848,
JOURNAL OF INTERNATIONAL MEDICAL RESEARCH,0300-0605,1.6,0.364,
JOURNAL OF INTERNATIONAL MIGRATION AND INTEGRATION,1488-3473,1.3,0.48,
JOURNAL OF INTERNATIONAL MONEY AND FINANCE,0261-5606,2.5,1.061,
JOURNAL OF INTERNATIONAL ORAL HEALTH,0976-7428,0.7,0,
JOURNAL OF INTERNATIONAL POLITICAL THEORY,1755-0882,1,0.709,
JOURNAL OF INTERNATIONAL RELATIONS AND DEVELOPMENT,1408-6980,1.7,0.838,
JOURNAL OF INTERNATIONAL SOCIETY OF PREVENTIVE AND COMMUNITY DENTISTRY,2231-0762,1.1,0.268,
JOURNAL OF INTERNATIONAL STUDENTS,2162-3104,2,0.525,
JOURNAL OF INTERNATIONAL STUDIES-JIS,1823-691X,9.5,1.614,
JOURNAL OF INTERNATIONAL TRADE & ECONOMIC DEVELOPMENT,0963-8199,2.1,0.412,
JOURNAL OF INTERNATIONAL TRADE LAW AND POLICY,1477-0024,0.9,0.228,
JOURNAL OF INTERNET COMMERCE,1533-2861,4.3,0.748,
JOURNAL OF INTERNET SERVICES AND APPLICATIONS,1867-4828,3.5,0.774,
JOURNAL OF INTERNET TECHNOLOGY,1607-9264,1.6,0.11,
JOURNAL OF INTERPERSONAL VIOLENCE,0886-2605,2.5,0.745,
JOURNAL OF INTERPROFESSIONAL CARE,1356-1820,2.7,0.609,
JOURNAL OF INTERVENTION AND STATEBUILDING,1750-2977,2,0.688,
JOURNAL OF INTERVENTIONAL CARDIAC ELECTROPHYSIOLOGY,1383-875X,1.8,0.495,
JOURNAL OF INTERVENTIONAL CARDIOLOGY,0896-4327,2.1,0.718,
JOURNAL OF INVASIVE CARDIOLOGY,1042-3931,1.5,0.428,
JOURNAL OF INVERSE AND ILL-POSED PROBLEMS,0928-0219,1.1,0.409,
JOURNAL OF INVERTEBRATE PATHOLOGY,0022-2011,3.4,0.579,
JOURNAL OF INVESTIGATIONAL ALLERGOLOGY AND CLINICAL IMMUNOLOGY,1018-9068,7.2,1.383,
JOURNAL OF INVESTIGATIVE DERMATOLOGY,0022-202X,6.5,2.113,
JOURNAL OF INVESTIGATIVE MEDICINE,1081-5589,2.6,0.725,
JOURNAL OF INVESTIGATIVE MEDICINE HIGH IMPACT CASE REPORTS,2324-7096,1.2,0.255,
JOURNAL OF INVESTIGATIVE PSYCHOLOGY AND OFFENDER PROFILING,1544-4759,1,0.348,
JOURNAL OF INVESTIGATIVE SURGERY,0894-1939,1.9,0.391,
JOURNAL OF INVESTING,1068-0896,0.6,0.165,
JOURNAL OF INVESTMENT MANAGEMENT,1545-9144,0.8,0.525,
JOURNAL OF INVESTMENT STRATEGIES,2047-1238,0.2,0.053,
JOURNAL OF IRON AND STEEL RESEARCH INTERNATIONAL,1006-706X,2.5,0.32,
JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,0733-9437,2.6,0.334,
JOURNAL OF ISAKOS JOINT DISORDERS & ORTHOPAEDIC SPORTS MEDICINE,2059-7754,1.6,0,
JOURNAL OF ISLAMIC ACCOUNTING AND BUSINESS RESEARCH,1759-0817,2.2,0.238,
JOURNAL OF ISLAMIC ARCHAEOLOGY,2051-9710,0.2,0.161,
JOURNAL OF ISLAMIC MANUSCRIPTS,1878-4631,0.2,0.241,
JOURNAL OF ISLAMIC MARKETING,1759-0833,3.2,0.331,
JOURNAL OF ISLAMIC STUDIES,0955-2340,0.9,1.214,
JOURNAL OF ISLAND & COASTAL ARCHAEOLOGY,1556-4894,1.7,0.634,
JOURNAL OF ISRAELI HISTORY,1353-1042,0.2,0.379,
JOURNAL OF ISTANBUL FACULTY OF MEDICINE-ISTANBUL TIP FAKULTESI DERGISI,1305-6441,0.1,0.017,
JOURNAL OF ITALIAN CINEMA AND MEDIA STUDIES,2047-7368,0.2,0.193,
JOURNAL OF JAPANESE PHILOSOPHY,2327-0195,0.2,0.107,
JOURNAL OF JAPANESE STUDIES,0095-6848,0.8,0.4,
JOURNAL OF JESUIT STUDIES,2214-1324,0.3,0.427,
JOURNAL OF JEWISH EDUCATION,1524-4113,0.4,0.142,
JOURNAL OF JEWISH ETHICS,2334-1777,0.3,0.273,
JOURNAL OF JEWISH LANGUAGES,2213-4387,0.3,0,
JOURNAL OF JEWISH STUDIES,0022-2097,0.3,0.524,
JOURNAL OF JEWISH THOUGHT & PHILOSOPHY,1053-699X,0.4,0.303,
JOURNAL OF JUDICIAL ADMINISTRATION,1036-7918,0.2,0.117,
JOURNAL OF JURISTIC PAPYROLOGY,0075-4277,0.1,0.248,
JOURNAL OF KIDNEY CANCER AND VHL,2203-5826,1.6,0.669,
JOURNAL OF KING SAUD UNIVERSITY SCIENCE,1018-3647,3.8,0.504,
