Journal	JournalFullName	ISSN	2024IF	2024AI
J FAM MED PRIM CARE	JOURNAL OF FAMILY MEDICINE AND PRIMARY CARE	2249-4863	1.0	0.332
J FAM NURS	JOURNAL OF FAMILY NURSING	1074-8407	2.9	0.84
J FAM PSYCHOL	JOURNAL OF FAMILY PSYCHOLOGY	0893-3200	2.0	0.963
J FAM SOC WORK	JOURNAL OF FAMILY SOCIAL WORK	1052-2158	0.7	0.376
J FAM STUD	JOURNAL OF FAMILY STUDIES	1322-9400	1.6	0.577
J FAM THEOR REV	JOURNAL OF FAMILY THEORY & REVIEW	1756-2570	4.5	1.776
J FAM THER	JOURNAL OF FAMILY THERAPY	0163-4445	0.9	0.38
J FAM TRAUMA CHILD C	JOURNAL OF FAMILY TRAUMA CHILD CUSTODY & CHILD DEVELOPMENT	2690-4586	1.1	0.285
J FAM VIOLENCE	JOURNAL OF FAMILY VIOLENCE	0885-7482	2.2	0.944
J FASH MARK MANAG	JOURNAL OF FASHION MARKETING AND MANAGEMENT	1361-2026	3.3	0.78
J FELINE MED SURG	JOURNAL OF FELINE MEDICINE AND SURGERY	1098-612X	2.1	0.438
J FELINE MED SURG OP	JOURNAL OF FELINE MEDICINE AND SURGERY OPEN REPORTS	2055-1169	0.7	0.0
J FEM FAM THER	JOURNAL OF FEMINIST FAMILY THERAPY	0895-2833	1.0	0.335
J FEM SCHOLARSH	JOURNAL OF FEMINIST SCHOLARSHIP	2158-6179	0.5	0.315
J FEMINIST STUD REL	JOURNAL OF FEMINIST STUDIES IN RELIGION	8755-4178	0.2	0.165
J FETAL MED	JOURNAL OF FETAL MEDICINE	2348-1153	0.2	0.068
J FIBER SCI TECHNOL	JOURNAL OF FIBER SCIENCE AND TECHNOLOGY	2189-7654	0.3	0.099
J FIELD ARCHAEOL	JOURNAL OF FIELD ARCHAEOLOGY	0093-4690	1.5	0.697
J FIELD ORNITHOL	JOURNAL OF FIELD ORNITHOLOGY	0273-8570	0.9	0.336
J FIELD ROBOT	JOURNAL OF FIELD ROBOTICS	1556-4959	5.2	1.479
J FILM VIDEO	JOURNAL OF FILM AND VIDEO	0742-4671	0.4	0.317
J FINAN ECON POLICY	JOURNAL OF FINANCIAL ECONOMIC POLICY	1757-6385	1.8	0.231
J FINANC	JOURNAL OF FINANCE	0022-1082	9.5	13.446
J FINANC COUNS PLAN	JOURNAL OF FINANCIAL COUNSELING AND PLANNING	1052-3073	1.9	0.341
J FINANC ECON	JOURNAL OF FINANCIAL ECONOMICS	0304-405X	12.0	10.003
J FINANC ECONOMET	JOURNAL OF FINANCIAL ECONOMETRICS	1479-8409	2.2	1.645
J FINANC INTERMED	JOURNAL OF FINANCIAL INTERMEDIATION	1042-9573	3.7	2.803
J FINANC MANAG PROP	JOURNAL OF FINANCIAL MANAGEMENT OF PROPERTY AND CONSTRUCTION	1366-4387	1.9	0.284
J FINANC MARK	JOURNAL OF FINANCIAL MARKETS	1386-4181	2.1	1.354
J FINANC MARK INFRAS	JOURNAL OF FINANCIAL MARKET INFRASTRUCTURES	2049-5404	0.3	0.185
J FINANC QUANT ANAL	JOURNAL OF FINANCIAL AND QUANTITATIVE ANALYSIS	0022-1090	2.8	2.841
J FINANC REGUL	JOURNAL OF FINANCIAL REGULATION	2053-4833	2.5	0.926
J FINANC REGUL COMPL	JOURNAL OF FINANCIAL REGULATION AND COMPLIANCE	1358-1988	1.8	0.255
J FINANC REPORT	JOURNAL OF FINANCIAL REPORTING	2380-2154	3.7	1.872
J FINANC REPORT ACCO	JOURNAL OF FINANCIAL REPORTING AND ACCOUNTING	1985-2517	4.2	0.382
J FINANC RES-US	JOURNAL OF FINANCIAL RESEARCH	0270-2592	2.1	0.875
J FINANC SERV MARK	JOURNAL OF FINANCIAL SERVICES MARKETING	1363-0539	4.3	0.435
J FINANC SERV RES	JOURNAL OF FINANCIAL SERVICES RESEARCH	0920-8550	2.0	0.581
J FINANC STABIL	JOURNAL OF FINANCIAL STABILITY	1572-3089	4.2	1.423
J FINANCE DATA SCI	JOURNAL OF FINANCE AND DATA SCIENCE	N/A	3.9	0.0
J FIRE SCI	JOURNAL OF FIRE SCIENCES	0734-9041	1.9	0.352
J FISH	JOURNAL OF FISHERIES	2311-729X	1.0	0.111
J FISH BIOL	JOURNAL OF FISH BIOLOGY	N/A	2.0	0.517
J FISH DIS	JOURNAL OF FISH DISEASES	0140-7775	2.2	0.376
J FISH WILDL MANAG	JOURNAL OF FISH AND WILDLIFE MANAGEMENT	1944-687X	0.9	0.282
J FIX POINT THEORY A	JOURNAL OF FIXED POINT THEORY AND APPLICATIONS	1661-7738	1.1	0.661
J FIZ MALAYS	JURNAL FIZIK MALAYSIA	0128-0333	0.1	0.013
J FLOOD RISK MANAG	JOURNAL OF FLOOD RISK MANAGEMENT	1753-318X	3.5	0.728
J FLOW CHEM	JOURNAL OF FLOW CHEMISTRY	2062-249X	2.0	0.411
J FLOW VIS IMAGE PRO	JOURNAL OF FLOW VISUALIZATION AND IMAGE PROCESSING	1065-3090	0.8	0.085
J FLUENCY DISORD	JOURNAL OF FLUENCY DISORDERS	0094-730X	1.4	0.689
J FLUID ENG-T ASME	JOURNAL OF FLUIDS ENGINEERING-TRANSACTIONS OF THE ASME	0098-2202	2.4	0.346
J FLUID MECH	JOURNAL OF FLUID MECHANICS	0022-1120	3.9	0.854
J FLUID SCI TECHNOL	JOURNAL OF FLUID SCIENCE AND TECHNOLOGY	1880-5558	0.8	0.144
J FLUID STRUCT	JOURNAL OF FLUIDS AND STRUCTURES	0889-9746	3.5	0.754
J FLUORESC	JOURNAL OF FLUORESCENCE	1053-0509	3.1	0.329
J FLUORINE CHEM	JOURNAL OF FLUORINE CHEMISTRY	0022-1139	1.9	0.262
J FOLKLORE RES	JOURNAL OF FOLKLORE RESEARCH	0737-7037	0.1	0.059
J FOOD BIOCHEM	JOURNAL OF FOOD BIOCHEMISTRY	0145-8884	4.2	0.595
J FOOD COMPOS ANAL	JOURNAL OF FOOD COMPOSITION AND ANALYSIS	0889-1575	4.6	0.583
J FOOD DRUG ANAL	JOURNAL OF FOOD AND DRUG ANALYSIS	1021-9498	3.0	0.808
J FOOD ENG	JOURNAL OF FOOD ENGINEERING	0260-8774	5.8	0.784
J FOOD MEAS CHARACT	JOURNAL OF FOOD MEASUREMENT AND CHARACTERIZATION	2193-4126	3.3	0.419
J FOOD NUTR RES-SLOV	JOURNAL OF FOOD AND NUTRITION RESEARCH	1336-8672	0.6	0.123
J FOOD PROCESS ENG	JOURNAL OF FOOD PROCESS ENGINEERING	0145-8876	2.9	0.403
J FOOD PROCESS PRES	JOURNAL OF FOOD PROCESSING AND PRESERVATION	0145-8892	2.5	0.341
J FOOD PROD MARK	JOURNAL OF FOOD PRODUCTS MARKETING	1045-4446	2.4	0.509
J FOOD PROTECT	JOURNAL OF FOOD PROTECTION	0362-028X	2.8	0.461
J FOOD QUALITY	JOURNAL OF FOOD QUALITY	0146-9428	2.9	0.459
J FOOD SAF FOOD QUAL	JOURNAL OF FOOD SAFETY AND FOOD QUALITY-ARCHIV FUR LEBENSMITTELHYGIENE	0003-925X	0.2	0.036
J FOOD SAFETY	JOURNAL OF FOOD SAFETY	0149-6085	1.8	0.303
J FOOD SCI	JOURNAL OF FOOD SCIENCE	0022-1147	3.4	0.553
J FOOD SCI TECH MYS	JOURNAL OF FOOD SCIENCE AND TECHNOLOGY-MYSORE	0022-1155	3.3	0.566
J FOOD SCI TECHNOL-U	JOURNAL OF FOOD SCIENCE AND TECHNOLOGY-UKRAINE	2073-8684	0.3	0.047
J FOOT ANKLE RES	JOURNAL OF FOOT AND ANKLE RESEARCH	N/A	2.2	0.79
J FOOT ANKLE SURG	JOURNAL OF FOOT & ANKLE SURGERY	1067-2516	1.3	0.419
J FOR SCI-PRAGUE	JOURNAL OF FOREST SCIENCE	1212-4834	1.1	0.179
J FORAMIN RES	JOURNAL OF FORAMINIFERAL RESEARCH	0096-1191	0.7	0.327
J FORECASTING	JOURNAL OF FORECASTING	0277-6693	2.7	0.615
J FOREN PSYCHOL RES	JOURNAL OF FORENSIC PSYCHOLOGY RESEARCH AND PRACTICE	2473-2850	1.1	0.281
J FORENSIC LEG MED	JOURNAL OF FORENSIC AND LEGAL MEDICINE	1752-928X	1.2	0.388
J FORENSIC NURS	JOURNAL OF FORENSIC NURSING	1556-3693	0.9	0.358
J FORENSIC PRACT	JOURNAL OF FORENSIC PRACTICE	2050-8794	0.4	0.197
J FORENSIC PSYCHI PS	JOURNAL OF FORENSIC PSYCHIATRY & PSYCHOLOGY	1478-9949	1.1	0.355
J FORENSIC SCI	JOURNAL OF FORENSIC SCIENCES	0022-1198	1.8	0.446
J FOREST	JOURNAL OF FORESTRY	0022-1201	1.8	0.482
J FOREST ECON	JOURNAL OF FOREST ECONOMICS	1104-6899	0.7	0.255
J FOREST RES-JPN	JOURNAL OF FOREST RESEARCH	1341-6979	1.1	0.293
J FORESTRY RES	JOURNAL OF FORESTRY RESEARCH	1007-662X	4.6	0.614
J FORMATIVE DES LEAR	JOURNAL OF FORMATIVE DESIGN IN LEARNING	N/A	0.9	0.18
J FORMOS MED ASSOC	JOURNAL OF THE FORMOSAN MEDICAL ASSOCIATION	0929-6646	2.5	0.653
J FOURIER ANAL APPL	JOURNAL OF FOURIER ANALYSIS AND APPLICATIONS	1069-5869	1.2	0.938
J FR FRANCOPH PHILOS	JOURNAL OF FRENCH AND FRANCOPHONE PHILOSOPHY	1936-6280	0.0	0.176
J FR LANG STUD	JOURNAL OF FRENCH LANGUAGE STUDIES	0959-2695	0.8	0.321
J FR OPHTALMOL	JOURNAL FRANCAIS D OPHTALMOLOGIE	0181-5512	1.1	0.298
J FRACTAL GEOM	JOURNAL OF FRACTAL GEOMETRY	2308-1309	0.7	0.479
J FRAILTY AGING	JOURNAL OF FRAILTY & AGING	2260-1341	3.3	1.067
J FRANKLIN I	JOURNAL OF THE FRANKLIN INSTITUTE	0016-0032	4.2	0.845
J FRESHWATER ECOL	JOURNAL OF FRESHWATER ECOLOGY	0270-5060	1.4	0.287
J FRICT WEAR+	JOURNAL OF FRICTION AND WEAR	1068-3666	0.5	0.076
J FUNCT ANAL	JOURNAL OF FUNCTIONAL ANALYSIS	0022-1236	1.6	1.625
J FUNCT BIOMATER	JOURNAL OF FUNCTIONAL BIOMATERIALS	N/A	5.2	0.78
J FUNCT FOODS	JOURNAL OF FUNCTIONAL FOODS	1756-4646	4.0	0.681
J FUNCT MORPHOL KIN	JOURNAL OF FUNCTIONAL MORPHOLOGY AND KINESIOLOGY	N/A	2.5	0.0
J FUNCT PROGRAM	JOURNAL OF FUNCTIONAL PROGRAMMING	0956-7968	0.6	0.52
J FUNCT SPACE	JOURNAL OF FUNCTION SPACES	2314-8896	1.3	0.273
J FUNGI	JOURNAL OF FUNGI	N/A	4.0	0.891
J FURTH HIGHER EDUC	JOURNAL OF FURTHER AND HIGHER EDUCATION	0309-877X	2.4	0.658
J FUSION ENERG	JOURNAL OF FUSION ENERGY	0164-0313	2.1	0.676
J FUTURE FOODS	JOURNAL OF FUTURE FOODS	N/A	7.2	1.072
J FUTURES MARKETS	JOURNAL OF FUTURES MARKETS	0270-7314	2.3	0.449
J FUTURES STUD	JOURNAL OF FUTURES STUDIES	1027-6084	1.3	0.397
J GAMBL ISSUES	JOURNAL OF GAMBLING ISSUES	1910-7595	1.0	0.409
J GAMBL STUD	JOURNAL OF GAMBLING STUDIES	1050-5350	2.2	0.686
J GAMING VIRTUAL WOR	JOURNAL OF GAMING AND VIRTUAL WORLDS	1757-191X	0.3	0.216
J GASTRIC CANCER	JOURNAL OF GASTRIC CANCER	2093-582X	3.8	0.832
J GASTROEN HEPATOL	JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY	0815-9319	3.4	1.07
J GASTROENTEROL	JOURNAL OF GASTROENTEROLOGY	0944-1174	5.5	1.797
J GASTROINTEST CANC	JOURNAL OF GASTROINTESTINAL CANCER	1941-6628	1.6	0.349
J GASTROINTEST LIVER	JOURNAL OF GASTROINTESTINAL AND LIVER DISEASES	1841-8724	2.0	0.577
J GASTROINTEST ONCOL	JOURNAL OF GASTROINTESTINAL ONCOLOGY	2078-6891	2.0	0.586
J GASTROINTEST SURG	JOURNAL OF GASTROINTESTINAL SURGERY	1091-255X	2.4	0.847
J GAY LESBIAN MENT H	JOURNAL OF GAY & LESBIAN MENTAL HEALTH	1935-9705	2.3	0.997
J GAY LESBIAN SOC SE	JOURNAL OF GAY & LESBIAN SOCIAL SERVICES	1053-8720	1.8	0.525
J GEMMOL	JOURNAL OF GEMMOLOGY	1355-4565	1.1	0.298
J GEN APPL MICROBIOL	JOURNAL OF GENERAL AND APPLIED MICROBIOLOGY	0022-1260	0.8	0.207
J GEN FAM MED	JOURNAL OF GENERAL AND FAMILY MEDICINE	2189-7948	2.3	0.586
J GEN INTERN MED	JOURNAL OF GENERAL INTERNAL MEDICINE	0884-8734	4.2	2.216
J GEN MANAG	JOURNAL OF GENERAL MANAGEMENT	0306-3070	1.3	0.267
J GEN PHILOS SCI	JOURNAL FOR GENERAL PHILOSOPHY OF SCIENCE	0925-4560	0.9	0.528
J GEN PHYSIOL	JOURNAL OF GENERAL PHYSIOLOGY	0022-1295	2.9	1.278
J GEN PLANT PATHOL	JOURNAL OF GENERAL PLANT PATHOLOGY	1345-2630	1.2	0.229
J GEN PSYCHOL	JOURNAL OF GENERAL PSYCHOLOGY	0022-1309	1.5	0.552
J GEN VIROL	JOURNAL OF GENERAL VIROLOGY	0022-1317	4.3	0.975
J GEN-BASED VIOLENCE	JOURNAL OF GENDER-BASED VIOLENCE	2398-6808	1.4	0.433
J GENDER STUD	JOURNAL OF GENDER STUDIES	0958-9236	1.5	0.78
J GENE MED	JOURNAL OF GENE MEDICINE	1099-498X	2.2	0.454
J GENET	JOURNAL OF GENETICS	0022-1333	1.2	0.29
J GENET COUNS	JOURNAL OF GENETIC COUNSELING	1059-7700	1.9	0.675
J GENET ENG BIOTECHN	JOURNAL OF GENETIC ENGINEERING AND BIOTECHNOLOGY	2090-5920	2.8	0.615
J GENET GENOMICS	JOURNAL OF GENETICS AND GENOMICS	1673-8527	7.1	1.841
J GENET PSYCHOL	JOURNAL OF GENETIC PSYCHOLOGY	0022-1325	1.7	0.53
J GENOCIDE RES	JOURNAL OF GENOCIDE RESEARCH	1462-3528	2.5	1.522
J GEOCHEM EXPLOR	JOURNAL OF GEOCHEMICAL EXPLORATION	0375-6742	3.3	0.717
J GEOD GEODYN	GEODESY AND GEODYNAMICS	1674-9847	3.3	0.54
J GEOD SCI	JOURNAL OF GEODETIC SCIENCE	2081-9919	0.8	0.207
J GEODESY	JOURNAL OF GEODESY	0949-7714	4.0	1.205
J GEODYN	JOURNAL OF GEODYNAMICS	0264-3707	2.1	0.647
J GEOGR	JOURNAL OF GEOGRAPHY	0022-1341	1.8	0.453
J GEOGR HIGHER EDUC	JOURNAL OF GEOGRAPHY IN HIGHER EDUCATION	0309-8265	1.0	0.389
J GEOGR INST JOVAN C	JOURNAL OF THE GEOGRAPHICAL INSTITUTE JOVAN CVIJIC SASA	0350-7599	0.8	0.156
J GEOGR SCI	JOURNAL OF GEOGRAPHICAL SCIENCES	1009-637X	5.2	0.93
J GEOGR SYST	JOURNAL OF GEOGRAPHICAL SYSTEMS	1435-5930	2.9	0.628
J GEOGR-ISTANBUL	JOURNAL OF GEOGRAPHY-COGRAFYA DERGISI	1302-7212	0.2	0.043
J GEOGR-TOKYO	JOURNAL OF GEOGRAPHY-CHIGAKU ZASSHI	0022-135X	0.2	0.061
J GEOL	JOURNAL OF GEOLOGY	0022-1376	1.3	0.532
J GEOL GEOGR GEOECOL	JOURNAL OF GEOLOGY GEOGRAPHY AND GEOECOLOGY	2617-2909	0.6	0.064
J GEOL SOC INDIA	JOURNAL OF THE GEOLOGICAL SOCIETY OF INDIA	0016-7622	1.5	0.275
J GEOL SOC KOREA	JOURNAL OF THE GEOLOGICAL SOCIETY OF KOREA	0435-4036	0.5	0.13
J GEOL SOC LONDON	JOURNAL OF THE GEOLOGICAL SOCIETY	0016-7649	3.0	0.99
J GEOM	JOURNAL OF GEOMETRY	0047-2468	0.5	0.271
J GEOM ANAL	JOURNAL OF GEOMETRIC ANALYSIS	1050-6926	1.5	0.95
J GEOM GRAPH	JOURNAL FOR GEOMETRY AND GRAPHICS	1433-8157	0.3	0.104
J GEOM MECH	JOURNAL OF GEOMETRIC MECHANICS	1941-4889	1.0	0.332
J GEOM PHYS	JOURNAL OF GEOMETRY AND PHYSICS	0393-0440	1.2	0.617
J GEOM SYMMETRY PHYS	JOURNAL OF GEOMETRY AND SYMMETRY IN PHYSICS	1312-5192	0.3	0.154
J GEOPHYS ENG	JOURNAL OF GEOPHYSICS AND ENGINEERING	1742-2132	1.7	0.38
J GEOPHYS RES-ATMOS	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES	2169-897X	3.4	1.47
J GEOPHYS RES-BIOGEO	JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES	2169-8953	3.5	1.249
J GEOPHYS RES-EARTH	JOURNAL OF GEOPHYSICAL RESEARCH-EARTH SURFACE	2169-9003	3.8	1.387
J GEOPHYS RES-OCEANS	JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS	2169-9275	3.4	1.215
J GEOPHYS RES-PLANET	JOURNAL OF GEOPHYSICAL RESEARCH-PLANETS	2169-9097	4.0	1.505
J GEOPHYS RES-SOL EA	JOURNAL OF GEOPHYSICAL RESEARCH-SOLID EARTH	2169-9313	4.1	1.537
J GEOPHYS RES-SPACE	JOURNAL OF GEOPHYSICAL RESEARCH-SPACE PHYSICS	2169-9380	2.9	0.724
J GEOSCI-CZECH	JOURNAL OF GEOSCIENCES	1802-6222	1.3	0.396
J GEOTECH GEOENVIRON	JOURNAL OF GEOTECHNICAL AND GEOENVIRONMENTAL ENGINEERING	1090-0241	4.4	1.083
J GEOVIS SPAT ANAL	JOURNAL OF GEOVISUALIZATION AND SPATIAL ANALYSIS	2509-8810	6.8	0.889
J GER LINGUIST	JOURNAL OF GERMANIC LINGUISTICS	1470-5427	0.7	0.712
J GERIATR CARDIOL	JOURNAL OF GERIATRIC CARDIOLOGY	1671-5411	2.6	0.717
J GERIATR ONCOL	JOURNAL OF GERIATRIC ONCOLOGY	1879-4068	2.7	1.224
J GERIATR PHYS THER	JOURNAL OF GERIATRIC PHYSICAL THERAPY	1539-8412	1.8	0.726
J GERIATR PSYCH NEUR	JOURNAL OF GERIATRIC PSYCHIATRY AND NEUROLOGY	0891-9887	2.5	0.846
J GERONTOL A-BIOL	JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES	1079-5006	3.8	1.539
J GERONTOL B-PSYCHOL	JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES	1079-5014	3.2	1.492
J GERONTOL GERIATR	JOURNAL OF GERONTOLOGY AND GERIATRICS	2499-6564	0.5	0.093
J GERONTOL NURS	JOURNAL OF GERONTOLOGICAL NURSING	0098-9134	1.1	0.346
J GERONTOL SOC WORK	JOURNAL OF GERONTOLOGICAL SOCIAL WORK	1540-4048	1.5	0.525
J GILDED AGE PROGR E	JOURNAL OF THE GILDED AGE AND PROGRESSIVE ERA	1537-7814	0.3	0.294
J GINSENG RES	JOURNAL OF GINSENG RESEARCH	1226-8453	5.6	0.78
J GIZI PANGAN	JURNAL GIZI DAN PANGAN	1978-1059	0.3	0.062
J GLACIOL	JOURNAL OF GLACIOLOGY	0022-1430	2.6	0.933
J GLASS STUD	JOURNAL OF GLASS STUDIES	0075-4250	0.2	0.119
J GLAUCOMA	JOURNAL OF GLAUCOMA	1057-0829	1.8	0.477
J GLOB ANTIMICROB RE	JOURNAL OF GLOBAL ANTIMICROBIAL RESISTANCE	2213-7165	3.2	0.934
J GLOB ECON ANAL	JOURNAL OF GLOBAL ECONOMIC ANALYSIS	2377-2999	2.6	1.661
J GLOB ENTREP RES	JOURNAL OF GLOBAL ENTREPRENEURSHIP RESEARCH	2228-7566	1.4	0.337
J GLOB FASH MARK	JOURNAL OF GLOBAL FASHION MARKETING	2093-2685	5.5	0.81
J GLOB HEALTH	JOURNAL OF GLOBAL HEALTH	2047-2978	4.3	1.515
J GLOB INF MANAG	JOURNAL OF GLOBAL INFORMATION MANAGEMENT	1062-7375	3.9	0.445
J GLOB INF TECH MAN	JOURNAL OF GLOBAL INFORMATION TECHNOLOGY MANAGEMENT	1097-198X	2.6	0.466
J GLOB INFECT DIS	JOURNAL OF GLOBAL INFECTIOUS DISEASES	0974-777X	1.1	0.424
J GLOB MARK	JOURNAL OF GLOBAL MARKETING	0891-1762	4.3	0.0
J GLOB MOBIL	JOURNAL OF GLOBAL MOBILITY-THE HOME OF EXPATRIATE MANAGEMENT RESEARCH	2049-8799	2.0	0.46
J GLOB OPER STRATEG	JOURNAL OF GLOBAL OPERATIONS AND STRATEGIC SOURCING	2398-5364	2.7	0.454
J GLOB POWER PROPULS	JOURNAL OF THE GLOBAL POWER AND PROPULSION SOCIETY	N/A	2.2	0.0
J GLOB RESPONSIB	JOURNAL OF GLOBAL RESPONSIBILITY	2041-2568	3.9	0.47
J GLOB SCHOLARS MARK	JOURNAL OF GLOBAL SCHOLARS OF MARKETING SCIENCE	2163-9159	2.7	0.358
J GLOB SECUR STUD	JOURNAL OF GLOBAL SECURITY STUDIES	2057-3170	1.7	1.325
J GLOB SPORT MANAGE	JOURNAL OF GLOBAL SPORT MANAGEMENT	2470-4067	1.9	0.407
J GLOBAL HIST	JOURNAL OF GLOBAL HISTORY	1740-0228	1.6	1.248
J GLOBAL OPTIM	JOURNAL OF GLOBAL OPTIMIZATION	0925-5001	1.7	0.873
J GLOBAL SLAVERY	JOURNAL OF GLOBAL SLAVERY	2405-8351	0.7	0.46
J GRAPH THEOR	JOURNAL OF GRAPH THEORY	0364-9024	1.0	0.793
J GREAT LAKES RES	JOURNAL OF GREAT LAKES RESEARCH	0380-1330	2.5	0.548
J GREEK LINGUIST	JOURNAL OF GREEK LINGUISTICS	1566-5844	0.4	0.114
J GREEN BUILD	JOURNAL OF GREEN BUILDING	1552-6100	0.9	0.161
J GREY SYST-UK	JOURNAL OF GREY SYSTEM	0957-3720	1.5	0.111
J GRID COMPUT	JOURNAL OF GRID COMPUTING	1570-7873	2.9	0.578
J GROUNDW SCI ENG	JOURNAL OF GROUNDWATER SCIENCE AND ENGINEERING	2305-7068	1.8	0.249
J GROUP THEORY	JOURNAL OF GROUP THEORY	1433-5883	0.5	0.486
J GUID CONTROL DYNAM	JOURNAL OF GUIDANCE CONTROL AND DYNAMICS	0731-5090	2.8	0.675
J GYNECOL OBSTET HUM	JOURNAL OF GYNECOLOGY OBSTETRICS AND HUMAN REPRODUCTION	2468-7847	1.6	0.554
J GYNECOL ONCOL	JOURNAL OF GYNECOLOGIC ONCOLOGY	2005-0380	3.7	0.909
J GYNECOL SURG	JOURNAL OF GYNECOLOGIC SURGERY	1042-4067	0.2	0.074
J HAND MICROSURG	JOURNAL OF HAND AND MICROSURGERY	0974-3227	0.5	0.204
J HAND SURG-AM	JOURNAL OF HAND SURGERY-AMERICAN VOLUME	0363-5023	2.1	0.59
J HAND SURG-ASIAN-PA	JOURNAL OF HAND SURGERY-ASIAN-PACIFIC VOLUME	2424-8355	0.5	0.18
J HAND SURG-EUR VOL	JOURNAL OF HAND SURGERY-EUROPEAN VOLUME	1753-1934	1.6	0.553
J HAND THER	JOURNAL OF HAND THERAPY	0894-1130	1.8	0.5
J HAPPINESS STUD	JOURNAL OF HAPPINESS STUDIES	1389-4978	3.3	1.266
J HARD TISSUE BIOL	JOURNAL OF HARD TISSUE BIOLOGY	1341-7649	0.4	0.085
J HAZARD MATER	JOURNAL OF HAZARDOUS MATERIALS	0304-3894	11.3	1.879
J HAZARD MATER ADV	JOURNAL OF HAZARDOUS MATERIALS ADVANCES	2772-4166	7.7	1.167
J HAZARD MATER LETT	JOURNAL OF HAZARDOUS MATERIALS LETTERS	2666-9110	8.1	1.287
J HAZARD TOXIC RADIO	JOURNAL OF HAZARDOUS TOXIC AND RADIOACTIVE WASTE	2153-5493	2.2	0.317
J HEAD NECK PHYSICIA	JOURNAL OF HEAD & NECK PHYSICIANS AND SURGEONS	2347-8128	0.2	0.049
J HEAD TRAUMA REHAB	JOURNAL OF HEAD TRAUMA REHABILITATION	0885-9701	3.3	0.966
J HEADACHE PAIN	JOURNAL OF HEADACHE AND PAIN	1129-2369	7.9	2.027
J HEALTH CARE CHAPL	JOURNAL OF HEALTH CARE CHAPLAINCY	0885-4726	1.8	0.456
J HEALTH CARE POOR U	JOURNAL OF HEALTH CARE FOR THE POOR AND UNDERSERVED	1049-2089	1.2	0.566
J HEALTH COMMUN	JOURNAL OF HEALTH COMMUNICATION	1081-0730	2.4	0.916
J HEALTH ECON	JOURNAL OF HEALTH ECONOMICS	0167-6296	3.6	2.211
J HEALTH ECON OUTCOM	JOURNAL OF HEALTH ECONOMICS AND OUTCOMES RESEARCH	2327-2236	2.3	0.0
J HEALTH LIT	JOURNAL OF HEALTH LITERACY	N/A	0.8	0.0
J HEALTH MANAG	JOURNAL OF HEALTH MANAGEMENT	0972-0634	0.6	0.22
J HEALTH ORGAN MANAG	JOURNAL OF HEALTH ORGANIZATION AND MANAGEMENT	1477-7266	2.2	0.538
J HEALTH POLIT POLIC	JOURNAL OF HEALTH POLITICS POLICY AND LAW	0361-6878	2.8	1.313
J HEALTH POPUL NUTR	JOURNAL OF HEALTH POPULATION AND NUTRITION	1606-0997	2.8	0.628
J HEALTH PSYCHOL	JOURNAL OF HEALTH PSYCHOLOGY	1359-1053	2.2	0.808
J HEALTH RES	JOURNAL OF HEALTH RESEARCH	0857-4421	0.7	0.194
J HEALTH SAF WORK	JOURNAL OF HEALTH AND SAFETY AT WORK	2251-807X	0.5	0.086
J HEALTH SERV RES PO	JOURNAL OF HEALTH SERVICES RESEARCH & POLICY	1355-8196	2.7	1.012
J HEALTH SOC BEHAV	JOURNAL OF HEALTH AND SOCIAL BEHAVIOR	0022-1465	3.6	2.36
J HEALTHC INFORM RES	JOURNAL OF HEALTHCARE INFORMATICS RESEARCH	2509-4971	3.7	1.261
J HEALTHC LEADERSH	JOURNAL OF HEALTHCARE LEADERSHIP	1179-3201	3.8	1.085
J HEALTHC MANAG	JOURNAL OF HEALTHCARE MANAGEMENT	1096-9012	2.1	0.74
J HEALTHC QUAL	JOURNAL FOR HEALTHCARE QUALITY	1062-2551	1.3	0.429
J HEALTHC QUAL RES	JOURNAL OF HEALTHCARE QUALITY RESEARCH	N/A	1.0	0.207
J HEART LUNG TRANSPL	JOURNAL OF HEART AND LUNG TRANSPLANTATION	1053-2498	6.0	2.917
J HEAT TRANS-T ASME	JOURNAL OF HEAT TRANSFER-TRANSACTIONS OF THE ASME	0022-1481	1.9	0.364
J HEBR SCR	JOURNAL OF HEBREW SCRIPTURES	1203-1542	0.1	0.424
J HELL VET MED SOC	JOURNAL OF THE HELLENIC VETERINARY MEDICAL SOCIETY	1792-2720	0.4	0.078
J HELLENIC STUD	JOURNAL OF HELLENIC STUDIES	0075-4269	0.2	0.619
J HELMINTHOL	JOURNAL OF HELMINTHOLOGY	0022-149X	1.6	0.346
J HEMATOL	JOURNAL OF HEMATOLOGY	1927-1212	1.3	0.344
J HEMATOL ONCOL	JOURNAL OF HEMATOLOGY & ONCOLOGY	N/A	40.4	8.602
J HEMATOP	JOURNAL OF HEMATOPATHOLOGY	1868-9256	0.6	0.144
J HEPATO-BIL-PAN SCI	JOURNAL OF HEPATO-BILIARY-PANCREATIC SCIENCES	1868-6974	2.8	0.939
