Rank,Full Journal Title,JCR Abbreviated Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Average Journal Impact Factor Percentile,Normalized Eigenfactor
8269,JOURNAL OF SYSTEMATIC PALAEONTOLOGY,J SYST PALAEONTOL,1477-2019,"1,448",2.833,2.657,2.549,1.163,92,6.2,20.7,0.00237,0.806,100,75.409,0.28933
8270,Journal of Systematics and Evolution,J SYST EVOL,1674-4918,"1,471",2.779,2.6,3.053,1.442,43,4.9,12.8,0.00327,0.979,100,76.282,0.3997
8271,JOURNAL OF SYSTEMS AND SOFTWARE,J SYST SOFTWARE,0164-1212,"5,873",2.45,2.274,2.637,0.638,174,6.5,7.4,0.00726,0.585,97.13,70.37,0.88593
8272,JOURNAL OF SYSTEMS ARCHITECTURE,J SYST ARCHITECT,1383-7621,"1,175",2.552,1.308,1.913,0.819,116,4.5,4.7,0.0011,0.274,98.28,65.116,0.1352
8273,Journal of Systems Engineering and Electronics,J SYST ENG ELECTRON,1004-4132,"1,201",0.907,0.848,0.883,0.128,117,6,6.6,0.00121,0.145,99.15,12.857,0.14847
8274,Journal of Systems Science & Complexity,J SYST SCI COMPLEX,1009-6124,981,0.926,0.863,0.935,0.667,93,5.7,10.7,0.00136,0.228,100,21.226,0.16713
8275,Journal of Systems Science and Systems Engineering,J SYST SCI SYST ENG,1004-3756,604,1.28,1.013,1.299,0.659,41,8.1,8.5,0.00045,0.246,97.56,29.518,0.05579
8276,Journal of Taibah University for Science,J TAIBAH UNIV SCI,1658-3655,"1,126",1.863,1.643,Not Available,0.457,129,3.2,9.1,0.00147,Not Available,99.22,48.592,0.18004
8277,JOURNAL OF TEACHER EDUCATION,J TEACH EDUC,0022-4871,"3,849",3.6,3.2,4.953,1.641,39,10.8,10.1,0.00253,1.34,100,94.487,0.30967
8278,JOURNAL OF TEACHING IN PHYSICAL EDUCATION,J TEACH PHYS EDUC,0273-5024,"1,648",1.845,1.512,2.49,1.256,43,10.6,8.1,0.00101,0.42,100,52.952,0.12429
8280,JOURNAL OF TECHNOLOGY TRANSFER,J TECHNOL TRANSFER,0892-9912,"3,311",4.147,3.42,4.632,1.063,79,6.7,12.1,0.0028,0.718,96.2,78.097,0.34264
8281,JOURNAL OF TELEMEDICINE AND TELECARE,J TELEMED TELECARE,1357-633X,"2,703",2.616,2.486,2.603,0.943,70,7.6,7.4,0.00343,0.707,77.14,63.235,0.41926
8282,JOURNAL OF TERRAMECHANICS,J TERRAMECHANICS,0022-4898,"1,457",2.043,1.768,2.213,0.464,28,9.6,12.8,0.00082,0.348,96.43,31.132,0.10073
8283,JOURNAL OF TESTING AND EVALUATION,J TEST EVAL,0090-3973,"2,130",0.877,0.744,0.871,0.423,279,6.8,9.9,0.00197,0.159,96.77,22.727,0.24038
8284,JOURNAL OF TEXTURE STUDIES,J TEXTURE STUD,0022-4901,"2,122",1.902,1.758,1.93,0.922,51,11.8,10.3,0.0013,0.379,88.24,45.683,0.15935
8285,JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,J ACAD MARKET SCI,0092-0703,"13,101",7.959,7.388,12.5,2.232,56,12,10.8,0.00745,2.683,94.64,95.066,0.90918
8286,Journal of the Academy of Nutrition and Dietetics,J ACAD NUTR DIET,2212-2672,"5,592",4.151,3.495,4.909,0.971,139,4.7,6.7,0.01235,1.29,88.49,74.719,1.50776
8287,JOURNAL OF THE ACM,J ACM,0004-5411,"6,648",1.686,1.663,2.526,0.351,37,23.7,14.5,0.00515,1.916,100,46.297,0.6285
8288,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,J ACOUST SOC AM,0001-4966,"47,141",1.78,1.315,1.908,0.517,860,16.3,11.7,0.024,0.484,99.53,64.439,2.92912
8289,JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION,J AIR WASTE MANAGE,1096-2247,"6,521",2.245,2.156,2.594,0.579,114,12.5,8.2,0.00426,0.582,92.98,41.956,0.52069
8290,Journal of the American Academy of Audiology,J AM ACAD AUDIOL,1050-0545,"2,568",1.657,1.443,1.827,0.224,76,10.4,10.8,0.00227,0.509,98.68,45.701,0.27698
8291,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,J AM ACAD CHILD PSY,0890-8567,"19,831",6.936,6.821,8.174,3.167,48,12.5,8.1,0.01784,3.066,85.42,95.663,2.17761
8293,JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,J AM ACAD DERMATOL,0190-9622,"30,658",8.277,7.586,7.95,3.191,283,9.2,7.6,0.03484,2.173,78.8,99.265,4.25137
8294,JOURNAL OF THE AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,J AM ACAD ORTHOP SUR,1067-151X,"5,991",2.286,2.254,3.213,0.696,158,8.6,7.8,0.00795,1.064,61.39,61.731,0.97061
8295,JOURNAL OF THE AMERICAN ACADEMY OF PSYCHIATRY AND THE LAW,J AM ACAD PSYCHIATRY,1093-6793,"1,086",1.191,0.956,1.604,0.667,27,10,8.6,0.00095,0.414,96.3,39.994,0.11595
8296,JOURNAL OF THE AMERICAN ANIMAL HOSPITAL ASSOCIATION,J AM ANIM HOSP ASSOC,0587-2871,"2,113",0.704,0.667,0.95,0.186,70,16.6,11.6,0.00109,0.29,100,33.451,0.13391
8297,Journal of the American Association for Laboratory Animal Science,J AM ASSOC LAB ANIM,1559-6109,"1,657",1.235,0.987,1.615,0.296,81,7.3,10.2,0.00222,0.437,100,54.089,0.27104
8298,Journal of the American Association of Nurse Practitioners,J AM ASSOC NURSE PRA,2327-6886,698,1.42,1.27,1.428,0.213,108,3.6,5.3,0.00192,0.352,91.67,38.95,0.23427
8300,Journal of the American Board of Family Medicine,J AM BOARD FAM MED,1557-2625,"3,588",2.661,2.375,2.701,1.69,100,7.3,5.8,0.00619,1.005,97,71.132,0.75572
8301,JOURNAL OF THE AMERICAN CERAMIC SOCIETY,J AM CERAM SOC,0002-7820,"46,652",3.502,3.081,3.475,1.077,752,12.8,8.7,0.02465,0.671,100,91.071,3.00836
8302,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,J AM CHEM SOC,0002-7863,"556,233",14.612,13.621,14.549,2.915,"2,507",8.8,6.5,0.62883,3.993,97.97,92.938,76.71829
8303,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,J AM COLL CARDIOL,0735-1097,"101,927",20.589,19.328,19.035,5.802,398,7.6,5.6,0.19028,7.72,82.16,98.188,23.21428
8304,JOURNAL OF THE AMERICAN COLLEGE OF NUTRITION,J AM COLL NUTR,0731-5724,"4,989",2.297,2.194,2.524,0.916,83,13.4,8.6,0.00258,0.557,83.13,32.022,0.31573
8305,Journal of the American College of Radiology,J AM COLL RADIOL,1546-1440,"4,409",4.268,3.6,3.496,1.15,180,3.7,5.1,0.01073,1.011,98.33,85.338,1.30961
8306,JOURNAL OF THE AMERICAN COLLEGE OF SURGEONS,J AM COLL SURGEONS,1072-7515,"16,886",4.59,4.41,4.677,1.458,153,8.4,6.4,0.02613,1.795,99.35,94.048,3.18877
8307,JOURNAL OF THE AMERICAN DENTAL ASSOCIATION,J AM DENT ASSOC,0002-8177,"6,967",2.803,2.438,2.95,0.725,102,13.2,8,0.00499,0.903,86.27,82.967,0.60911
8308,JOURNAL OF THE AMERICAN GERIATRICS SOCIETY,J AM GERIATR SOC,0002-8614,"33,158",4.18,3.787,4.947,1.651,324,11.1,6.6,0.03405,1.676,94.14,86.642,4.15465
8310,Journal of the American Heart Association,J AM HEART ASSOC,2047-9980,"17,149",4.605,4.45,5.038,0.699,798,3.2,7.1,0.07062,1.908,91.85,77.899,8.6157
8311,JOURNAL OF THE AMERICAN HELICOPTER SOCIETY,J AM HELICOPTER SOC,0002-8711,"1,025",0.831,0.614,1.134,0.333,39,13.9,10.9,0.00087,0.33,100,24.194,0.10617
8312,JOURNAL OF THE AMERICAN LEATHER CHEMISTS ASSOCIATION,J AM LEATHER CHEM AS,0002-9726,460,0.674,0.416,0.632,0.106,47,10.4,9,0.00019,0.069,100,27.89,0.02424
8313,JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY,J AM MATH SOC,0894-0347,"3,894",5.413,5.326,5.148,1.13,23,14.8,12.1,0.01248,7.723,100,99.537,1.52282
8314,Journal of the American Medical Directors Association,J AM MED DIR ASSOC,1525-8610,"9,162",4.367,3.964,5.655,1.203,236,4.9,7.3,0.02045,1.652,88.56,85.294,2.49608
8315,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,J AM MED INFORM ASSN,1067-5027,"9,959",4.112,3.656,4.327,1.339,186,6.7,5.6,0.01738,1.46,88.71,84.395,2.12103
8317,JOURNAL OF THE AMERICAN MOSQUITO CONTROL ASSOCIATION,J AM MOSQUITO CONTR,8756-971X,"2,253",0.942,0.777,0.969,0.044,45,15.9,9.8,0.00082,0.251,100,38.119,0.10061
8318,JOURNAL OF THE AMERICAN OIL CHEMISTS SOCIETY,J AM OIL CHEM SOC,0003-021X,"11,587",1.659,1.517,1.869,0.235,119,18,9.3,0.00345,0.336,97.48,44.245,0.4215
8319,JOURNAL OF THE AMERICAN PHARMACISTS ASSOCIATION,J AM PHARM ASSOC,1544-3191,"2,742",2.772,2.193,2.493,0.457,151,7.2,5.6,0.00301,0.538,93.38,53.519,0.36774
8320,JOURNAL OF THE AMERICAN PLANNING ASSOCIATION,J AM PLANN ASSOC,0194-4363,"3,940",4.711,4.467,4.054,0.333,33,14.6,7.7,0.00175,1.072,96.97,93.819,0.21471
8321,JOURNAL OF THE AMERICAN PODIATRIC MEDICAL ASSOCIATION,J AM PODIAT MED ASSN,8750-7315,"1,503",0.649,0.626,0.71,0.064,78,12.1,11.5,0.00098,0.183,93.59,5.488,0.12055
8322,JOURNAL OF THE AMERICAN POMOLOGICAL SOCIETY,J AM POMOL SOC,1527-3741,192,0.6,0.6,0.411,Not Available,0,11,Not Available,0.00011,0.079,Not Available,17.544,0.01358
8323,Journal of the American Psychiatric Nurses Association,J AM PSYCHIAT NURSES,1078-3903,565,1.652,1.42,1.732,0.5,38,6.5,6.6,0.00079,0.455,81.58,48.735,0.09678
8325,JOURNAL OF THE AMERICAN PSYCHOANALYTIC ASSOCIATION,J AM PSYCHOANAL ASS,0003-0651,"1,043",1.044,0.706,0.774,0.154,26,19.1,20.9,0.00106,0.373,100,56.765,0.12987
8326,JOURNAL OF THE AMERICAN SOCIETY FOR HORTICULTURAL SCIENCE,J AM SOC HORTIC SCI,0003-1062,"5,319",0.952,0.924,1.378,0.159,44,19.5,11.1,0.00112,0.278,100,43.056,0.13689
8327,JOURNAL OF THE AMERICAN SOCIETY FOR MASS SPECTROMETRY,J AM SOC MASS SPECTR,1044-0305,"9,581",3.255,2.745,2.887,0.794,281,8.4,8.6,0.01152,0.758,100,67.347,1.40615
8328,JOURNAL OF THE AMERICAN SOCIETY OF BREWING CHEMISTS,J AM SOC BREW CHEM,0361-0470,766,1.16,0.92,1.063,0.265,34,12.9,10.6,0.00047,0.196,97.06,16.698,0.05778
8329,JOURNAL OF THE AMERICAN SOCIETY OF ECHOCARDIOGRAPHY,J AM SOC ECHOCARDIOG,0894-7317,"11,347",5.508,4.818,6.812,1.176,131,8,7.5,0.01823,2.307,93.89,85.145,2.22489
8330,JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,J AM SOC NEPHROL,1046-6673,"39,047",9.274,9.004,9.024,2.295,173,9.4,7.5,0.05739,3.224,95.38,94.706,7.00179
8331,JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,J AM STAT ASSOC,0162-1459,"36,843",3.989,3.819,4.153,0.894,141,25.8,10.8,0.03237,3.963,100,97.177,3.95028
8332,JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,J AM WATER RESOUR AS,1093-474X,"6,147",2.472,2.219,2.71,1.136,81,11.7,9.4,0.00432,0.685,92.59,54.855,0.52761
8333,Journal of the Anatomical Society of India,J ANAT SOC INDIA,0003-2778,214,0.227,0.193,0.228,0,41,11.6,12.6,0.00014,0.05,97.56,2.381,0.01777
8334,Journal of the Asia Pacific Economy,J ASIA PAC ECON,1354-7860,462,0.877,0.685,1.017,0.235,34,7.5,11.2,0.00051,0.234,100,26.819,0.06273
8335,Journal of the Association for Information Science and Technology,J ASSOC INF SCI TECH,2330-1635,"2,997",2.41,2.302,3.166,0.648,105,3.8,9.3,0.00853,0.738,96.19,57.565,1.04139
8337,Journal of the Association for Information Systems,J ASSOC INF SYST,1536-9323,"2,607",2.957,2.557,4.644,0.589,56,8.5,11.8,0.00259,1.285,96.43,71.005,0.31674
8339,Journal of the Association of Environmental and Resource Economists,J ASSOC ENVIRON RESO,2333-5955,746,5.167,4.97,5.098,1.163,43,2.9,8.8,0.00507,3.023,100,93.775,0.6193
8340,JOURNAL OF THE ASTRONAUTICAL SCIENCES,J ASTRONAUT SCI,0021-9142,"1,080",2.775,2.65,2.539,0.357,28,13.5,10.2,0.00078,0.696,100,85.484,0.09545
8341,JOURNAL OF THE ATMOSPHERIC SCIENCES,J ATMOS SCI,0022-4928,"30,109",3.194,2.547,3.798,0.94,199,18.2,11.4,0.02331,1.483,100,63.978,2.84419
8342,JOURNAL OF THE AUDIO ENGINEERING SOCIETY,J AUDIO ENG SOC,1549-4950,"1,166",0.79,0.572,0.714,0.379,66,16.8,10.4,0.00063,0.154,96.97,17.66,0.0772
8343,Journal of the Australian Ceramic Society,J AUST CERAM SOC,2510-1560,498,1.307,1.073,1.028,0.543,129,2.5,9.1,0.00051,0.127,100,55.357,0.06246
8344,Journal of the Australian Library and Information Association,J AUST LIB INF ASSOC,2475-0158,27,0.49,0.367,0.49,0.12,25,Not Available,6.5,0.00003,0.063,96,16.667,0.00473
8345,JOURNAL OF THE AUSTRALIAN MATHEMATICAL SOCIETY,J AUST MATH SOC,1446-7887,729,0.742,0.73,0.771,0.459,37,12.9,17.6,0.00166,0.581,100,45.525,0.20331
8346,JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY,J BRAZIL CHEM SOC,0103-5053,"5,983",1.399,1.318,1.537,0.356,261,8.1,8.1,0.00435,0.247,95.79,29.096,0.53107
8347,Journal of the Brazilian Society of Mechanical Sciences and Engineering,J BRAZ SOC MECH SCI,1678-5878,"3,351",1.755,1.444,1.698,0.479,574,2.6,7.5,0.00413,0.231,95.47,41.923,0.50428
8348,JOURNAL OF THE CANADIAN DENTAL ASSOCIATION,J CAN DENT ASSOC,1488-2159,"1,195",1.2,1.2,0.917,0,10,14,7.5,0.0003,0.225,80,17.033,0.03739
8349,JOURNAL OF THE CERAMIC SOCIETY OF JAPAN,J CERAM SOC JPN,1882-0743,"2,790",1.067,0.922,0.938,0.128,149,9.1,9.3,0.00205,0.168,97.32,44.643,0.25011
8350,JOURNAL OF THE CHEMICAL SOCIETY OF PAKISTAN,J CHEM SOC PAKISTAN,0253-5106,901,0.3,0.273,0.421,0.048,125,7.2,10.3,0.00059,0.062,100,1.412,0.07253
8351,JOURNAL OF THE CHILEAN CHEMICAL SOCIETY,J CHIL CHEM SOC,0717-9707,942,0.617,0.551,0.701,0.09,67,7.1,9.8,0.00057,0.095,97.01,13.277,0.06964
8352,JOURNAL OF THE CHINESE CHEMICAL SOCIETY,J CHIN CHEM SOC-TAIP,0009-4536,"2,315",1.554,1.252,1.148,0.339,177,7.6,8.2,0.0015,0.151,97.18,32.486,0.18408
8353,JOURNAL OF THE CHINESE INSTITUTE OF ENGINEERS,J CHIN INST ENG,0253-3839,739,0.667,0.62,0.64,0.325,80,7.5,8.7,0.00057,0.096,100,11.538,0.06993
8354,Journal of the Chinese Medical Association,J CHIN MED ASSOC,1726-4901,"2,153",2.17,1.83,1.968,0.688,154,4.9,8,0.00287,0.403,90.26,62.121,0.35128
8355,Journal of the Chinese Society of Mechanical Engineers,J CHIN SOC MECH ENG,0257-9731,104,0.164,0.149,0.154,0.013,79,6.2,10.3,0.00008,0.022,98.73,0.385,0.01093
8356,JOURNAL OF THE COPYRIGHT SOCIETY OF THE USA,J COPYRIGHT SOC USA,0886-3520,77,0.115,0.077,0.129,0.25,8,Not Available,6.7,0.00004,0.05,100,2.922,0.0054
8357,Journal of the Economic and Social History of the Orient,J ECON SOC HIST ORIE,0022-4995,362,0.2,0.182,0.421,0.107,28,21.2,19.2,0.00023,0.145,100,9.5,0.0281
8358,Journal of the Economics of Ageing,J ECON AGEING,2212-828X,255,1.755,1.306,Not Available,0.586,29,3.6,8,0.00088,Not Available,100,56.777,0.10825
8359,JOURNAL OF THE ELECTROCHEMICAL SOCIETY,J ELECTROCHEM SOC,0013-4651,"77,774",3.721,2.986,3.719,0.936,"1,587",10.4,6.2,0.0603,0.715,97.35,67.989,7.35736
8360,JOURNAL OF THE ENERGY INSTITUTE,J ENERGY INST,1743-9671,"2,256",4.748,4.322,4.557,1.733,180,2.7,7.7,0.00375,0.789,96.67,70.982,0.45814
8361,JOURNAL OF THE ENTOMOLOGICAL RESEARCH SOCIETY,J ENTOMOL RES SOC,1302-0250,120,0.328,0.328,0.275,0.333,9,7.2,14.4,0.0002,0.101,100,2.475,0.0248
8362,JOURNAL OF THE EUROPEAN ACADEMY OF DERMATOLOGY AND VENEREOLOGY,J EUR ACAD DERMATOL,0926-9959,"12,492",5.248,4.604,4.574,1.63,308,5.1,6.6,0.02017,1.126,82.47,93.382,2.46179
8363,JOURNAL OF THE EUROPEAN CERAMIC SOCIETY,J EUR CERAM SOC,0955-2219,"28,946",4.495,3.898,4.283,1.341,646,7.4,8.7,0.02454,0.71,99.23,98.214,2.99453
8364,Journal of the European Economic Association,J EUR ECON ASSOC,1542-4766,"4,462",3.388,3.353,4.361,1.327,49,9.1,10.7,0.01449,5.241,100,88.005,1.76824
8365,JOURNAL OF THE EUROPEAN MATHEMATICAL SOCIETY,J EUR MATH SOC,1435-9855,"2,140",2.19,2.155,2.333,0.953,85,6.1,16,0.0161,3.173,100,90.356,1.96463
8366,Journal of the European Optical Society-Rapid Publications,J EUR OPT SOC-RAPID,****-****,600,1.239,1.224,1.093,0.292,24,6.4,8,0.0007,0.245,95.83,22.165,0.08555
8367,JOURNAL OF THE FACULTY OF AGRICULTURE KYUSHU UNIVERSITY,J FAC AGR KYUSHU U,0023-6152,378,0.271,0.132,0.304,0.118,51,10.5,12.5,0.00021,0.054,100,7.759,0.02675
8368,Journal of the Faculty of Engineering and Architecture of Gazi University,J FAC ENG ARCHIT GAZ,1300-1884,565,0.724,0.385,0.685,0.081,160,4.3,8.9,0.00036,0.058,100,13.736,0.04491
8369,JOURNAL OF THE FORMOSAN MEDICAL ASSOCIATION,J FORMOS MED ASSOC,0929-6646,"3,929",3.008,2.191,2.733,1.507,209,5.5,8,0.00451,0.552,89.95,74.848,0.55072
8370,JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS,J FRANKLIN I,0016-0032,"10,547",4.036,3.313,3.888,0.848,539,4.1,5.4,0.0198,0.885,99.07,83.041,2.41638
8371,JOURNAL OF THE GEOLOGICAL SOCIETY,J GEOL SOC LONDON,0016-7649,"9,207",3.1,2.913,3.556,1.103,87,15.7,14.3,0.00556,1.231,96.55,74.75,0.67898
8372,JOURNAL OF THE GEOLOGICAL SOCIETY OF INDIA,J GEOL SOC INDIA,0016-7622,"3,096",0.899,0.779,0.895,0.191,157,11.5,17.6,0.00146,0.146,98.73,11.25,0.17815
8373,Journal of the Gilded Age and Progressive Era,J GILDED AGE PROGR E,1537-7814,71,0.111,0.111,0.2,0.526,19,Not Available,45.4,0.00023,0.138,100,5.5,0.0287
8374,Journal of the Hellenic Veterinary Medical Society,J HELL VET MED SOC,1792-2720,119,0.327,0.314,0.321,0.013,76,3.7,11.8,0.0002,0.07,93.42,13.028,0.02546
8375,JOURNAL OF THE HISTORY OF BIOLOGY,J HIST BIOL,0022-5010,636,0.864,0.705,0.99,0.409,22,18,34,0.00057,0.433,95.45,46.006,0.07007
8377,Journal of the History of Economic Thought,J HIST ECON THOUGHT,1053-8372,272,0.735,0.531,0.554,0.04,25,12,34.4,0.00053,0.349,100,72.368,0.06513
8378,JOURNAL OF THE HISTORY OF MEDICINE AND ALLIED SCIENCES,J HIST MED ALL SCI,0022-5045,500,0.806,0.75,0.898,0.059,17,18.8,28.5,0.00062,0.56,100,36.974,0.07596
8380,JOURNAL OF THE HISTORY OF SEXUALITY,J HIST SEXUALITY,1043-4070,343,0.75,0.625,0.667,0.067,15,15.2,23.2,0.00029,0.291,100,51.083,0.0363
8381,JOURNAL OF THE HISTORY OF THE BEHAVIORAL SCIENCES,J HIST BEHAV SCI,0022-5061,397,0.393,0.357,0.571,0.067,15,17.5,32,0.00026,0.27,100,19.118,0.03202
8382,Journal of the History of the Neurosciences,J HIST NEUROSCI,0964-704X,282,0.347,0.204,0.347,0.095,21,12.6,76.6,0.00018,0.118,90.48,12.523,0.02244
8383,JOURNAL OF THE INDIAN CHEMICAL SOCIETY,J INDIAN CHEM SOC,0019-4522,839,0.233,0.19,0.162,0.029,241,19.3,11.5,0.0003,0.023,95.85,0.847,0.03736
8384,JOURNAL OF THE INDIAN INSTITUTE OF SCIENCE,J INDIAN I SCI,0970-4140,419,0.742,0.742,0.8,0.119,42,7.2,8,0.00038,0.194,2.38,24.648,0.0464
8385,Journal of the Indian Society of Remote Sensing,J INDIAN SOC REMOTE,0255-660X,"1,302",0.997,0.912,1.102,0.281,178,5.8,9.7,0.00133,0.188,98.31,6.211,0.16248
8386,JOURNAL OF THE INSTITUTE OF BREWING,J I BREWING,0046-9750,"2,500",1.504,1.346,1.738,0.408,49,11.1,10.8,0.00148,0.302,89.8,29.856,0.18134
8387,Journal of the Institute of Mathematics of Jussieu,J INST MATH JUSSIEU,1474-7480,472,1.254,1.237,1.18,1.029,35,7.7,14.1,0.00278,1.726,100,77.315,0.34032
8388,Journal of the International AIDS Society,J INT AIDS SOC,****-****,"4,956",5.553,5.003,5.867,0.887,177,3.9,4.6,0.01822,2.378,89.27,85.999,2.22342
8389,JOURNAL OF THE INTERNATIONAL NEUROPSYCHOLOGICAL SOCIETY,J INT NEUROPSYCH SOC,1355-6177,"6,899",2.576,2.435,3.208,0.333,108,10.1,10.9,0.00649,1.07,92.59,51.088,0.79268
8390,Journal of the International Phonetic Association,J INT PHON ASSOC,0025-1003,363,0.605,0.605,0.71,0.3,20,11.3,18.1,0.00033,0.282,100,35.027,0.04046
8391,Journal of the International Society of Sports Nutrition,J INT SOC SPORT NUTR,****-****,"2,138",5.068,4.485,4.567,0.509,57,5.4,8.3,0.00245,0.771,87.72,89.18,0.29947
8392,Journal of the Iranian Chemical Society,J IRAN CHEM SOC,1735-207X,"2,717",1.552,1.367,1.433,0.405,264,4.2,8.2,0.00278,0.184,99.62,31.921,0.34003
8393,Journal of the Japan Institute of Metals and Materials,J JPN I MET MATER,0021-4876,"1,127",0.361,0.265,0.339,0.175,63,21.8,12.4,0.00033,0.063,96.83,4.43,0.04129
8394,JOURNAL OF THE JAPAN PETROLEUM INSTITUTE,J JPN PETROL INST,1346-8804,499,0.89,0.793,0.869,0.128,39,7.8,8.8,0.00037,0.148,69.23,21.793,0.04547
8395,JOURNAL OF THE JAPANESE AND INTERNATIONAL ECONOMIES,J JPN INT ECON,0889-1583,686,0.909,0.782,1.026,0.333,39,10.6,9.1,0.00058,0.299,100,29.61,0.07129
8396,JOURNAL OF THE JAPANESE SOCIETY FOR FOOD SCIENCE AND TECHNOLOGY-NIPPON SHOKUHIN KAGAKU KOGAKU KAISHI,J JPN SOC FOOD SCI,1341-027X,620,0.185,0.089,0.21,0.018,56,19,12.3,0.00011,0.024,67.86,2.518,0.01417
8397,JOURNAL OF THE KANSAS ENTOMOLOGICAL SOCIETY,J KANSAS ENTOMOL SOC,0022-8567,"1,376",0.292,0.292,0.435,0.143,7,28.5,11.6,0.00037,0.155,100,1.485,0.04613
8398,Journal of the Korean Astronomical Society,J KOREAN ASTRON SOC,1225-4614,278,0.725,0.65,1.217,0.182,22,5,8.9,0.00076,0.437,100,12.5,0.09294
8399,JOURNAL OF THE KOREAN MATHEMATICAL SOCIETY,J KOREAN MATH SOC,0304-9914,792,0.63,0.599,0.696,0.145,83,8.5,13.6,0.00164,0.314,100,23.568,0.20051
8400,JOURNAL OF THE KOREAN PHYSICAL SOCIETY,J KOREAN PHYS SOC,0374-4884,"3,559",0.535,0.462,0.488,0.154,356,7.7,10.4,0.00335,0.097,96.63,6.471,0.4088
8401,Journal of the Korean Statistical Society,J KOREAN STAT SOC,1226-3192,344,0.556,0.533,0.62,0.13,46,6.4,13.7,0.00099,0.316,95.65,5.242,0.12183
8402,JOURNAL OF THE LEARNING SCIENCES,J LEARN SCI,1050-8406,"2,464",3.588,3.471,4.379,1.083,12,13.9,13.4,0.00159,1.448,100,92.47,0.19404
8403,JOURNAL OF THE LEPIDOPTERISTS SOCIETY,J LEPID SOC,0024-0966,500,0.646,0.544,0.559,0.028,36,19.7,19.2,0.00033,0.133,91.67,21.287,0.04143
8404,JOURNAL OF THE LONDON MATHEMATICAL SOCIETY-SECOND SERIES,J LOND MATH SOC,0024-6107,"4,371",1.121,1.114,1.195,0.395,86,27,15.1,0.00728,1.446,100,72.068,0.88853
8405,JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM,J MAR BIOL ASSOC UK,0025-3154,"6,129",1.181,1.116,1.281,0.433,187,14.8,15.1,0.00355,0.346,95.72,37.264,0.43374
8406,JOURNAL OF THE MATHEMATICAL SOCIETY OF JAPAN,J MATH SOC JPN,0025-5645,"1,538",0.68,0.664,0.804,0.125,56,30.6,18,0.00348,0.86,100,38.117,0.42514
8407,Journal of the Mechanical Behavior of Biomedical Materials,J MECH BEHAV BIOMED,1751-6161,"11,230",3.372,3.07,3.622,0.827,434,4.2,9.1,0.02011,0.783,99.08,60.428,2.45427
8408,JOURNAL OF THE MECHANICS AND PHYSICS OF SOLIDS,J MECH PHYS SOLIDS,0022-5096,"21,104",5,4.377,4.979,1.401,292,13.5,10.5,0.01987,1.509,100,81.389,2.42486
8409,JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION,J MED LIBR ASSOC,1536-5050,"1,129",2.042,1.583,2.299,0.279,68,7.2,5.4,0.00154,0.579,89.71,58.046,0.18804
8410,JOURNAL OF THE METEOROLOGICAL SOCIETY OF JAPAN,J METEOROL SOC JPN,0026-1165,"4,835",1.976,1.81,4.367,0.817,60,14.6,10,0.00469,1.73,98.33,36.022,0.57293
8411,Journal of the Mexican Chemical Society,J MEX CHEM SOC,1870-249X,524,0.538,0.538,0.947,0.057,35,6.9,10.1,0.00042,0.15,100,9.887,0.05202
8412,Journal of the National Comprehensive Cancer Network,J NATL COMPR CANC NE,1540-1405,"6,912",9.316,9.224,6.78,1.503,155,3.7,5.9,0.02002,2.308,84.52,91.598,2.44275
8413,JOURNAL OF THE NATIONAL MEDICAL ASSOCIATION,J NATL MED ASSOC,0027-9684,"2,773",1.03,0.94,0.913,0.42,81,13.4,8.2,0.0007,0.269,88.89,29.394,0.08593
8414,JOURNAL OF THE NATIONAL SCIENCE FOUNDATION OF SRI LANKA,J NATL SCI FOUND SRI,1391-4588,285,0.378,0.378,0.473,0.068,44,7.4,10.2,0.00023,0.084,100,9.155,0.02894
8415,JOURNAL OF THE NEUROLOGICAL SCIENCES,J NEUROL SCI,0022-510X,"18,170",3.115,2.98,2.778,0.729,291,9,7.7,0.0222,0.767,86.25,58.156,2.70911
