Journal name,JCR Abbreviated Title,ISSN,eISSN,Category,Total Citations,Journal Impact Factor,JIF Quartile,JIF Percentile,Article Influence Score,AIS Quartile,Journal Citation Indicator (JCI),JCI Percentile,% of OA Gold,5 Year JIF,JIF Without Self Cites,Immediacy Index,Eigenfactor,Normalized Eigenfactor,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
INTERNATIONAL JOURNAL OF CLIMATOLOGY,INT J CLIMATOL,0899-8418,1097-0088,METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE,30.631,3.651,Q2,52.66,1.164,Q2,0.78,56.94,16.2,4.914,3.248,0.853,0.02698,5.76712,517,99.42,7.5,8.4,514
INTERNATIONAL JOURNAL OF CLINICAL AND EXPERIMENTAL HYPNOSIS,INT J CLIN EXP HYP,0020-7144,1744-5183,Multiple,1.111,2.056,Q4,25,0.399,Q4,0.45,31.92,9.41,1.795,1.741,0.774,0.0005,0.10689,31,93.55,12.9,13.9,29
International Journal of Clinical and Health Psychology,INT J CLIN HLTH PSYC,1697-2600,1576-7329,PSYCHOLOGY. CLINICAL - SSCI,2.181,5.9,Q1,85,1.155,Q2,1.71,92.37,100,6.093,4.75,5.55,0.00164,0.35161,40,97.5,5.7,5.6,39
International Journal of Clinical Oncology,INT J CLIN ONCOL,1341-9625,1437-7772,ONCOLOGY - SCIE,5.193,3.85,Q3,43.06,0.76,Q3,0.73,55.05,13.32,3.467,3.703,0.506,0.00655,1.40136,239,89.96,4.3,6.4,215
INTERNATIONAL JOURNAL OF CLINICAL PHARMACOLOGY AND THERAPEUTICS,INT J CLIN PHARM TH,0946-1965,0946-1965,PHARMACOLOGY & PHARMACY - SCIE,2.219,0.976,Q4,5.91,0.256,Q4,0.36,22.02,0,1.158,0.882,0.275,0.00121,0.25979,102,96.08,11,8.5,98
International Journal of Clinical Pharmacy,INT J CLIN PHARM-NET,2210-7703,2210-7711,PHARMACOLOGY & PHARMACY - SCIE,3.86,2.305,Q4,22.76,0.532,Q3,0.53,37.53,20.86,2.679,2.172,0.452,0.00453,0.96993,126,90.48,5.1,6.4,114
INTERNATIONAL JOURNAL OF CLINICAL PRACTICE,INT J CLIN PRACT,1368-5031,1742-1241,MEDICINE. GENERAL & INTERNAL - SCIE,7.851,3.149,Q2,55.52,0.708,Q2,0.69,77.36,9.04,3.093,2.996,0.688,0.00537,1.149,972,88.37,7.9,6.3,859
International Journal of Clothing Science and Technology,INT J CLOTH SCI TECH,0955-6222,1758-5953,MATERIALS SCIENCE. TEXTILES - SCIE,1.043,1.006,Q3,40.38,0.165,Q3,0.28,36.21,0.44,1.17,0.886,0.038,0.00057,0.12219,53,100,7.6,7.6,53
INTERNATIONAL JOURNAL OF COAL GEOLOGY,INT J COAL GEOL,0166-5162,1872-7840,Multiple,18.683,6.3,Q1,91.29,1.19,Q1,1.23,85.86,10.07,7.387,5.549,1.391,0.00983,2.10194,110,97.27,8.3,12,107
International Journal of Coal Preparation and Utilization,INT J COAL PREP UTIL,1939-2699,1939-2702,Multiple,1.112,2.791,Q2,57.5,0.318,Q3,0.58,59.68,0.33,2.68,2.178,0.729,0.00075,0.16126,144,98.61,3,9.2,142
International Journal of Cognitive Therapy,INT J COGN THER,1937-1209,1937-1217,Multiple,991,2.069,Q3,25.77,0.461,Q4,0.4,28.6,15.56,1.763,1.845,0.656,0.00057,0.12258,32,93.75,7.3,9.6,30
INTERNATIONAL JOURNAL OF COLORECTAL DISEASE,INT J COLORECTAL DIS,0179-1958,1432-1262,Multiple,8.665,2.796,Q2,57.58,0.773,Q2,0.73,61.11,18.52,3.108,2.671,0.616,0.00899,1.92301,245,72.24,6.7,7.3,177
International Journal of Communication,INT J COMMUN-US,1932-8036,1932-8036,COMMUNICATION - SSCI,4.829,1.637,Q4,19.68,0.947,Q3,0.64,52.76,0,2.222,1.501,0.43,0.01193,2.55061,237,99.58,5.3,7.2,236
INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS,INT J COMMUN SYST,1074-5351,1099-1131,Multiple,3.307,1.882,Q3,31.7,0.232,Q4,0.46,42.59,0.98,1.592,1.714,0.581,0.00346,0.73996,351,98.29,3,5.1,345
INTERNATIONAL JOURNAL OF COMPARATIVE SOCIOLOGY,INT J COMP SOCIOL,0020-7152,1745-2554,SOCIOLOGY - SSCI,1.027,2.156,Q2,50.34,1.288,Q2,0.84,58.61,20.75,2.966,2.031,0.667,0.00107,0.23009,21,95.24,10.9,9.9,20
INTERNATIONAL JOURNAL OF COMPUTATIONAL FLUID DYNAMICS,INT J COMPUT FLUID D,1061-8562,1029-0257,Multiple,969,1.443,Q4,22.06,0.476,Q3,0.41,29.14,3.48,1.483,1.316,0.25,0.0008,0.17195,36,100,11.2,11.4,36
International Journal of Computational Intelligence Systems,INT J COMPUT INT SYS,1875-6891,1875-6883,Multiple,2.213,2.259,Q3,30.53,0.328,Q4,0.43,36.24,88.68,2.244,2.044,1.113,0.00172,0.36896,150,100,4.6,5.8,150
International Journal of Computational Methods,INT J COMP METH-SING,0219-8762,1793-6969,Multiple,1.669,1.734,Q3,42.13,0.353,Q3,0.7,72.29,1.31,1.851,1.493,0.725,0.00175,0.3758,109,100,4.2,10.5,109
International Journal of Computer Assisted Radiology and Surgery,INT J COMPUT ASS RAD,1861-6410,1861-6429,Multiple,4.904,3.421,Q2,71.33,0.723,Q2,0.92,75.25,27.34,3.408,3.144,0.431,0.00684,1.46249,239,96.65,4.2,5.4,231
INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,INT J COMPUT INTEG M,0951-192X,1362-3052,Multiple,3.069,4.42,Q2,70.69,0.604,Q3,0.8,66.5,6.92,3.772,3.807,0.889,0.00257,0.54964,108,97.22,4.9,5.4,105
INTERNATIONAL JOURNAL OF COMPUTER MATHEMATICS,INT J COMPUT MATH,0020-7160,1029-0265,MATHEMATICS. APPLIED - SCIE,3.598,1.75,Q2,63.11,0.413,Q3,0.92,66.4,1.75,1.729,1.641,0.538,0.00317,0.67924,130,96.15,7.7,9.3,125
INTERNATIONAL JOURNAL OF COMPUTER VISION,INT J COMPUT VISION,0920-5691,1573-1405,COMPUTER SCIENCE. ARTIFICIAL INTELLIGENCE - SCIE,23.067,13.369,Q1,93.4,3.466,Q1,2.61,94.97,21.04,11.478,13.099,1.915,0.01735,3.70822,130,99.23,8.5,4.8,129
International Journal of Computer-Supported Collaborative Learning,INT J COMP-SUPP COLL,1556-1607,1556-1615,Multiple,1.227,5.611,Q1,93.07,1.565,Q1,2.36,96.04,31.48,5.685,4.611,0.556,0.00132,0.28271,18,100,7.2,8.9,18
International Journal of Computerized Dentistry,INT J COMPUT DENT,1463-4201,1463-4201,DENTISTRY. ORAL SURGERY & MEDICINE - SCIE,731,2.923,Q2,53.8,0.623,Q2,0.87,62.97,0,2.718,2.785,0.237,0.00084,0.17967,38,100,5.5,5.8,38
International Journal of Computers Communications & Control,INT J COMPUT COMMUN,1841-9836,1841-9844,Multiple,1.297,2.635,Q3,43.85,0.264,Q4,0.66,57.93,92,1.926,2.452,1.5,0.00074,0.15948,60,100,5.9,5.4,60
International Journal of Concrete Structures and Materials,INT J CONCR STRUCT M,1976-0485,2234-1315,Multiple,1.827,3.192,Q2,58.09,0.598,Q2,0.6,61.24,99.41,3.673,3.108,0.56,0.00172,0.36767,50,100,5.1,8,50
International Journal of Conflict and Violence,INT J CONFL VIOLENCE,1864-1385,1864-1385,Multiple,369,1.654,Q3,38.77,0.589,Q3,0.75,54.58,0,1.561,1.615,0,0.00036,0.0789,4,100,9.4,9.8,4
INTERNATIONAL JOURNAL OF CONFLICT MANAGEMENT,INT J CONFL MANAGE,1044-4068,1758-8545,COMMUNICATION - SSCI,1.332,2.551,Q3,49.47,0.432,Q4,0.91,68.43,0,2.616,2.011,0.171,0.00072,0.15514,35,97.14,10.6,11,34
International Journal of Consumer Studies,INT J CONSUM STUD,1470-6423,1470-6431,BUSINESS - SSCI,5.787,7.096,Q2,73.05,0.698,Q3,1.13,75.42,10.67,5.454,5.119,2.822,0.00246,0.52741,118,77.97,7.3,7.5,92
International Journal of Contemporary Hospitality Management,INT J CONTEMP HOSP M,0959-6119,1757-1049,Multiple,13.022,9.321,Q1,87.83,1.289,Q1,1.94,94.27,1.75,9.72,6.392,1.854,0.01083,2.31573,260,86.15,4.2,5.9,224
INTERNATIONAL JOURNAL OF CONTROL,INT J CONTROL,0020-7179,1366-5820,AUTOMATION & CONTROL SYSTEMS - SCIE,10.199,2.102,Q3,31.54,0.61,Q3,0.57,49.39,2.72,2.342,1.855,0.885,0.00764,1.63465,419,99.76,10.4,8.6,418
INTERNATIONAL JOURNAL OF CONTROL AUTOMATION AND SYSTEMS,INT J CONTROL AUTOM,1598-6446,2005-4092,AUTOMATION & CONTROL SYSTEMS - SCIE,5.366,2.964,Q2,51.54,0.43,Q3,0.62,54.27,0,2.666,2.382,0.541,0.00598,1.27854,244,100,3.6,5.3,244
INTERNATIONAL JOURNAL OF COOPERATIVE INFORMATION SYSTEMS,INT J COOP INF SYST,0218-8430,1793-6365,COMPUTER SCIENCE. INFORMATION SYSTEMS - SCIE,178,0.563,Q4,2.13,0.096,Q4,0.26,18.9,6.25,0.589,0.563,N/A,0.00006,0.01417,N/A,N/A,10.4,N/A,N/A
International Journal of Corpus Linguistics,INT J CORPUS LINGUIS,1384-6655,1569-9811,Multiple,870,0.919,N/A,37.37,0.932,Q1,0.93,73.92,5.26,1.811,0.784,0.45,0.00084,0.17986,20,100,11.4,10.3,20
INTERNATIONAL JOURNAL OF COSMETIC SCIENCE,INT J COSMETIC SCI,0142-5463,1468-2494,DERMATOLOGY - SCIE,3.397,2.416,Q3,41.91,0.435,Q3,0.64,52.72,22.58,2.802,2.262,0.618,0.00154,0.33049,68,92.65,8.8,10.5,63
INTERNATIONAL JOURNAL OF CRASHWORTHINESS,INT J CRASHWORTHINES,1358-8265,1754-2111,Multiple,1.371,1.472,Q4,18.61,0.24,Q4,0.35,27.97,2.95,1.466,1.28,0.363,0.00084,0.18094,91,94.51,8.1,8.6,86
International Journal of Critical Infrastructure Protection,INT J CRIT INFR PROT,1874-5482,2212-2087,Multiple,886,3.683,Q2,69.02,0.527,Q2,1.02,82,8.26,3.254,3.524,0.739,0.00069,0.14775,46,95.65,5.2,6.5,44
International Journal of Cultural Policy,INT J CULT POLICY,1028-6632,1477-2833,Multiple,1.222,1.685,N/A,70.93,0.582,Q3,1.84,84.82,14.09,1.763,1.418,0.291,0.00165,0.35468,55,100,6.7,9.4,55
International Journal of Cultural Studies,INT J CULTURAL STUD,1367-8779,1460-356X,Multiple,1.123,1.754,N/A,73.26,0.803,Q2,1.62,77.68,17.24,1.677,1.687,0.25,0.00196,0.41897,40,100,8.1,8.6,40
INTERNATIONAL JOURNAL OF DAIRY TECHNOLOGY,INT J DAIRY TECHNOL,1364-727X,1471-0307,FOOD SCIENCE & TECHNOLOGY - SCIE,3.175,4.286,Q2,67.48,0.43,Q3,0.8,67.38,5.37,3.408,3.804,0.473,0.00182,0.38959,74,90.54,6.2,7.8,67
INTERNATIONAL JOURNAL OF DAMAGE MECHANICS,INT J DAMAGE MECH,1056-7895,1530-7921,Multiple,2.428,3.988,Q2,72.83,0.58,Q2,0.92,74.54,1.24,3.616,2.783,1.427,0.00194,0.41461,75,96,4.8,8.2,72
International Journal of Data Mining and Bioinformatics,INT J DATA MIN BIOIN,1748-5673,1748-5681,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,329,0.339,Q4,0.88,0.103,Q4,0.13,2.24,0,0.573,0.306,0,0.00022,0.04723,7,100,7,9.1,7
International Journal of Data Warehousing and Mining,INT J DATA WAREHOUS,1548-3924,1548-3932,COMPUTER SCIENCE. SOFTWARE ENGINEERING - SCIE,334,1.333,Q4,22.27,0.11,Q4,0.44,27.44,0,0.955,1.071,0.368,0.00009,0.0199,19,94.74,13.2,6.8,18
International Journal of Dental Hygiene,INT J DENT HYG,1601-5029,1601-5037,DENTISTRY. ORAL SURGERY & MEDICINE - SCIE,1.359,2.725,Q3,47.28,0.42,Q4,0.79,55.38,20.59,2.251,2.44,0.19,0.00109,0.23452,79,79.75,6.6,9.1,63
INTERNATIONAL JOURNAL OF DERMATOLOGY,INT J DERMATOL,0011-9059,1365-4632,DERMATOLOGY - SCIE,10.043,3.204,Q2,61.03,0.68,Q2,0.69,58.15,3.89,2.806,3.066,0.772,0.00793,1.69466,219,62.56,9.1,7,137
International Journal of Design,INT J DES,1991-3761,1994-036X,Multiple,830,1.512,N/A,34.68,0.529,Q1,1.77,94.6,0,2.411,1.317,0.438,0.00047,0.10196,16,100,8.8,10.5,16
INTERNATIONAL JOURNAL OF DEVELOPMENTAL BIOLOGY,INT J DEV BIOL,0214-6282,1696-3547,DEVELOPMENTAL BIOLOGY - SCIE,4.517,2.148,Q4,21.79,0.482,Q4,0.44,26.25,93.51,2.025,2.12,0.739,0.00145,0.31012,46,100,12.2,12.7,46
International Journal of Developmental Disabilities,INT J DEV DISABIL,2047-3869,2047-3877,Multiple,632,2.17,Q2,60.96,0.412,Q4,0.9,65.95,10,1.996,1.858,0.689,0.00089,0.19062,119,89.08,1.9,9.1,106
INTERNATIONAL JOURNAL OF DEVELOPMENTAL NEUROSCIENCE,INT J DEV NEUROSCI,0736-5748,1873-474X,Multiple,3.93,2.54,Q3,42.31,0.571,Q3,0.51,38.75,4.35,2.669,2.497,0.435,0.00224,0.47964,69,84.06,9.6,8.7,58
International Journal of Diabetes in Developing Countries,INT J DIABETES DEV C,0973-3930,1998-3832,ENDOCRINOLOGY & METABOLISM - SCIE,887,1.013,Q4,4.45,0.186,Q4,0.18,10.28,4.17,0.939,0.961,0.169,0.00078,0.16731,130,92.31,6,7.8,120
International Journal of Digital Earth,INT J DIGIT EARTH,1753-8947,1753-8955,Multiple,2.511,4.606,Q1,78.13,0.791,Q2,1.09,78.07,18.22,4.148,4.456,1.185,0.00295,0.63084,65,98.46,4.5,6.6,64
International Journal of Disability Development and Education,INT J DISABIL DEV ED,1034-912X,1465-346X,Multiple,1.394,1.3,Q4,19.32,0.397,Q4,0.62,37.12,6.52,1.704,1.169,0.26,0.00122,0.26121,146,96.58,6.9,10.2,141
International Journal of Disaster Risk Reduction,INT J DISAST RISK RE,2212-4209,2212-4209,Multiple,10.542,4.842,Q1,81.34,0.831,Q1,1.11,85.08,18.67,5.213,3.91,0.99,0.01228,2.62514,687,93.45,3.2,7.4,642
International Journal of Disaster Risk Science,INT J DISAST RISK SC,2095-0055,2192-6395,Multiple,1.694,4.5,Q1,77.5,0.803,Q1,0.99,78.63,100,4.48,4.227,0.375,0.00173,0.3703,56,96.43,4.7,7.6,54
International Journal of Distributed Sensor Networks,INT J DISTRIB SENS N,1550-1477,1550-1477,Multiple,4.306,1.938,Q3,29.26,0.268,Q4,0.41,31.91,96.69,1.69,1.896,0.299,0.00352,0.75382,107,93.46,5.6,4.9,100
INTERNATIONAL JOURNAL OF DRUG POLICY,INT J DRUG POLICY,0955-3959,1873-4758,SUBSTANCE ABUSE - SSCI,9.687,5.931,Q1,87.84,1.509,Q1,1.34,89.81,13.62,5.695,4.756,1.799,0.01481,3.16507,374,92.78,4.2,5.5,347
INTERNATIONAL JOURNAL OF EARTH SCIENCES,INT J EARTH SCI,1437-3254,1437-3262,GEOSCIENCES. MULTIDISCIPLINARY - SCIE,7.051,2.698,Q3,44.03,0.736,Q3,0.65,47.34,21.25,2.842,2.472,0.572,0.00492,1.05174,159,98.74,9.7,16.1,157
INTERNATIONAL JOURNAL OF EATING DISORDERS,INT J EAT DISORDER,0276-3478,1098-108X,Multiple,13.532,5.791,Q1,84.23,1.385,Q1,1.28,89.45,13.29,5.796,5.088,1.115,0.01109,2.37034,174,89.08,8.5,7.4,155
International Journal of Economic Theory,INT J ECON THEORY,1742-7355,1742-7363,ECONOMICS - SSCI,195,0.53,Q4,5.15,0.234,Q4,0.2,17.81,4.76,0.511,0.5,0.179,0.00029,0.0622,39,100,8.2,16.5,39
INTERNATIONAL JOURNAL OF EDUCATIONAL DEVELOPMENT,INT J EDUC DEV,0738-0593,1873-4871,EDUCATION & EDUCATIONAL RESEARCH - SSCI,2.916,1.873,Q3,32.77,0.632,Q3,1.14,72.19,15.88,2.416,1.556,0.701,0.00271,0.57975,154,98.05,6.8,8.3,151
International Journal of Educational Research,INT J EDUC RES,0883-0355,1873-538X,EDUCATION & EDUCATIONAL RESEARCH - SSCI,3.996,2.845,Q2,63.11,0.841,Q2,1.47,84.51,17.85,3.133,2.687,0.641,0.00434,0.92746,153,90.2,7.2,9.8,138
International Journal of Educational Technology in Higher Education,INT J EDUC TECHNOL H,2365-9440,2365-9440,EDUCATION & EDUCATIONAL RESEARCH - SSCI,1.828,7.611,Q1,97.94,1.603,Q1,3.21,98.85,99.38,7.826,7.232,1.462,0.00332,0.70965,65,86.15,3.2,6.4,56
INTERNATIONAL JOURNAL OF ELECTRICAL POWER & ENERGY SYSTEMS,INT J ELEC POWER,0142-0615,1879-3517,ENGINEERING. ELECTRICAL & ELECTRONIC - SCIE,26.807,5.659,Q1,82.07,0.847,Q2,1.48,87.06,4.34,5.416,4.37,1.614,0.02142,4.57832,1.201,98.42,4.7,5,1.182
International Journal of Electrochemical Science,INT J ELECTROCHEM SC,1452-3981,1452-3981,ELECTROCHEMISTRY - SCIE,15.093,1.541,Q4,8.33,0.184,Q4,0.27,32.14,0,1.628,1.238,0.266,0.00822,1.75836,802,97.51,5.7,5.6,782
INTERNATIONAL JOURNAL OF ELECTRONIC COMMERCE,INT J ELECTRON COMM,1086-4415,1557-9301,Multiple,3.37,7.73,Q1,94.09,1.34,Q1,1.41,90.6,6.78,7.459,7,0.636,0.00124,0.26663,22,100,10.8,9.7,22
INTERNATIONAL JOURNAL OF ELECTRONICS,INT J ELECTRON,0020-7217,1362-3060,ENGINEERING. ELECTRICAL & ELECTRONIC - SCIE,1.859,1.457,Q4,20.47,0.165,Q4,0.36,28.05,0.22,1.089,1.218,0.252,0.00113,0.24173,155,100,7.3,6.2,155
International Journal of Emerging Markets,INT J EMERG MARK,1746-8809,1746-8817,Multiple,1.976,3.422,Q2,71.11,0.296,Q4,0.82,68.51,1.22,3.214,2.103,0.765,0.00111,0.23886,268,95.9,3.1,8.8,257
International Journal of Endocrinology,INT J ENDOCRINOL,1687-8337,1687-8345,ENDOCRINOLOGY & METABOLISM - SCIE,5.712,2.803,Q4,22.95,0.619,Q3,0.53,29.72,99.13,3.294,2.759,0.388,0.00464,0.99229,139,84.17,6.2,6.5,117
INTERNATIONAL JOURNAL OF ENERGY RESEARCH,INT J ENERG RES,0363-907X,1099-114X,Multiple,18.616,4.672,Q1,98.53,0.608,Q1,1.28,96.34,2.12,4.533,3.895,1.063,0.01563,3.34202,1.227,88.83,2.6,4.8,1.09
INTERNATIONAL JOURNAL OF ENGINEERING EDUCATION,INT J ENG EDUC,0949-149X,0949-149X,Multiple,1.871,0.971,Q4,14.77,0.145,Q4,0.4,51.71,0,0.911,0.639,0.195,0.0012,0.2576,133,96.24,6.8,9.8,128
INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE,INT J ENG SCI,0020-7225,1879-2197,ENGINEERING. MULTIDISCIPLINARY - SCIE,13.205,7.155,Q1,94.02,1.275,Q1,2.88,99.14,6.71,7.655,6.105,2.326,0.00715,1.53003,89,98.88,9.4,9.2,88
INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,INT J ENTREP BEHAV R,1355-2554,1758-6534,Multiple,4.142,5.995,Q2,67.04,0.891,Q3,1.16,75.76,6.92,6.301,5.187,0.598,0.00292,0.62572,102,98.04,5.1,8.7,100
INTERNATIONAL JOURNAL OF ENVIRONMENT AND POLLUTION,INT J ENVIRON POLLUT,0957-4352,1741-5101,ENVIRONMENTAL SCIENCES - SCIE,993,0.571,Q4,1.97,0.136,Q4,0.07,2.01,0,0.714,0.571,N/A,0.00022,0.04835,N/A,N/A,12.7,N/A,N/A
INTERNATIONAL JOURNAL OF ENVIRONMENTAL ANALYTICAL CHEMISTRY,INT J ENVIRON AN CH,0306-7319,1029-0397,Multiple,5.365,2.731,Q3,43.1,0.278,Q3,0.48,39.9,0.46,2.534,2.343,0.944,0.00299,0.63977,698,95.27,2.2,6.8,665
INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH,INT J ENVIRON HEAL R,0960-3123,1369-1619,Multiple,2.847,4.477,Q2,65,0.619,Q3,0.76,62.5,5.14,3.717,4.295,1.27,0.00195,0.41729,196,88.27,5.4,7.7,173
International Journal of Environmental Research,INT J ENVIRON RES,1735-6865,2008-2304,ENVIRONMENTAL SCIENCES - SCIE,2.366,3.229,Q3,41.04,0.348,Q4,0.51,38.43,6.42,2.846,3.132,0.865,0.00115,0.24696,74,97.3,6.5,7,72
International Journal of Environmental Research and Public Health,INT J ENV RES PUB HE,N/A,1660-4601,Multiple,123.104,4.614,Q1,75.55,0.866,Q2,0.93,73.61,94.96,4.798,3.994,0.903,0.16443,35.14015,13.064,89.54,2.2,6.7,11.697
International Journal of Environmental Science and Technology,INT J ENVIRON SCI TE,1735-1472,1735-2630,ENVIRONMENTAL SCIENCES - SCIE,12.412,3.519,Q3,46.42,0.4,Q3,0.54,43.06,5.46,3.463,3.271,0.659,0.00795,1.70031,768,90.63,4.2,7,696
INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,INT J EPIDEMIOL,0300-5771,1464-3685,PUBLIC. ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE,35.233,9.685,Q1,92.62,4.6,Q1,2.47,96.81,45.36,11.653,9.424,2.502,0.0441,9.42455,243,97.53,8.1,6.6,237
International Journal of Evidence-Based Healthcare,INT J EVID-BASED HEA,N/A,1744-1609,Multiple,2.576,3.613,Q2,65.6,0.876,Q2,0.89,82.52,3.23,3.935,3.613,N/A,0.00102,0.21888,N/A,N/A,6.5,N/A,N/A
International Journal of Exergy,INT J EXERGY,1742-8297,1742-8300,Multiple,871,1.467,Q4,16.67,0.172,Q4,0.23,18.83,0,1.273,1.2,0.333,0.00051,0.11007,75,100,6.1,7.2,75
INTERNATIONAL JOURNAL OF EXPERIMENTAL PATHOLOGY,INT J EXP PATHOL,0959-9673,1365-2613,PATHOLOGY - SCIE,2.426,2.793,Q3,42.21,0.492,Q3,0.65,48.88,7.14,2.74,2.793,0.385,0.0008,0.17277,26,96.15,12,8.6,25
INTERNATIONAL JOURNAL OF FATIGUE,INT J FATIGUE,0142-1123,1879-3452,Multiple,23.564,5.489,Q1,88.69,0.832,Q1,1.3,91.81,6.33,5.326,4.54,1.866,0.01638,3.50142,506,99.01,5.9,9.1,501
International Journal of Feminist Approaches To Bioethics,INT J FEM APPROACHES,1937-4585,1937-4577,Multiple,213,0.558,Q4,18.75,0.316,Q4,0.27,30.83,0,0.637,0.535,0,0.0003,0.06536,18,100,9.3,8.5,18
INTERNATIONAL JOURNAL OF FINANCE & ECONOMICS,INT J FINANC ECON,1076-9307,1099-1158,BUSINESS. FINANCE - SSCI,2.136,1.634,Q4,24.77,0.269,Q4,0.56,46.38,11.98,1.655,1.533,1.212,0.00204,0.43695,208,100,1.9,10.8,208
International Journal of Food Engineering,INT J FOOD ENG,2194-5764,1556-3758,FOOD SCIENCE & TECHNOLOGY - SCIE,1.521,1.832,Q4,19.93,0.209,Q4,0.31,22.26,2.03,1.667,1.734,0.311,0.00082,0.1763,103,98.06,6.3,7.6,101
INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,INT J FOOD MICROBIOL,0168-1605,1879-3460,Multiple,34.518,5.911,Q1,78.67,0.801,Q1,1.27,83.84,9.69,5.92,5.661,1.789,0.01176,2.51376,279,96.42,10.4,8,269
INTERNATIONAL JOURNAL OF FOOD PROPERTIES,INT J FOOD PROP,1094-2912,1532-2386,FOOD SCIENCE & TECHNOLOGY - SCIE,8.763,3.388,Q2,53.5,0.451,Q2,0.66,55.79,100,3.694,3.311,0.58,0.00575,1.23069,131,90.08,5,8.4,118
INTERNATIONAL JOURNAL OF FOOD SCIENCE AND TECHNOLOGY,INT J FOOD SCI TECH,0950-5423,1365-2621,FOOD SCIENCE & TECHNOLOGY - SCIE,16.745,3.612,Q2,59.09,0.407,Q3,0.74,61.89,6.09,3.575,3.373,0.542,0.00721,1.54229,572,90.03,7.4,5.9,515
INTERNATIONAL JOURNAL OF FOOD SCIENCES AND NUTRITION,INT J FOOD SCI NUTR,0963-7486,1465-3478,Multiple,6.766,4.444,Q2,68.18,0.634,Q2,0.76,64.94,7.65,4.37,4.243,0.963,0.00343,0.73397,81,93.83,7.6,6.7,76
INTERNATIONAL JOURNAL OF FORECASTING,INT J FORECASTING,0169-2070,1872-8200,Multiple,8.701,7.022,Q1,93.8,1.738,Q1,1.82,93.25,6.29,6.611,5.67,2.301,0.00751,1.60577,123,100,9.3,10.2,123
International Journal of Forensic Mental Health,INT J FORENSIC MENT,1499-9013,1932-9903,Multiple,814,0.922,Q4,7.97,0.408,Q4,0.37,25.88,12.07,1.467,0.805,0.359,0.00063,0.13676,39,92.31,8.2,8.7,36
International Journal of Forest Engineering,INT J FOREST ENG,1494-2119,1913-2220,FORESTRY - SCIE,582,1.804,Q3,48.55,0.215,Q4,0.65,57.22,26.6,1.991,1.216,0.884,0.00022,0.04852,43,97.67,6.9,8.7,42
INTERNATIONAL JOURNAL OF FOUNDATIONS OF COMPUTER SCIENCE,INT J FOUND COMPUT S,0129-0541,1793-6373,COMPUTER SCIENCE. THEORY & METHODS - SCIE,675,0.662,Q4,10.55,0.379,Q3,0.16,9.51,1.68,0.637,0.631,0.163,0.00113,0.24157,49,100,10,14.8,49
INTERNATIONAL JOURNAL OF FRACTURE,INT J FRACTURE,0376-9429,1573-2673,Multiple,8.695,2.635,Q2,51.09,0.71,Q2,0.5,46.01,15.63,2.986,2.519,0.56,0.0028,0.59853,100,98,17.4,12.3,98
International Journal of Fruit Science,INT J FRUIT SCI,1553-8362,1553-8621,HORTICULTURE - SCIE,1.008,1.534,Q2,51.39,0.206,Q3,0.51,52.7,28.03,1.622,1.47,0.603,0.00069,0.14941,78,96.15,4.6,10.9,75
International Journal of Fuzzy Systems,INT J FUZZY SYST,1562-2479,2199-3211,Multiple,3.795,4.085,Q2,65.38,0.495,Q3,1.03,74.34,1.91,3.718,3.502,0.966,0.00404,0.86349,207,100,3,5.2,207
INTERNATIONAL JOURNAL OF GAME THEORY,INT J GAME THEORY,0020-7276,1432-1270,Multiple,1.569,0.649,Q4,7.78,0.397,Q3,0.27,24.47,22.75,0.601,0.64,0.161,0.00102,0.21828,56,100,23.5,19.9,56
International Journal of Gastronomy and Food Science,INT J GASTRON FOOD S,1878-450X,1878-4518,FOOD SCIENCE & TECHNOLOGY - SCIE,1.007,3.194,Q3,47.2,0.438,Q3,0.62,51.52,7.45,3.493,2.698,0.895,0.00088,0.18956,153,93.46,2.7,7.6,143
International Journal of General Medicine,INT J GEN MED,N/A,1178-7074,MEDICINE. GENERAL & INTERNAL - SCIE,2.466,2.145,Q3,35.17,0.557,Q3,0.46,65.5,93.19,2.707,2.032,0.36,0.00216,0.46224,970,94.64,4.8,5.4,918
INTERNATIONAL JOURNAL OF GENERAL SYSTEMS,INT J GEN SYST,0308-1079,1563-5104,COMPUTER SCIENCE. THEORY & METHODS - SCIE,1.802,2.435,Q2,59.17,0.417,Q3,0.66,65.14,1.57,2.088,1.824,0.571,0.00085,0.18216,42,97.62,13.7,9,41
International Journal of Genomics,INT J GENOMICS,2314-436X,2314-4378,Multiple,1.588,2.758,Q3,36.86,0.51,Q3,0.47,28.53,99.38,3.079,2.734,1.083,0.00159,0.34044,36,88.89,4.7,6.6,32
