Journal	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
AD HOC SENS WIREL NE	0.141	0.141	0.141	0.141	0.141	0.141	0.141	0.141	0.141	0.141	0.141	0.141	0.141	0.141	0.141	0.141	0.228	0.168	0.126	0.166	0.096	0.118	0.075	0.085
REV NUTR	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.092	0.114	0.089	0.095	0.114	0.104	0.132	0.167
MATH SLOVACA	0.218	0.218	0.218	0.218	0.218	0.218	0.218	0.218	0.218	0.218	0.218	0.218	0.218	0.218	0.218	0.218	0.178	0.141	0.169	0.125	0.163	0.187	0.184	0.242
PROG MOL BIOL TRANSL	0.234	0.234	0.234	0.234	0.234	0.234	0.234	0.234	0.234	0.234	0.234	0.234	0.234	2.148	0.786	1.074	1.134	1.219	1.074	1.131	1.197	1.107	1.119	1.145
AN SIST SANIT NAVAR	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.062	0.064	0.07	0.079	0.049	0.075	0.079	0.115
ARCH MIN SCI	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.091	0.091	0.111	0.132	0.127	0.136	0.183
ETHIK MED	0.052	0.052	0.052	0.052	0.052	0.052	0.052	0.052	0.052	0.052	0.052	0.052	0.052	0.052	0.052	0.052	0.07	0.048	0.059	0.04	0.082	0.077	0.082	0.125
SURV METHODOL	0.774	0.774	0.774	0.774	0.774	0.774	0.774	0.774	0.774	0.774	0.774	0.774	0.774	0.774	0.774	0.774	1.225	1.279	0.594	0.671	0.856	0.643	0.411	0.451
J ZHEJIANG UNIV-SC A	0.135	0.135	0.135	0.135	0.135	0.135	0.135	0.135	0.135	0.135	0.135	0.135	0.135	0.135	0.135	0.135	0.179	0.195	0.224	0.246	0.318	0.358	0.343	0.38
CIENC TEC VITIVINIC	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.104	0.177	0.125	0.176	0.204	0.227	0.273
STAHLBAU	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.069	0.136	0.091	0.065	0.068	0.057	0.097	0.089
MATER SCI-MEDZG	0.122	0.122	0.122	0.122	0.122	0.122	0.122	0.122	0.122	0.122	0.122	0.122	0.122	0.122	0.122	0.122	0.077	0.151	0.157	0.112	0.094	0.096	0.084	0.098
CHINESE J AERONAUT	0.158	0.158	0.158	0.158	0.158	0.158	0.158	0.158	0.158	0.158	0.158	0.158	0.158	0.158	0.158	0.158	0.198	0.269	0.276	0.305	0.351	0.446	0.398	0.49
J KOREAN ASTRON SOC	0.312	0.312	0.312	0.312	0.312	0.312	0.312	0.312	0.312	0.312	0.312	0.312	0.312	0.312	0.312	0.312	0.274	0.388	0.365	0.304	0.463	0.464	0.437	0.464
REV IBEROAM AUTOM IN	0.044	0.044	0.044	0.044	0.044	0.044	0.044	0.044	0.044	0.044	0.044	0.044	0.044	0.044	0.044	0.044	0.031	0.054	0.063	0.091	0.077	0.108	0.11	0.141
AUST J PRIM HEALTH	0.164	0.164	0.164	0.164	0.164	0.164	0.164	0.164	0.164	0.164	0.164	0.164	0.164	0.164	0.164	0.164	0.3	0.307	0.446	0.361	0.297	0.352	0.333	0.395
INT J COAL PREP UTIL	0.138	0.138	0.138	0.138	0.138	0.138	0.138	0.138	0.138	0.138	0.138	0.138	0.138	0.098	0.072	0.139	0.193	0.193	0.268	0.259	0.322	0.338	0.349	0.342
ARCH ENVIRON PROT	0.073	0.073	0.073	0.073	0.073	0.073	0.073	0.073	0.073	0.073	0.073	0.073	0.073	0.073	0.073	0.073	0.115	0.16	0.172	0.132	0.173	0.19	0.232	0.257
TEKST KONFEKSIYON	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.063	0.06	0.069	0.057	0.072	0.049	0.047	0.067
ANN ITAL CHIR	0.074	0.074	0.074	0.074	0.074	0.074	0.074	0.074	0.074	0.074	0.074	0.074	0.074	0.074	0.074	0.074	0.091	0.103	0.104	0.0	0.107	0.113	0.122	0.136
ROM J PHYS	0.095	0.095	0.095	0.095	0.095	0.095	0.095	0.095	0.095	0.095	0.095	0.095	0.095	0.095	0.095	0.095	0.125	0.165	0.173	0.243	0.259	0.208	0.17	0.194
MINERVA CHIR	0.099	0.099	0.099	0.099	0.099	0.099	0.099	0.099	0.099	0.099	0.099	0.099	0.099	0.119	0.16	0.18	0.207	0.172	0.178	0.19	0.177	0.179	0.16	0.194
TURK NEUROSURG	0.179	0.179	0.179	0.179	0.179	0.179	0.179	0.179	0.179	0.179	0.179	0.179	0.179	0.179	0.179	0.179	0.18	0.207	0.187	0.189	0.188	0.179	0.196	0.23
ENVIRON PROT ENG	0.053	0.053	0.053	0.053	0.053	0.053	0.053	0.053	0.053	0.053	0.053	0.053	0.053	0.053	0.053	0.053	0.075	0.11	0.139	0.132	0.116	0.112	0.108	0.137
ERWERBS-OBSTBAU	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.105	0.084	0.086	0.076	0.108	0.121	0.194	0.157
HERED CANCER CLIN PR	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.639	0.55	0.486	0.468	0.493	0.554	0.604	0.737
ACTA GEODYN GEOMATER	0.157	0.157	0.157	0.157	0.157	0.157	0.157	0.157	0.157	0.157	0.157	0.157	0.157	0.157	0.157	0.157	0.157	0.208	0.16	0.175	0.172	0.237	0.215	0.262
BRAZ J POULTRY SCI	0.122	0.122	0.122	0.122	0.122	0.122	0.122	0.122	0.122	0.122	0.122	0.122	0.122	0.122	0.122	0.122	0.152	0.159	0.155	0.155	0.145	0.151	0.168	0.212
TURK J BIOCHEM	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.052	0.056	0.058	0.057	0.06	0.051	0.045	0.055
ULUS TRAVMA ACIL CER	0.113	0.113	0.113	0.113	0.113	0.113	0.113	0.113	0.113	0.113	0.113	0.113	0.113	0.113	0.113	0.113	0.103	0.124	0.121	0.123	0.136	0.141	0.172	0.21
B KOREAN MATH SOC	0.199	0.199	0.199	0.199	0.199	0.199	0.199	0.199	0.199	0.199	0.199	0.199	0.199	0.199	0.199	0.199	0.228	0.187	0.212	0.195	0.204	0.19	0.199	0.273
INT J STEEL STRUCT	0.179	0.179	0.179	0.179	0.179	0.179	0.179	0.179	0.179	0.179	0.179	0.179	0.179	0.179	0.179	0.179	0.22	0.219	0.212	0.242	0.227	0.22	0.201	0.287
BANGL J PLANT TAXON	0.108	0.108	0.108	0.108	0.108	0.108	0.108	0.108	0.108	0.108	0.108	0.108	0.108	0.108	0.108	0.108	0.045	0.089	0.082	0.08	0.079	0.104	0.106	0.116
J SYST ENG ELECTRON	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.111	0.137	0.126	0.161	0.121	0.142	0.145	0.171
ACTA SCI-TECHNOL	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.06	0.07	0.072	0.067	0.075	0.089	0.088	0.126
INDIAN J PHARMACOL	0.128	0.128	0.128	0.128	0.128	0.128	0.128	0.128	0.128	0.128	0.128	0.128	0.128	0.128	0.128	0.128	0.133	0.166	0.161	0.188	0.241	0.226	0.23	0.313
KODAI MATH J	0.373	0.373	0.373	0.373	0.373	0.373	0.373	0.373	0.373	0.373	0.373	0.373	0.373	0.373	0.373	0.373	0.341	0.386	0.291	0.376	0.391	0.334	0.352	0.284
QUAEST MATH	0.199	0.199	0.199	0.199	0.199	0.199	0.199	0.199	0.199	0.199	0.199	0.199	0.199	0.199	0.199	0.199	0.287	0.256	0.27	0.311	0.325	0.3	0.308	0.417
CERNE	0.151	0.151	0.151	0.151	0.151	0.151	0.151	0.151	0.151	0.151	0.151	0.151	0.151	0.151	0.151	0.151	0.118	0.144	0.148	0.128	0.157	0.182	0.19	0.278
DOKL BIOCHEM BIOPHYS	0.081	0.081	0.081	0.081	0.081	0.081	0.081	0.081	0.081	0.081	0.081	0.081	0.081	0.081	0.081	0.081	0.083	0.092	0.083	0.081	0.101	0.099	0.122	0.14
REV BRAS FRUTIC	0.111	0.111	0.111	0.111	0.111	0.111	0.111	0.111	0.111	0.111	0.111	0.111	0.111	0.111	0.111	0.111	0.116	0.126	0.125	0.138	0.14	0.137	0.148	0.226
HIROSHIMA MATH J	0.336	0.336	0.336	0.336	0.336	0.336	0.336	0.336	0.336	0.336	0.336	0.336	0.336	0.336	0.336	0.336	0.392	0.368	0.215	0.464	0.34	0.327	0.275	0.447
J MED ULTRASON	0.126	0.126	0.126	0.126	0.126	0.126	0.126	0.126	0.126	0.126	0.126	0.126	0.126	0.126	0.126	0.126	0.112	0.113	0.095	0.098	0.144	0.173	0.173	0.29
CHEMIJA	0.085	0.085	0.085	0.085	0.085	0.085	0.085	0.085	0.085	0.085	0.085	0.085	0.085	0.085	0.085	0.085	0.094	0.075	0.089	0.112	0.061	0.078	0.074	0.092
PSYCHIATR POL	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.06	0.093	0.078	0.089	0.128	0.144	0.224	0.336
BOSNIAN J BASIC MED	0.112	0.112	0.112	0.112	0.112	0.112	0.112	0.112	0.112	0.112	0.112	0.112	0.112	0.112	0.112	0.112	0.101	0.153	0.134	0.175	0.245	0.255	0.384	0.529
EKLEM HAST CERRAHISI	0.096	0.096	0.096	0.096	0.096	0.096	0.096	0.096	0.096	0.096	0.096	0.096	0.096	0.096	0.096	0.096	0.118	0.11	0.109	0.124	0.131	0.113	0.17	0.0
SCI PROGRAMMING-NETH	0.543	0.543	0.543	0.543	0.543	0.543	0.543	0.543	0.543	0.543	0.543	0.543	0.543	0.543	0.543	0.543	0.417	0.424	0.44	0.238	0.4	0.316	0.196	0.248
AN PSICOL-SPAIN	0.085	0.085	0.085	0.085	0.085	0.085	0.085	0.085	0.085	0.085	0.085	0.085	0.085	0.085	0.085	0.085	0.103	0.128	0.131	0.175	0.195	0.214	0.284	0.475
REV ROM MATER	0.051	0.051	0.051	0.051	0.051	0.051	0.051	0.051	0.051	0.051	0.051	0.051	0.051	0.051	0.051	0.051	0.045	0.058	0.052	0.054	0.07	0.053	0.039	0.057
PSYCHO-ONCOLOGIE	0.004	0.004	0.004	0.004	0.004	0.004	0.004	0.004	0.004	0.004	0.004	0.004	0.004	0.036	0.03	0.013	0.016	0.04	0.01	0.026	0.014	0.014	0.019	0.02
ARCH BIOL SCI	0.088	0.088	0.088	0.088	0.088	0.088	0.088	0.088	0.088	0.088	0.088	0.088	0.088	0.088	0.088	0.088	0.106	0.113	0.122	0.109	0.11	0.112	0.115	0.156
ACTA GEOTECH SLOV	0.032	0.032	0.032	0.032	0.032	0.032	0.032	0.032	0.032	0.032	0.032	0.032	0.032	0.032	0.032	0.032	0.098	0.113	0.144	0.072	0.135	0.147	0.068	0.145
CROAT J FOR ENG	0.166	0.166	0.166	0.166	0.166	0.166	0.166	0.166	0.166	0.166	0.166	0.166	0.166	0.166	0.166	0.166	0.16	0.175	0.273	0.277	0.329	0.372	0.335	0.365
DISS MATH	0.104	0.104	0.104	0.104	0.104	0.104	0.104	0.104	0.104	0.104	0.104	0.104	0.104	0.104	0.104	0.104	0.521	0.303	1.686	1.235	1.141	1.203	1.202	0.924
IRAN J PHARM RES	0.103	0.103	0.103	0.103	0.103	0.103	0.103	0.103	0.103	0.103	0.103	0.103	0.103	0.103	0.103	0.103	0.09	0.13	0.2	0.226	0.26	0.262	0.242	0.274
KNOWL MANAG AQUAT EC	0.064	0.064	0.064	0.064	0.064	0.064	0.064	0.064	0.064	0.064	0.064	0.064	0.064	0.058	0.155	0.191	0.189	0.259	0.229	0.268	0.436	0.299	0.319	0.404
J KOREAN STAT SOC	0.308	0.308	0.308	0.308	0.308	0.308	0.308	0.308	0.308	0.308	0.308	0.308	0.308	0.308	0.308	0.308	0.424	0.387	0.356	0.407	0.398	0.339	0.316	0.423
ASIA-PAC J CLIN ONCO	0.162	0.162	0.162	0.162	0.162	0.162	0.162	0.162	0.162	0.162	0.162	0.162	0.162	0.162	0.162	0.162	0.267	0.338	0.388	0.398	0.417	0.465	0.474	0.679
ACTA BOT MEX	0.067	0.067	0.067	0.067	0.067	0.067	0.067	0.067	0.067	0.067	0.067	0.067	0.067	0.067	0.067	0.067	0.097	0.126	0.148	0.226	0.194	0.164	0.164	0.177
ANN DERMATOL	0.157	0.157	0.157	0.157	0.157	0.157	0.157	0.157	0.157	0.157	0.157	0.157	0.157	0.157	0.157	0.157	0.269	0.3	0.312	0.391	0.48	0.427	0.47	0.46
T INDIAN CERAM SOC	0.054	0.054	0.054	0.054	0.054	0.054	0.054	0.054	0.054	0.054	0.054	0.054	0.054	0.054	0.054	0.054	0.057	0.088	0.089	0.101	0.125	0.122	0.092	0.132
MATER TEST	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.136	0.107	0.072	0.04	0.073	0.062	0.072	0.1	0.075	0.091	0.12
RUSS J PAC GEOL	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.019	0.032	0.03	0.059	0.06	0.12	0.086	0.153	0.158	0.146	0.125	0.181
BETON- STAHLBETONBAU	0.167	0.167	0.167	0.167	0.167	0.167	0.167	0.167	0.167	0.167	0.167	0.167	0.167	0.167	0.167	0.167	0.179	0.247	0.221	0.216	0.154	0.179	0.273	0.308
MAEJO INT J SCI TECH	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.053	0.054	0.109	0.105	0.09	0.107	0.113	0.108	0.105	0.107	0.111
PERIOD POLYTECH-CIV	0.065	0.065	0.065	0.065	0.065	0.065	0.065	0.065	0.065	0.065	0.065	0.065	0.065	0.065	0.065	0.065	0.043	0.122	0.13	0.106	0.096	0.14	0.133	0.205
Z DTSCH GES GEOWISS	0.216	0.216	0.216	0.216	0.216	0.216	0.216	0.216	0.216	0.216	0.216	0.216	0.216	0.216	0.216	0.216	0.211	0.172	0.237	0.222	0.226	0.261	0.202	0.212
BAUTECHNIK	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.173	0.147	0.195	0.118	0.096	0.099	0.079	0.09
J ADV MECH DES SYST	0.085	0.085	0.085	0.085	0.085	0.085	0.085	0.085	0.085	0.085	0.085	0.085	0.085	0.085	0.109	0.168	0.098	0.087	0.102	0.066	0.118	0.091	0.095	0.145
ISI BILIM TEK DERG	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.142	0.083	0.056	0.039	0.045	0.066	0.056	0.054	0.122
T FAMENA	0.077	0.077	0.077	0.077	0.077	0.077	0.077	0.077	0.077	0.077	0.077	0.077	0.077	0.077	0.077	0.077	0.037	0.044	0.064	0.053	0.106	0.081	0.09	0.142
B IRAN MATH SOC	0.202	0.202	0.202	0.202	0.202	0.202	0.202	0.202	0.202	0.202	0.202	0.202	0.202	0.202	0.202	0.202	0.151	0.135	0.195	0.158	0.136	0.15	0.142	0.203
EUR J TRAUMA EMERG S	0.049	0.049	0.049	0.049	0.049	0.049	0.049	0.049	0.049	0.049	0.049	0.049	0.049	0.07	0.108	0.092	0.086	0.128	0.125	0.197	0.339	0.425	0.553	0.811
INT J OSTEOPATH MED	0.077	0.077	0.077	0.077	0.077	0.077	0.077	0.077	0.077	0.077	0.077	0.077	0.077	0.077	0.077	0.077	0.08	0.131	0.055	0.079	0.052	0.114	0.164	0.23
MED LAV	0.098	0.098	0.098	0.098	0.098	0.098	0.098	0.098	0.098	0.098	0.098	0.098	0.098	0.098	0.098	0.098	0.076	0.097	0.085	0.13	0.137	0.154	0.154	0.222
ASSIST INFERM RIC	0.053	0.053	0.053	0.053	0.053	0.053	0.053	0.053	0.053	0.053	0.053	0.053	0.053	0.053	0.053	0.053	0.045	0.07	0.043	0.05	0.058	0.072	0.096	0.085
MAUSAM	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.045	0.056	0.06	0.102	0.115	0.127	0.161	0.106
PAK J MED SCI	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.031	0.038	0.072	0.111	0.154	0.182	0.199	0.268
ACOUST AUST	0.095	0.095	0.095	0.095	0.095	0.095	0.095	0.095	0.095	0.095	0.095	0.095	0.095	0.095	0.095	0.095	0.093	0.159	0.218	0.228	0.253	0.152	0.211	0.251
BAUPHYSIK	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.097	0.06	0.07	0.056	0.033	0.051	0.057	0.039
J MAR ENG TECHNOL	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.09	0.106	0.105	0.136	0.111	0.154	0.185	0.357
J THERM SCI TECH-JPN	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.101	0.14	0.11	0.123	0.138	0.215	0.182	0.128	0.137	0.164	0.19
KSII T INTERNET INF	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.033	0.13	0.083	0.093	0.094	0.084	0.075	0.078	0.092	0.09	0.078	0.105
MACED J CHEM CHEM EN	0.192	0.192	0.192	0.192	0.192	0.192	0.192	0.192	0.192	0.192	0.192	0.192	0.192	0.192	0.192	0.192	0.127	0.191	0.146	0.117	0.125	0.12	0.135	0.13
CHINESE J CANCER RES	0.056	0.056	0.056	0.056	0.056	0.056	0.056	0.056	0.056	0.056	0.056	0.056	0.056	0.056	0.056	0.056	0.091	0.234	0.342	0.471	0.458	0.48	0.678	0.858
BAUINGENIEUR-GERMANY	0.086	0.086	0.086	0.086	0.086	0.086	0.086	0.086	0.086	0.086	0.086	0.086	0.086	0.086	0.086	0.086	0.134	0.239	0.284	0.328	0.123	0.164	0.202	0.19
PROG NUTR	0.028	0.028	0.028	0.028	0.028	0.028	0.028	0.028	0.028	0.028	0.028	0.028	0.028	0.028	0.028	0.028	0.018	0.015	0.026	0.04	0.03	0.039	0.058	0.075
IDOJARAS	0.103	0.103	0.103	0.103	0.103	0.103	0.103	0.103	0.103	0.103	0.103	0.103	0.103	0.103	0.103	0.103	0.168	0.16	0.17	0.229	0.257	0.239	0.107	0.13
ACTA CLIN CROAT	0.081	0.081	0.081	0.081	0.081	0.081	0.081	0.081	0.081	0.081	0.081	0.081	0.081	0.081	0.081	0.081	0.088	0.086	0.102	0.111	0.082	0.1	0.12	0.157
LAT AM J SOLIDS STRU	0.251	0.251	0.251	0.251	0.251	0.251	0.251	0.251	0.251	0.251	0.251	0.251	0.251	0.251	0.251	0.251	0.359	0.337	0.184	0.223	0.242	0.252	0.251	0.26
DIABETES STOFFWECH H	0.024	0.024	0.024	0.024	0.024	0.024	0.024	0.024	0.024	0.024	0.024	0.024	0.024	0.024	0.024	0.024	0.021	0.018	0.008	0.021	0.01	0.024	0.004	0.018
CIR CIR	0.055	0.055	0.055	0.055	0.055	0.055	0.055	0.055	0.055	0.055	0.055	0.055	0.055	0.055	0.055	0.055	0.072	0.065	0.086	0.062	0.063	0.069	0.055	0.112
J THEOR APP MECH-POL	0.149	0.149	0.149	0.149	0.149	0.149	0.149	0.149	0.149	0.149	0.149	0.149	0.149	0.149	0.149	0.149	0.165	0.216	0.208	0.199	0.185	0.179	0.148	0.185
ARCH MAL PROF ENVIRO	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.012	0.022	0.015	0.029	0.018	0.044	0.04	0.041
J ELECTR ENG-SLOVAK	0.152	0.152	0.152	0.152	0.152	0.152	0.152	0.152	0.152	0.152	0.152	0.152	0.152	0.152	0.152	0.152	0.138	0.11	0.131	0.083	0.091	0.086	0.089	0.127
GAC MED MEX	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.058	0.053	0.062	0.075	0.085	0.088	0.085	0.116
PETROL SCI	0.107	0.107	0.107	0.107	0.107	0.107	0.107	0.107	0.107	0.107	0.107	0.107	0.107	0.107	0.107	0.107	0.149	0.234	0.202	0.29	0.405	0.353	0.405	0.595
SCI TECHNOL ENERG MA	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.09	0.076	0.068	0.046	0.12	0.07	0.059	0.06
ANKARA UNIV VET FAK	0.042	0.042	0.042	0.042	0.042	0.042	0.042	0.042	0.042	0.042	0.042	0.042	0.042	0.042	0.042	0.042	0.058	0.066	0.077	0.076	0.074	0.087	0.076	0.089
BER WISSGESCH	0.11	0.11	0.11	0.11	0.11	0.11	0.11	0.11	0.11	0.11	0.11	0.11	0.11	0.11	0.11	0.11	0.133	0.08	0.166	0.054	0.097	0.054	0.044	0.329
J NEUROSURG-PEDIATR	0.073	0.073	0.073	0.073	0.073	0.073	0.073	0.073	0.073	0.073	0.073	0.073	0.073	0.281	0.439	0.502	0.456	0.479	0.639	0.615	0.661	0.605	0.69	0.776
INF CONSTR	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.093	0.085	0.071	0.068	0.074	0.059	0.069	0.203
J ENVIRON PROT ECOL	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.016	0.022	0.023	0.026	0.033	0.045	0.043	0.05
GUT LIVER	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.227	0.34	0.444	0.45	0.486	0.561	0.661	0.653	0.763	1.024
J THERM SCI	0.078	0.078	0.078	0.078	0.078	0.078	0.078	0.078	0.078	0.078	0.078	0.078	0.078	0.078	0.078	0.099	0.126	0.143	0.187	0.141	0.166	0.178	0.255	0.347
SEMIN-CIENC AGRAR	0.067	0.067	0.067	0.067	0.067	0.067	0.067	0.067	0.067	0.067	0.067	0.067	0.067	0.067	0.067	0.067	0.075	0.072	0.088	0.086	0.096	0.106	0.108	0.14
TURK J MED SCI	0.055	0.055	0.055	0.055	0.055	0.055	0.055	0.055	0.055	0.055	0.055	0.055	0.055	0.055	0.055	0.055	0.059	0.071	0.07	0.116	0.122	0.14	0.188	0.226
CHINA FOUNDRY	0.067	0.067	0.067	0.067	0.067	0.067	0.067	0.067	0.067	0.067	0.067	0.067	0.067	0.067	0.067	0.067	0.068	0.093	0.063	0.071	0.068	0.103	0.122	0.148
ONKOLOGE	0.016	0.016	0.016	0.016	0.016	0.016	0.016	0.016	0.016	0.016	0.016	0.016	0.016	0.016	0.016	0.016	0.013	0.016	0.009	0.01	0.018	0.024	0.017	0.034
J KOREAN NEUROSURG S	0.174	0.174	0.174	0.174	0.174	0.174	0.174	0.174	0.174	0.174	0.174	0.174	0.174	0.174	0.174	0.174	0.228	0.236	0.229	0.227	0.234	0.27	0.328	0.421
CYTOL GENET+	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.046	0.066	0.07	0.07	0.067	0.072	0.077	0.092
INDIAN J PHARM EDUC	0.029	0.029	0.029	0.029	0.029	0.029	0.029	0.029	0.029	0.029	0.029	0.029	0.029	0.029	0.029	0.029	0.051	0.082	0.054	0.053	0.038	0.055	0.058	0.099
POSTEP KARDIOL INTER	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.022	0.021	0.059	0.086	0.138	0.157	0.189	0.23
SYLWAN	0.021	0.021	0.021	0.021	0.021	0.021	0.021	0.021	0.021	0.021	0.021	0.021	0.021	0.021	0.021	0.021	0.032	0.025	0.036	0.055	0.066	0.078	0.06	0.063
J RUBBER RES	0.062	0.062	0.062	0.062	0.062	0.062	0.062	0.062	0.062	0.062	0.062	0.062	0.062	0.062	0.062	0.062	0.027	0.029	0.039	0.047	0.064	0.077	0.065	0.098
MATER TEHNOL	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.072	0.083	0.107	0.099	0.091	0.097	0.099	0.082	0.111
KAFKAS UNIV VET FAK	0.044	0.044	0.044	0.044	0.044	0.044	0.044	0.044	0.044	0.044	0.044	0.044	0.044	0.044	0.044	0.044	0.044	0.057	0.081	0.073	0.087	0.089	0.081	0.117
P NATL A SCI INDIA A	0.031	0.031	0.031	0.031	0.031	0.031	0.031	0.031	0.031	0.031	0.031	0.031	0.031	0.031	0.031	0.031	0.03	0.035	0.051	0.056	0.141	0.094	0.142	0.234
GEOGR FIS DIN QUAT	0.128	0.128	0.128	0.128	0.128	0.128	0.128	0.128	0.128	0.128	0.128	0.128	0.128	0.128	0.128	0.128	0.13	0.194	0.193	0.276	0.285	0.312	0.392	0.369
MECH SOLIDS+	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.088	0.142	0.142	0.132	0.087	0.109	0.088	0.122
IRAN J PEDIATR	0.052	0.052	0.052	0.052	0.052	0.052	0.052	0.052	0.052	0.052	0.052	0.052	0.052	0.052	0.052	0.052	0.077	0.113	0.152	0.189	0.233	0.225	0.167	0.186
HACET J MATH STAT	0.152	0.152	0.152	0.152	0.152	0.152	0.152	0.152	0.152	0.152	0.152	0.152	0.152	0.152	0.152	0.152	0.151	0.173	0.128	0.125	0.119	0.164	0.144	0.295
HIMAL GEOL	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.079	0.078	0.107	0.09	0.092	0.101	0.12	0.185
J S AFR INST CIV ENG	0.082	0.082	0.082	0.082	0.082	0.082	0.082	0.082	0.082	0.082	0.082	0.082	0.082	0.082	0.082	0.082	0.084	0.119	0.113	0.081	0.074	0.105	0.11	0.148
ONCOLOGIE	0.031	0.031	0.031	0.031	0.031	0.031	0.031	0.031	0.031	0.031	0.031	0.031	0.031	0.031	0.031	0.031	0.012	0.014	0.008	0.014	0.015	0.013	0.011	0.008
SCI IRAN	0.113	0.113	0.113	0.113	0.113	0.113	0.113	0.113	0.113	0.113	0.113	0.113	0.113	0.113	0.113	0.113	0.206	0.235	0.243	0.259	0.207	0.129	0.125	0.191
J BRAZ SOC MECH SCI	0.113	0.113	0.113	0.113	0.113	0.113	0.113	0.113	0.113	0.113	0.113	0.113	0.113	0.113	0.113	0.113	0.116	0.108	0.175	0.222	0.274	0.247	0.231	0.31
