JournalFullName,Journal,ISSN,eISSN,2022IF,2022AI
JOURNAL OF SWINE HEALTH AND PRODUCTION,J SWINE HEALTH PROD,1537-209X,N/A,0.7,0.186
JOURNAL OF SWINE HEALTH AND PRODUCTION,J SWINE HEALTH PROD,1537-209X,N/A,0.7,0.186
JOURNAL OF THE KOREAN PHYSICAL SOCIETY,J KOREAN PHYS SOC,0374-4884,1976-8524,0.6,0.104
JOURNAL OF THE KOREAN STATISTICAL SOCIETY,J KOREAN STAT SOC,1226-3192,2005-2863,0.6,0.325
JOURNAL OF THE LEARNING SCIENCES,J LEARN SCI,1050-8406,1532-7809,3.8,1.84
JOURNAL OF THE LEPIDOPTERISTS SOCIETY,J LEPID SOC,0024-0966,N/A,0.2,0.087
JOURNAL OF THE LONDON MATHEMATICAL SOCIETY-SECOND SERIES,J LOND MATH SOC,0024-6107,1469-7750,1.2,1.418
JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM,J MAR BIOL ASSOC UK,0025-3154,1469-7769,1.2,0.314
JOURNAL OF THE MATHEMATICAL SOCIETY OF JAPAN,J MATH SOC JPN,0025-5645,N/A,0.7,0.672
JOURNAL OF THE MECHANICAL BEHAVIOR OF BIOMEDICAL MATERIALS,J MECH BEHAV BIOMED,1751-6161,1878-0180,3.9,0.691
JOURNAL OF THE MECHANICS AND PHYSICS OF SOLIDS,J MECH PHYS SOLIDS,0022-5096,1873-4782,5.3,1.488
JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION,J MED LIBR ASSOC,1536-5050,N/A,2,1.078
JOURNAL OF THE METEOROLOGICAL SOCIETY OF JAPAN,J METEOROL SOC JPN,0026-1165,2186-9057,3.1,1.016
JOURNAL OF THE MEXICAN CHEMICAL SOCIETY,J MEX CHEM SOC,1870-249X,1665-9686,1.5,0.162
JOURNAL OF THE MIDWEST MODERN LANGUAGE ASSOCIATION,J MIDWEST MOD LANG,0742-5562,2162-6294,0.1,0.101
JOURNAL OF THE MUSICAL ARTS IN AFRICA,J MUSIC ARTS AFR,1812-1004,2070-626X,0.1,0.315
JOURNAL OF THE NATIONAL COMPREHENSIVE CANCER NETWORK,J NATL COMPR CANC NE,1540-1405,1540-1413,13.4,3.918
JOURNAL OF THE NATIONAL MEDICAL ASSOCIATION,J NATL MED ASSOC,0027-9684,1943-4693,3.3,1.233
JOURNAL OF THE NATIONAL SCIENCE FOUNDATION OF SRI LANKA,J NATL SCI FOUND SRI,1391-4588,2362-0161,0.5,0.088
JOURNAL OF THE NEUROLOGICAL SCIENCES,J NEUROL SCI,0022-510X,1878-5883,4.4,1.007
JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY,J OPER RES SOC,0160-5682,1476-9360,3.6,0.66
JOURNAL OF THE OPTICAL SOCIETY OF AMERICA A-OPTICS IMAGE SCIENCE AND VISION,J OPT SOC AM A,1084-7529,1520-8532,1.9,0.428
JOURNAL OF THE OPTICAL SOCIETY OF AMERICA B-OPTICAL PHYSICS,J OPT SOC AM B,0740-3224,1520-8540,1.9,0.426
JOURNAL OF THE PAKISTAN MEDICAL ASSOCIATION,J PAK MED ASSOC,0030-9982,0030-9982,0.9,0.197
JOURNAL OF THE PALAEONTOLOGICAL SOCIETY OF INDIA,J PALAEONTOL SOC IND,0552-9360,0552-9360,0.6,0.152
JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM,J PERIPHER NERV SYST,1085-9489,1529-8027,3.8,1.117
JOURNAL OF THE PHILOSOPHY OF HISTORY,J PHILOS HIST,1872-261X,1872-2636,0.5,0.366
JOURNAL OF THE PHILOSOPHY OF SPORT,J PHILOS SPORT,0094-8705,1543-2939,0.7,0.436
JOURNAL OF THE PHYSICAL SOCIETY OF JAPAN,J PHYS SOC JPN,0031-9015,N/A,1.7,0.463
JOURNAL OF THE POLYNESIAN SOCIETY,J POLYNESIAN SOC,0032-4000,2230-5955,0.6,0.393
JOURNAL OF THE PROFESSIONAL ASSOCIATION FOR CACTUS DEVELOPMENT,J PROF ASSOC CACTUS,1938-663X,1938-6648,0.9,0.14
JOURNAL OF THE RAMANUJAN MATHEMATICAL SOCIETY,J RAMANUJAN MATH SOC,0970-1249,2320-3110,0.5,0.363
JOURNAL OF THE RENIN-ANGIOTENSIN-ALDOSTERONE SYSTEM,J RENIN-ANGIO-ALDO S,1470-3203,1752-8976,2.9,0.49
JOURNAL OF THE ROYAL ANTHROPOLOGICAL INSTITUTE,J ROY ANTHROPOL INST,1359-0987,1467-9655,1.2,0.882
JOURNAL OF THE ROYAL ASIATIC SOCIETY,J ROY ASIATIC SOC,1356-1863,1474-0591,0.3,0.436
JOURNAL OF THE ROYAL MUSICAL ASSOCIATION,J ROY MUSIC ASSN,0269-0403,1471-6933,0.3,0.474
JOURNAL OF THE ROYAL SOCIETY OF MEDICINE,J ROY SOC MED,0141-0768,1758-1095,17.3,4.073
JOURNAL OF THE ROYAL SOCIETY OF NEW ZEALAND,J ROY SOC NEW ZEAL,0303-6758,1175-8899,2.2,0.663
JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,J SCI FOOD AGR,0022-5142,1097-0010,4.1,0.538
JOURNAL OF THE SERBIAN CHEMICAL SOCIETY,J SERB CHEM SOC,0352-5139,0352-5139,1,0.146
JOURNAL OF THE SOCIETY FOR AMERICAN MUSIC,J SOC AM MUSIC,1752-1963,1752-1971,0.4,0.613
JOURNAL OF THE SOCIETY FOR INFORMATION DISPLAY,J SOC INF DISPLAY,1071-0922,1938-3657,2.3,0.456
JOURNAL OF THE SOCIETY OF ARCHITECTURAL HISTORIANS,J SOC ARCHIT HIST,0037-9808,2150-5926,0.4,0.352
JOURNAL OF THE SOCIETY OF CHRISTIAN ETHICS,J SOC CHRIST ETHICS,1540-7942,2326-2176,0.1,0.294
JOURNAL OF THE SOCIETY OF LEATHER TECHNOLOGISTS AND CHEMISTS,J SOC LEATH TECH CH,0144-0322,0144-0322,0.3,0.034
JOURNAL OF THE SOUTH AFRICAN INSTITUTION OF CIVIL ENGINEERING,J S AFR INST CIV ENG,1021-2019,N/A,0.4,0.188
JOURNAL OF THE SOUTH AFRICAN VETERINARY ASSOCIATION,J S AFR VET ASSOC,1019-9128,2224-9435,0.9,0.304
JOURNAL OF THE SOUTHERN AFRICAN INSTITUTE OF MINING AND METALLURGY,J S AFR I MIN METALL,2225-6253,2411-9717,0.9,0.147
JOURNAL OF THE SOUTHWEST,J SOUTHWEST,0894-8410,2158-1371,0.3,0.129
JOURNAL OF THE TAIWAN INSTITUTE OF CHEMICAL ENGINEERS,J TAIWAN INST CHEM E,1876-1070,1876-1089,5.7,0.617
JOURNAL OF THE TEXTILE INSTITUTE,J TEXT I,0040-5000,1754-2340,1.7,0
JOURNAL OF THE TORREY BOTANICAL SOCIETY,J TORREY BOT SOC,1095-5674,1940-0616,0.3,0.151
JOURNAL OF THE WARBURG AND COURTAULD INSTITUTES,J WARBURG COURTAULD,0075-4390,2044-0014,0.2,0.167
JOURNAL OF THE WEST,J WEST,0022-5169,1930-0115,0.2,0.046
JOURNAL OF THE WORLD AQUACULTURE SOCIETY,J WORLD AQUACULT SOC,0893-8849,1749-7345,2.8,0.453
JOURNAL OF THEOLOGICAL STUDIES,J THEOL STUD,0022-5185,1477-4607,0.4,0.7
JOURNAL OF THEORETICAL & COMPUTATIONAL CHEMISTRY,J THEOR COMPUT CHEM,0219-6336,1793-6888,2.4,0.161
JOURNAL OF THEORETICAL AND APPLIED ELECTRONIC COMMERCE RESEARCH,J THEOR APPL EL COMM,0718-1876,0718-1876,5.6,0.64
JOURNAL OF THEORETICAL BIOLOGY,J THEOR BIOL,0022-5193,1095-8541,2,0.536
JOURNAL OF THEORETICAL POLITICS,J THEOR POLIT,0951-6298,1460-3667,1,0.667
JOURNAL OF THEORETICAL PROBABILITY,J THEOR PROBAB,0894-9840,1572-9230,0.8,0.626
JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY,J THERM ANAL CALORIM,1388-6150,1588-2926,4.4,0.442
JOURNAL OF THERMAL BIOLOGY,J THERM BIOL,0306-4565,1879-0992,2.7,0.586
JOURNAL OF THERMAL SCIENCE,J THERM SCI,1003-2169,1993-033X,2.5,0.385
JOURNAL OF THERMAL SCIENCE AND ENGINEERING APPLICATIONS,J THERM SCI ENG APPL,1948-5085,1948-5093,2.1,0.288
JOURNAL OF THERMAL SCIENCE AND TECHNOLOGY,J THERM SCI TECH-JPN,1880-5566,1880-5566,1.2,0.227
JOURNAL OF THERMAL SPRAY TECHNOLOGY,J THERM SPRAY TECHN,1059-9630,1544-1016,3.1,0.442
JOURNAL OF THERMAL STRESSES,J THERM STRESSES,0149-5739,1521-074X,2.8,0.435
JOURNAL OF THERMOPHYSICS AND HEAT TRANSFER,J THERMOPHYS HEAT TR,0887-8722,1533-6808,2.1,0.314
JOURNAL OF THERMOPLASTIC COMPOSITE MATERIALS,J THERMOPLAST COMPOS,0892-7057,1530-7980,3.3,0.317
JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY,J THORAC CARDIOV SUR,0022-5223,1097-685X,6,1.928
JOURNAL OF THORACIC DISEASE,J THORAC DIS,2072-1439,2077-6624,2.5,0.68
JOURNAL OF THORACIC IMAGING,J THORAC IMAG,0883-5993,1536-0237,3.3,0.735
JOURNAL OF THORACIC ONCOLOGY,J THORAC ONCOL,1556-0864,1556-1380,20.4,5.351
JOURNAL OF THROMBOSIS AND HAEMOSTASIS,J THROMB HAEMOST,1538-7933,1538-7836,10.4,2.373
JOURNAL OF THROMBOSIS AND THROMBOLYSIS,J THROMB THROMBOLYS,0929-5305,1573-742X,4,0.819
JOURNAL OF TIME SERIES ANALYSIS,J TIME SER ANAL,0143-9782,1467-9892,0.9,0.835
JOURNAL OF TISSUE ENGINEERING AND REGENERATIVE MEDICINE,J TISSUE ENG REGEN M,1932-6254,1932-7005,3.3,0.583
JOURNAL OF TISSUE VIABILITY,J TISSUE VIABILITY,0965-206X,1876-4746,2.5,0.594
JOURNAL OF TOPOLOGY,J TOPOL,1753-8416,1753-8424,1.1,1.868
JOURNAL OF TOPOLOGY AND ANALYSIS,J TOPOL ANAL,1793-5253,1793-7167,0.8,0.868
JOURNAL OF TOURISM AND CULTURAL CHANGE,J TOUR CULT CHANGE,1476-6825,1747-7654,2.2,0.446
JOURNAL OF TOXICOLOGIC PATHOLOGY,J TOXICOL PATHOL,0914-9198,1881-915X,1.2,0.273
JOURNAL OF TOXICOLOGICAL SCIENCES,J TOXICOL SCI,0388-1350,1880-3989,2,0.329
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A-CURRENT ISSUES,J TOXICOL ENV HEAL A,1528-7394,1087-2620,2.6,0.371
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS,J TOXICOL ENV HEAL B,1093-7404,1521-6950,7.2,1.602
JOURNAL OF TRACE ELEMENTS IN MEDICINE AND BIOLOGY,J TRACE ELEM MED BIO,0946-672X,1878-3252,3.5,0.524
JOURNAL OF TRADITIONAL CHINESE MEDICINE,J TRADIT CHIN MED,0255-2922,1577-7014,2.6,0.278
JOURNAL OF TRANSCULTURAL NURSING,J TRANSCULT NURS,1043-6596,1552-7832,2.1,0.575
JOURNAL OF TRANSLATIONAL MEDICINE,J TRANSL MED,N/A,1479-5876,7.4,1.371
JOURNAL OF TRANSPORT & HEALTH,J TRANSP HEALTH,2214-1405,N/A,3.6,0.86
JOURNAL OF TRANSPORT AND LAND USE,J TRANSP LAND USE,1938-7849,1938-7849,1.9,0.754
JOURNAL OF TRANSPORT ECONOMICS AND POLICY,J TRANSP ECON POLICY,0022-5258,1754-5951,0.9,0.328
JOURNAL OF TRANSPORT GEOGRAPHY,J TRANSP GEOGR,0966-6923,1873-1236,6.1,1.291
JOURNAL OF TRANSPORTATION SAFETY & SECURITY,J TRANSP SAF SECUR,1943-9962,1943-9970,2.6,0.514
JOURNAL OF TRAUMA & DISSOCIATION,J TRAUMA DISSOCIATIO,1529-9732,1529-9740,3.3,1.084
JOURNAL OF TRAUMA AND ACUTE CARE SURGERY,J TRAUMA ACUTE CARE,2163-0755,2163-0763,3.4,1.113
JOURNAL OF TRAUMA NURSING,J TRAUMA NURS,1078-7496,1932-3883,1,0.352
JOURNAL OF TRAUMATIC STRESS,J TRAUMA STRESS,0894-9867,1573-6598,3.3,1.329
JOURNAL OF TRAVEL & TOURISM MARKETING,J TRAVEL TOUR MARK,1054-8408,1540-7306,7.2,1.346
JOURNAL OF TRAVEL MEDICINE,J TRAVEL MED,1195-1982,1708-8305,25.7,4.012
JOURNAL OF TRAVEL RESEARCH,J TRAVEL RES,0047-2875,1552-6763,8.9,1.938
JOURNAL OF TRIBOLOGY-TRANSACTIONS OF THE ASME,J TRIBOL-T ASME,0742-4787,1528-8897,2.5,0.336
JOURNAL OF TROPICAL ECOLOGY,J TROP ECOL,0266-4674,1469-7831,1.4,0.58
JOURNAL OF TROPICAL FOREST SCIENCE,J TROP FOR SCI,0128-1283,2521-9847,0.9,0.153
JOURNAL OF TROPICAL METEOROLOGY,J TROP METEOROL,1006-8775,1006-8775,1.2,0.207
JOURNAL OF TROPICAL PEDIATRICS,J TROP PEDIATRICS,0142-6338,1465-3664,2,0.458
JOURNAL OF TURBOMACHINERY-TRANSACTIONS OF THE ASME,J TURBOMACH,0889-504X,1528-8900,1.7,0.485
JOURNAL OF TURBULENCE,J TURBUL,1468-5248,1468-5248,1.9,0.631
JOURNAL OF ULTRASOUND IN MEDICINE,J ULTRAS MED,0278-4297,1550-9613,2.3,0.587
JOURNAL OF UNIVERSAL COMPUTER SCIENCE,J UNIVERS COMPUT SCI,0948-695X,0948-6968,1,0.18
JOURNAL OF URBAN AFFAIRS,J URBAN AFF,0735-2166,1467-9906,2.1,0.811
JOURNAL OF URBAN ECONOMICS,J URBAN ECON,0094-1190,1095-9068,6.3,3.26
JOURNAL OF URBAN HEALTH-BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE,J URBAN HEALTH,1099-3460,1468-2869,6.6,1.846
JOURNAL OF URBAN HISTORY,J URBAN HIST,0096-1442,1552-6771,0.4,0.328
JOURNAL OF URBAN TECHNOLOGY,J URBAN TECHNOL,1063-0732,1466-1853,4.8,1.33
JOURNAL OF UROLOGY,J UROLOGY,0022-5347,1527-3792,6.6,2.016
JOURNAL OF VACATION MARKETING,J VACAT MARK,1356-7667,1479-1870,5.1,0.657
JOURNAL OF VACUUM SCIENCE & TECHNOLOGY A,J VAC SCI TECHNOL A,0734-2101,1520-8559,2.9,0.506
JOURNAL OF VACUUM SCIENCE & TECHNOLOGY B,J VAC SCI TECHNOL B,2166-2746,2166-2754,1.4,0.281
JOURNAL OF VALUE INQUIRY,J VALUE INQUIRY,0022-5363,1573-0492,0.4,0.376
JOURNAL OF VASCULAR ACCESS,J VASC ACCESS,1129-7298,1724-6032,1.9,0.327
JOURNAL OF VASCULAR AND INTERVENTIONAL RADIOLOGY,J VASC INTERV RADIOL,1051-0443,1535-7732,2.9,0.893
JOURNAL OF VASCULAR RESEARCH,J VASC RES,1018-1172,1423-0135,1.7,0.376
JOURNAL OF VASCULAR SURGERY,J VASC SURG,0741-5214,1097-6809,4.3,1.323
JOURNAL OF VASCULAR SURGERY-VENOUS AND LYMPHATIC DISORDERS,J VASC SURG-VENOUS L,2213-333X,2213-333X,3.2,0.777
JOURNAL OF VECTOR BORNE DISEASES,J VECTOR DIS,0972-9062,0972-9062,0.5,0.279
JOURNAL OF VECTOR ECOLOGY,J VECTOR ECOL,1081-1710,1948-7134,1.7,0.436
JOURNAL OF VEGETATION SCIENCE,J VEG SCI,1100-9233,1654-1103,2.8,0.785
JOURNAL OF VENOMOUS ANIMALS AND TOXINS INCLUDING TROPICAL DISEASES,J VENOM ANIM TOXINS,N/A,1678-9199,2.4,0.597
JOURNAL OF VERTEBRATE PALEONTOLOGY,J VERTEBR PALEONTOL,0272-4634,1937-2809,1.4,0.608
JOURNAL OF VESTIBULAR RESEARCH-EQUILIBRIUM & ORIENTATION,J VESTIBUL RES-EQUIL,0957-4271,1878-6464,2.3,0.823
JOURNAL OF VETERINARY BEHAVIOR-CLINICAL APPLICATIONS AND RESEARCH,J VET BEHAV,1558-7878,1878-7517,1.8,0.411
JOURNAL OF VETERINARY CARDIOLOGY,J VET CARDIOL,1760-2734,1875-0834,1.2,0.296
JOURNAL OF VETERINARY DENTISTRY,J VET DENT,0898-7564,2470-4083,1,0.194
JOURNAL OF VETERINARY DIAGNOSTIC INVESTIGATION,J VET DIAGN INVEST,1040-6387,1943-4936,1.5,0.351
JOURNAL OF VETERINARY EMERGENCY AND CRITICAL CARE,J VET EMERG CRIT CAR,1479-3261,1476-4431,1.3,0.31
JOURNAL OF VETERINARY INTERNAL MEDICINE,J VET INTERN MED,0891-6640,1939-1676,2.6,0.612
JOURNAL OF VETERINARY MEDICAL EDUCATION,J VET MED EDUC,0748-321X,1943-7218,1,0.208
JOURNAL OF VETERINARY MEDICAL SCIENCE,J VET MED SCI,0916-7250,1347-7439,1.2,0.253
JOURNAL OF VETERINARY PHARMACOLOGY AND THERAPEUTICS,J VET PHARMACOL THER,0140-7783,1365-2885,1.3,0.235
JOURNAL OF VETERINARY RESEARCH,J VET RES,2450-7393,2450-8608,1.8,0.354
JOURNAL OF VETERINARY SCIENCE,J VET SCI,1229-845X,1976-555X,1.8,0.317
JOURNAL OF VIBRATION AND ACOUSTICS-TRANSACTIONS OF THE ASME,J VIB ACOUST,1048-9002,1528-8927,1.7,0.451
JOURNAL OF VIBRATION AND CONTROL,J VIB CONTROL,1077-5463,1741-2986,2.8,0.475
JOURNAL OF VIBRATION ENGINEERING & TECHNOLOGIES,J VIB ENG TECHNOL,2523-3920,2523-3939,2.7,0.287
JOURNAL OF VIBROENGINEERING,J VIBROENG,1392-8716,1392-8716,1,0.166
JOURNAL OF VICTORIAN CULTURE,J VICT CULT,1355-5502,1750-0133,0.3,0.395
JOURNAL OF VINYL & ADDITIVE TECHNOLOGY,J VINYL ADDIT TECHN,1083-5601,1548-0585,2.7,0.226
JOURNAL OF VIRAL HEPATITIS,J VIRAL HEPATITIS,1352-0504,1365-2893,2.5,0.754
JOURNAL OF VIROLOGICAL METHODS,J VIROL METHODS,0166-0934,1879-0984,3.1,0.539
JOURNAL OF VIROLOGY,J VIROL,0022-538X,1098-5514,5.4,1.328
JOURNAL OF VISCERAL SURGERY,J VISC SURG,1878-7886,1878-7886,2.1,0.571
JOURNAL OF VISION,J VISION,1534-7362,N/A,1.8,0.751
JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION,J VIS COMMUN IMAGE R,1047-3203,1095-9076,2.6,0.505
JOURNAL OF VISUAL CULTURE,J VIS CULT,1470-4129,1741-2994,1.4,0.671
JOURNAL OF VISUAL IMPAIRMENT & BLINDNESS,J VISUAL IMPAIR BLIN,0145-482X,1559-1476,1.1,0.262
JOURNAL OF VISUALIZATION,J VISUAL-JAPAN,1343-8875,1875-8975,1.7,0.468
JOURNAL OF VOCATIONAL BEHAVIOR,J VOCAT BEHAV,0001-8791,1095-9084,11.1,2.712
JOURNAL OF VOICE,J VOICE,0892-1997,1873-4588,2.2,0.427
JOURNAL OF VOLCANOLOGY AND GEOTHERMAL RESEARCH,J VOLCANOL GEOTH RES,0377-0273,1872-6097,2.9,0.905
JOURNAL OF VOLCANOLOGY AND SEISMOLOGY,J VOLCANOL SEISMOL+,0742-0463,1819-7108,0.7,0.167
JOURNAL OF WATER AND CLIMATE CHANGE,J WATER CLIM CHANGE,2040-2244,2408-9354,2.8,0.381
JOURNAL OF WATER AND HEALTH,J WATER HEALTH,1477-8920,1996-7829,2.3,0.425
JOURNAL OF WATER CHEMISTRY AND TECHNOLOGY,J WATER CHEM TECHNO+,1063-455X,1934-936X,0.6,0.075
JOURNAL OF WATER REUSE AND DESALINATION,J WATER REUSE DESAL,2220-1319,2220-1319,2.3,0.42
JOURNAL OF WATER SANITATION AND HYGIENE FOR DEVELOPMENT,J WATER SANIT HYG DE,2043-9083,2408-9362,1.7,0.313
JOURNAL OF WATER SUPPLY RESEARCH AND TECHNOLOGY-AQUA,J WATER SUPPLY RES T,0003-7214,1365-2087,4.3,0.381
JOURNAL OF WEB ENGINEERING,J WEB ENG,1540-9589,1544-5976,0.8,0.104
JOURNAL OF WEB SEMANTICS,J WEB SEMANT,1570-8268,1873-7749,2.5,0.596
JOURNAL OF WILDLIFE DISEASES,J WILDLIFE DIS,0090-3558,1943-3700,1.3,0.303
JOURNAL OF WILDLIFE MANAGEMENT,J WILDLIFE MANAGE,0022-541X,1937-2817,2.3,0.562
JOURNAL OF WIND ENGINEERING AND INDUSTRIAL AERODYNAMICS,J WIND ENG IND AEROD,0167-6105,1872-8197,4.8,0.845
JOURNAL OF WOMEN & AGING,J WOMEN AGING,0895-2841,1540-7322,1.5,0.393
JOURNAL OF WOMEN POLITICS & POLICY,J WOMEN POLIT POLICY,1554-477X,1554-4788,1.1,0.937
JOURNAL OF WOMENS HEALTH,J WOMENS HEALTH,1540-9996,1931-843X,3.5,1.255
JOURNAL OF WOMENS HISTORY,J WOMENS HIST,1042-7961,1527-2036,0.3,0.367
JOURNAL OF WOOD CHEMISTRY AND TECHNOLOGY,J WOOD CHEM TECHNOL,0277-3813,1532-2319,2,0.32
JOURNAL OF WOOD SCIENCE,J WOOD SCI,1435-0211,1611-4663,2.9,0.466
JOURNAL OF WORLD BUSINESS,J WORLD BUS,1090-9516,1878-5573,8.9,2.441
JOURNAL OF WORLD ENERGY LAW & BUSINESS,J WORLD ENERGY LAW B,1754-9957,1754-9965,0.5,0.193
JOURNAL OF WORLD HISTORY,J WORLD HIST,1045-6007,1527-8050,0.9,1.118
JOURNAL OF WORLD PREHISTORY,J WORLD PREHIST,0892-7537,1573-7802,2,1.656
JOURNAL OF WORLD TRADE,J WORLD TRADE,1011-6702,2210-2795,0.8,0.307
JOURNAL OF WOUND CARE,J WOUND CARE,0969-0700,2062-2916,1.9,0.417
JOURNAL OF WOUND OSTOMY AND CONTINENCE NURSING,J WOUND OSTOMY CONT,1071-5754,1528-3976,2.6,0.404
JOURNAL OF WUHAN UNIVERSITY OF TECHNOLOGY-MATERIALS SCIENCE EDITION,J WUHAN UNIV TECHNOL,1000-2413,1993-0437,1.6,0.186
JOURNAL OF X-RAY SCIENCE AND TECHNOLOGY,J X-RAY SCI TECHNOL,0895-3996,1095-9114,3,0.269
JOURNAL OF YOUTH AND ADOLESCENCE,J YOUTH ADOLESCENCE,0047-2891,1573-6601,4.9,1.778
JOURNAL OF YOUTH STUDIES,J YOUTH STUD,1367-6261,1469-9680,1.9,0.714
JOURNAL OF ZHEJIANG UNIVERSITY-SCIENCE A,J ZHEJIANG UNIV-SC A,1673-565X,1862-1775,3.2,0.456
JOURNAL OF ZHEJIANG UNIVERSITY-SCIENCE B,J ZHEJIANG UNIV-SC B,1673-1581,1862-1783,5.1,0.624
JOURNAL OF ZOO AND WILDLIFE MEDICINE,J ZOO WILDLIFE MED,1042-7260,1937-2825,0.7,0.146
JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,J ZOOL SYST EVOL RES,0947-5745,1439-0469,1.9,0.54
JOURNAL OF ZOOLOGY,J ZOOL,0952-8369,1469-7998,2,0.529
JOURNAL ON MULTIMODAL USER INTERFACES,J MULTIMODAL USER IN,1783-7677,1783-8738,2.9,0.41
JOURNALISM,JOURNALISM,1464-8849,1741-3001,2.9,1.155
JOURNALISM STUDIES,JOURNALISM STUD,1461-670X,1469-9699,3,1.247
JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES,J GERONTOL A-BIOL,1079-5006,1758-535X,5.1,1.599
JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES,J GERONTOL B-PSYCHOL,1079-5014,1758-5368,6.2,1.661
JOVE-JOURNAL OF VISUALIZED EXPERIMENTS,JOVE-J VIS EXP,1940-087X,1940-087X,1.2,0.432
JPC-JOURNAL OF PLANAR CHROMATOGRAPHY-MODERN TLC,JPC-J PLANAR CHROMAT,0933-4173,1789-0993,1.6,0.144
JSLS-JOURNAL OF THE SOCIETY OF LAPAROENDOSCOPIC SURGEONS,JSLS-J SOC LAPAROEND,1086-8089,N/A,1.5,0.565
JUDAICA BOHEMIAE,JUD BOHEM,0022-5738,0022-5738,0.4,0
JUDGMENT AND DECISION MAKING,JUDGM DECIS MAK,1930-2975,1930-2975,2.5,1.242
JUNCTURES-THE JOURNAL FOR THEMATIC DIALOGUE,JUNCTURES,1176-5119,1179-8912,0.1,0.019
JUNDISHAPUR JOURNAL OF MICROBIOLOGY,JUNDISHAPUR J MICROB,2008-3645,2008-4161,0.6,0.101
JUNG JOURNAL-CULTURE & PSYCHE,JUNG J-CULT PSYCHE,1934-2039,1934-2047,0.1,0.162
JUSTICE QUARTERLY,JUSTICE Q,0741-8825,1745-9109,3.2,1.423
JUSTICE SYSTEM JOURNAL,JUSTICE SYST J,0098-261X,2327-7556,0.7,0.333
JUVENILE AND FAMILY COURT JOURNAL,JUVENILE FAM COURT J,0161-7109,1755-6988,0.4,0.167
KAFKAS UNIVERSITESI VETERINER FAKULTESI DERGISI,KAFKAS UNIV VET FAK,1300-6045,1309-2251,0.7,0.105
KAGAKU KOGAKU RONBUNSHU,KAGAKU KOGAKU RONBUN,0386-216X,N/A,0.4,0.052
KANTIAN REVIEW,KANTIAN REV,1369-4154,2044-2394,0.5,0.542
KANT-STUDIEN,KANT-STUD,0022-8877,1613-1134,0.5,0.605
KAOHSIUNG JOURNAL OF MEDICAL SCIENCES,KAOHSIUNG J MED SCI,1607-551X,2410-8650,3.3,0.581
KARDIOLOGIA POLSKA,KARDIOL POL,0022-9032,1897-4279,3.3,1.042
KARDIOLOGIYA,KARDIOLOGIYA,0022-9040,N/A,0.5,0.053
KEATS-SHELLEY JOURNAL,KEATS-SHELLEY J,0453-4387,N/A,0.1,0.597
KEATS-SHELLEY REVIEW,KEATS-SHELLEY REV,0952-4142,2042-1362,0.1,0.122
KEDI JOURNAL OF EDUCATIONAL POLICY,KEDI J EDUC POLICY,1739-4341,1739-4341,0.4,0.085
KENNEDY INSTITUTE OF ETHICS JOURNAL,KENNEDY INST ETHIC J,1054-6863,1086-3249,1.4,1.099
KENYON REVIEW,KENYON REV,0163-075X,2327-8307,0.1,0.187
KERNTECHNIK,KERNTECHNIK,0932-3902,2195-8580,0.5,0.075
KEW BULLETIN,KEW BULL,0075-5974,1874-933X,0.9,0.249
KGK-KAUTSCHUK GUMMI KUNSTSTOFFE,KGK-KAUT GUMMI KUNST,0948-3276,0948-3276,0.4,0.054
KIDNEY & BLOOD PRESSURE RESEARCH,KIDNEY BLOOD PRESS R,1420-4096,1423-0143,2.8,0.55
KIDNEY INTERNATIONAL,KIDNEY INT,0085-2538,1523-1755,19.6,4.393
KIDNEY INTERNATIONAL SUPPLEMENTS,KIDNEY INT SUPPL,2157-1724,2157-1716,5.5,3.591
KINDHEIT UND ENTWICKLUNG,KINDH ENTWICKL,0942-5403,2190-6246,0.6,0.098
KINEMATICS AND PHYSICS OF CELESTIAL BODIES,KINEMAT PHYS CELEST+,0884-5913,1934-8401,0.5,0.092
KINESIOLOGY,KINESIOLOGY,1331-1441,1848-638X,1.2,0.341
KINETIC AND RELATED MODELS,KINET RELAT MOD,1937-5093,1937-5077,1,0.883
KINETICS AND CATALYSIS,KINET CATAL+,0023-1584,1608-3210,1.1,0.123
KLEINTIERPRAXIS,KLEINTIERPRAXIS,0023-2076,N/A,0.1,0.009
