JournalFullName,Journal,ISSN,2021IF,2021AI
Journal of Interprofessional Care,J INTERPROF CARE,1356-1820,2.663,0.608
Journal of Intervention and Statebuilding,J INTERV STATEBUILD,1750-2977,1.77,0.787
JOURNAL OF INTERVENTIONAL CARDIAC ELECTROPHYSIOLOGY,J INTERV CARD ELECTR,1383-875X,1.759,0.492
JOURNAL OF INTERVENTIONAL CARDIOLOGY,J INTERV CARDIOL,0896-4327,1.776,0.57
JOURNAL OF INVASIVE CARDIOLOGY,J INVASIVE CARDIOL,1042-3931,1.711,0.484
Journal of Inverse and Ill-Posed Problems,J INVERSE ILL-POSE P,0928-0219,1.448,0.438
JOURNAL OF INVERTEBRATE PATHOLOGY,J INVERTEBR PATHOL,0022-2011,2.795,0.487
JOURNAL OF INVESTIGATIONAL ALLERGOLOGY AND CLINICAL IMMUNOLOGY,J INVEST ALLERG CLIN,1018-9068,8.185,1.353
JOURNAL OF INVESTIGATIVE DERMATOLOGY,J INVEST DERMATOL,0022-202X,7.59,2.275
JOURNAL OF INVESTIGATIVE MEDICINE,J INVEST MED,1081-5589,3.235,0.732
Journal of Investigative Psychology and Offender Profiling,J INVEST PSYCHOL OFF,1544-4759,1.119,0.408
JOURNAL OF INVESTIGATIVE SURGERY,J INVEST SURG,0894-1939,1.972,0.372
JOURNAL OF IRON AND STEEL RESEARCH INTERNATIONAL,J IRON STEEL RES INT,1006-706X,1.619,0.242
JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,J IRRIG DRAIN ENG,0733-9437,1.976,0.344
Journal of Israeli History,J ISR HIST,1353-1042,0.261,0.545
JOURNAL OF JAPANESE STUDIES,J JPN STUD,0095-6848,0.353,0.559
JOURNAL OF KING SAUD UNIVERSITY SCIENCE,J KING SAUD UNIV SCI,1018-3647,3.829,0.508
Journal of King Saud University-Computer and Information Sciences,J KING SAUD UNIV-COM,1319-1578,8.839,1.09
Journal of Knee Surgery,J KNEE SURG,1538-8506,2.501,0.652
JOURNAL OF KNOT THEORY AND ITS RAMIFICATIONS,J KNOT THEOR RAMIF,0218-2165,0.456,0.361
Journal of Knowledge Management,J KNOWL MANAG,1367-3270,8.689,1.156
Journal of Korea Trade,J KOREA TRADE,1229-828X,0.273,0.039
Journal of Korean Academy of Nursing,J KOREAN ACAD NURS,2005-3673,1.277,0.225
JOURNAL OF KOREAN MEDICAL SCIENCE,J KOREAN MED SCI,1011-8934,5.354,0.9
Journal of Korean Neurosurgical Society,J KOREAN NEUROSURG S,2005-3711,2.249,0.522
JOURNAL OF LABELLED COMPOUNDS & RADIOPHARMACEUTICALS,J LABELLED COMPD RAD,0362-4803,1.949,0.37
JOURNAL OF LABOR ECONOMICS,J LABOR ECON,0734-306X,4.179,7.559
JOURNAL OF LABOR RESEARCH,J LABOR RES,0195-3613,1.026,0.52
Journal of Laboratory Medicine,J LAB MED,2567-9430,0.989,0.155
Journal of Land Use Science,J LAND USE SCI,1747-423X,2.897,0.659
Journal of Language and Politics,J LANG POLIT,1569-2159,0.7,0.614
JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY,J LANG SOC PSYCHOL,0261-927X,2.098,0.691
Journal of Language Identity and Education,J LANG IDENTITY EDUC,1534-8458,1.77,0.765
Journal of Laparoendoscopic & Advanced Surgical Techniques,J LAPAROENDOSC ADV S,1092-6429,1.766,0.473
JOURNAL OF LARYNGOLOGY AND OTOLOGY,J LARYNGOL OTOL,0022-2151,2.187,0.515
JOURNAL OF LASER APPLICATIONS,J LASER APPL,1042-346X,2.521,0.373
Journal of Laser Micro Nanoengineering,J LASER MICRO NANOEN,1880-0688,1.386,0.212
Journal of Latin American and Caribbean Anthropology,J LAT AM CARIBB ANTH,1935-4932,0.851,0.531
Journal of Latin American Cultural Studies,J LAT AM CULT STUD,1356-9325,0.351,0.341
JOURNAL OF LATIN AMERICAN STUDIES,J LAT AM STUD,0022-216X,1.058,0.862
Journal of Latinx Psychology,J LATINX PSYCHOL,2578-8086,2.952,0.876
JOURNAL OF LAW & ECONOMICS,J LAW ECON,0022-2186,1.84,2.405
JOURNAL OF LAW AND SOCIETY,J LAW SOC,0263-323X,1.431,0.593
Journal of Law and the Biosciences,J LAW BIOSCI,2053-9711,6.066,1.579
JOURNAL OF LAW ECONOMICS & ORGANIZATION,J LAW ECON ORGAN,8756-6222,1.324,1.863
JOURNAL OF LAW MEDICINE & ETHICS,J LAW MED ETHICS,1073-1105,1.604,0.687
Journal of Leadership & Organizational Studies,J LEADERSH ORG STUD,1548-0518,3.611,1.111
JOURNAL OF LEARNING DISABILITIES,J LEARN DISABIL-US,0022-2194,3.407,1.171
Journal of Legal Analysis,J LEGAL ANAL,2161-7201,1.154,2.164
JOURNAL OF LEGAL MEDICINE,J LEGAL MED,0194-7648,0.703,0.446
JOURNAL OF LEGAL STUDIES,J LEGAL STUD,0047-2530,1.577,1.581
JOURNAL OF LEISURE RESEARCH,J LEISURE RES,0022-2216,2.888,0.562
JOURNAL OF LEUKOCYTE BIOLOGY,J LEUKOCYTE BIOL,0741-5400,6.011,1.413
JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,J LIBR INF SCI,0961-0006,1.82,0.452
JOURNAL OF LIE THEORY,J LIE THEORY,0949-5932,0.376,0.458
JOURNAL OF LIGHTWAVE TECHNOLOGY,J LIGHTWAVE TECHNOL,0733-8724,4.439,0.835
JOURNAL OF LIMNOLOGY,J LIMNOL,1129-5767,1.673,0.39
Journal of Linguistic Anthropology,J LINGUIST ANTHROPOL,1055-1360,0.939,0.809
JOURNAL OF LINGUISTICS,J LINGUIST,0022-2267,1.381,0.917
JOURNAL OF LIPID RESEARCH,J LIPID RES,0022-2275,6.676,1.682
JOURNAL OF LIPOSOME RESEARCH,J LIPOSOME RES,0898-2104,5.586,0.542
JOURNAL OF LIQUID CHROMATOGRAPHY & RELATED TECHNOLOGIES,J LIQ CHROMATOGR R T,1082-6076,1.467,0.171
JOURNAL OF LITERACY RESEARCH,J LIT RES,1086-296X,2.551,1.152
JOURNAL OF LOGIC AND COMPUTATION,J LOGIC COMPUT,0955-792X,0.509,0.432
Journal of Logic Language and Information,J LOGIC LANG INFORM,0925-8531,0.617,0.356
Journal of Logical and Algebraic Methods in Programming,J LOG ALGEBR METHODS,2352-2208,1.088,0.349
JOURNAL OF LOSS & TRAUMA,J LOSS TRAUMA,1532-5024,4.775,0.734
JOURNAL OF LOSS PREVENTION IN THE PROCESS INDUSTRIES,J LOSS PREVENT PROC,0950-4230,3.916,0.527
JOURNAL OF LOW FREQUENCY NOISE VIBRATION AND ACTIVE CONTROL,J LOW FREQ NOISE V A,1461-3484,2.368,0.359
JOURNAL OF LOW TEMPERATURE PHYSICS,J LOW TEMP PHYS,0022-2291,1.618,0.381
Journal of Lower Genital Tract Disease,J LOW GENIT TRACT DI,1089-2591,3.842,0.711
JOURNAL OF LUMINESCENCE,J LUMIN,0022-2313,4.171,0.431
JOURNAL OF MACHINE LEARNING RESEARCH,J MACH LEARN RES,1532-4435,5.177,3.363
JOURNAL OF MACROECONOMICS,J MACROECON,0164-0704,1.556,0.625
Journal of Macromarketing,J MACROMARKETING,0276-1467,1.979,0.421
Journal of Macromolecular Science Part A-Pure and Applied Chemistry,J MACROMOL SCI A,1060-1325,2.216,0.202
Journal of Macromolecular Science Part B-Physics,J MACROMOL SCI B,0022-2348,1.366,0.154
Journal of Magnesium and Alloys,J MAGNES ALLOY,2213-9567,11.813,1.365
JOURNAL OF MAGNETIC RESONANCE,J MAGN RESON,1090-7807,2.734,0.68
JOURNAL OF MAGNETIC RESONANCE IMAGING,J MAGN RESON IMAGING,1053-1807,5.119,1.218
Journal of Magnetics,J MAGN,1226-1750,0.551,0.091
JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,J MAGN MAGN MATER,0304-8853,3.097,0.412
JOURNAL OF MAMMALIAN EVOLUTION,J MAMM EVOL,1064-7554,2.412,0.683
JOURNAL OF MAMMALOGY,J MAMMAL,0022-2372,2.291,0.772
JOURNAL OF MAMMARY GLAND BIOLOGY AND NEOPLASIA,J MAMMARY GLAND BIOL,1083-3021,2.698,0.691
Journal of Managed Care & Specialty Pharmacy,J MANAG CARE SPEC PH,2376-0540,2.338,0.914
JOURNAL OF MANAGEMENT,J MANAGE,0149-2063,13.508,6.429
Journal of Management & Organization,J MANAGE ORGAN,1833-3672,3.64,0.735
JOURNAL OF MANAGEMENT IN ENGINEERING,J MANAGE ENG,0742-597X,6.415,0.747
JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,J MANAGE INFORM SYST,0742-1222,7.582,2.587
JOURNAL OF MANAGEMENT INQUIRY,J MANAGE INQUIRY,1056-4926,2.709,1.31
JOURNAL OF MANAGEMENT STUDIES,J MANAGE STUD,0022-2380,9.72,3.793
Journal of Managerial Psychology,J MANAGE PSYCHOL,0268-3946,4.043,1.029
JOURNAL OF MANIPULATIVE AND PHYSIOLOGICAL THERAPEUTICS,J MANIP PHYSIOL THER,0161-4754,1.3,0.554
Journal of Manufacturing Processes,J MANUF PROCESS,1526-6125,5.684,0.819
JOURNAL OF MANUFACTURING SCIENCE AND ENGINEERING-TRANSACTIONS OF THE ASME,J MANUF SCI E-T ASME,1087-1357,3.952,0.59
JOURNAL OF MANUFACTURING SYSTEMS,J MANUF SYST,0278-6125,9.498,1.246
Journal of Manufacturing Technology Management,J MANUF TECHNOL MANA,1741-038X,8.144,0.823
Journal of Maps,J MAPS,1744-5647,2.657,0.517
Journal of Marine Engineering and Technology,J MAR ENG TECHNOL,2046-4177,2.255,0.336
Journal of Marine Science and Engineering,J MAR SCI ENG,2077-1312,2.744,0.428
JOURNAL OF MARINE SCIENCE AND TECHNOLOGY,J MAR SCI TECH-JAPAN,0948-4280,1.947,0.369
Journal of Marine Science and Technology-Taiwan,J MAR SCI TECH-TAIW,1023-2796,0.462,0.105
JOURNAL OF MARINE SYSTEMS,J MARINE SYST,0924-7963,3.01,0.776
JOURNAL OF MARITAL AND FAMILY THERAPY,J MARITAL FAM THER,0194-472X,2.577,0.528
JOURNAL OF MARKETING,J MARKETING,0022-2429,15.36,5.259
Journal of Marketing for Higher Education,J MARK HIGH EDUC,0884-1241,3.906,0.539
Journal of Marketing Management,J MARKET MANAG-UK,0267-257X,4.707,1.124
JOURNAL OF MARKETING RESEARCH,J MARKETING RES,0022-2437,6.664,3.751
JOURNAL OF MARRIAGE AND FAMILY,J MARRIAGE FAM,0022-2445,4.917,1.84
JOURNAL OF MASS SPECTROMETRY,J MASS SPECTROM,1076-5174,2.394,0.393
JOURNAL OF MATERIAL CULTURE,J MAT CULT,1359-1835,1.269,0.9
Journal of Material Cycles and Waste Management,J MATER CYCLES WASTE,1438-4957,3.579,0.422
Journal of Materials Chemistry A,J MATER CHEM A,2050-7488,14.511,2.094
Journal of Materials Chemistry B,J MATER CHEM B,2050-750X,7.571,0.94
Journal of Materials Chemistry C,J MATER CHEM C,2050-7526,8.067,1.224
JOURNAL OF MATERIALS ENGINEERING AND PERFORMANCE,J MATER ENG PERFORM,1059-9495,2.036,0.296
JOURNAL OF MATERIALS IN CIVIL ENGINEERING,J MATER CIVIL ENG,0899-1561,3.651,0.679
JOURNAL OF MATERIALS PROCESSING TECHNOLOGY,J MATER PROCESS TECH,0924-0136,6.162,0.981
JOURNAL OF MATERIALS RESEARCH,J MATER RES,0884-2914,2.909,0.532
Journal of Materials Research and Technology-JMR&T,J MATER RES TECHNOL,2238-7854,6.267,0.745
JOURNAL OF MATERIALS SCIENCE,J MATER SCI,0022-2461,4.682,0.597
JOURNAL OF MATERIALS SCIENCE & TECHNOLOGY,J MATER SCI TECHNOL,1005-0302,10.319,1.221
JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS,J MATER SCI-MATER EL,0957-4522,2.779,0.278
JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE,J MATER SCI-MATER M,0957-4530,4.727,0.561
Journal of Materiomics,J MATERIOMICS,2352-8478,8.589,1.369
Journal of Maternal-Fetal & Neonatal Medicine,J MATERN-FETAL NEO M,1476-7058,2.323,0.544
JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,J MATH ANAL APPL,0022-247X,1.417,0.698
JOURNAL OF MATHEMATICAL BIOLOGY,J MATH BIOL,0303-6812,2.164,0.855
JOURNAL OF MATHEMATICAL CHEMISTRY,J MATH CHEM,0259-9791,2.413,0.312
JOURNAL OF MATHEMATICAL ECONOMICS,J MATH ECON,0304-4068,0.747,0.56
Journal of Mathematical Fluid Mechanics,J MATH FLUID MECH,1422-6928,1.907,0.865
JOURNAL OF MATHEMATICAL IMAGING AND VISION,J MATH IMAGING VIS,0924-9907,1.627,0.622
Journal of Mathematical Inequalities,J MATH INEQUAL,1846-579X,1.145,0.412
Journal of Mathematical Logic,J MATH LOG,0219-0613,1.229,1.498
Journal of Mathematical Neuroscience,J MATH NEUROSCI,2190-8567,2.407,0.893
JOURNAL OF MATHEMATICAL PHYSICS,J MATH PHYS,0022-2488,1.469,0.67
Journal of Mathematical Physics Analysis Geometry,J MATH PHYS ANAL GEO,1812-9471,0.692,0.458
JOURNAL OF MATHEMATICAL PSYCHOLOGY,J MATH PSYCHOL,0022-2496,1.387,1.303
JOURNAL OF MATHEMATICAL SOCIOLOGY,J MATH SOCIOL,0022-250X,1.152,0.774
Journal of Mathematics,J MATH-UK,2314-4629,1.555,0.287
Journal of Mathematics and Music,J MATH MUSIC,1745-9737,0.658,0.165
Journal of Mathematics Teacher Education,J MATH TEACH EDUC,1386-4416,1.786,0.956
JOURNAL OF MECHANICAL DESIGN,J MECH DESIGN,1050-0472,3.441,0.651
Journal of Mechanical Science and Technology,J MECH SCI TECHNOL,1738-494X,1.81,0.27
JOURNAL OF MECHANICS,J MECH,1727-7191,1.455,0.191
Journal of Mechanics in Medicine and Biology,J MECH MED BIOL,0219-5194,0.883,0.14
Journal of Mechanics of Materials and Structures,J MECH MATER STRUCT,1559-3959,1.795,0.335
Journal of Mechanisms and Robotics-Transactions of the ASME,J MECH ROBOT,1942-4302,2.576,0.542
Journal of Media Ethics,J MEDIA ETHICS,2373-6992,1.15,0.599
Journal of Media Psychology-Theories Methods and Applications,J MEDIA PSYCHOL-GER,1864-1105,2.31,1.227
Journal of Medical and Biological Engineering,J MED BIOL ENG,1609-0985,2.213,0.332
Journal of Medical Biochemistry,J MED BIOCHEM,1452-8258,2.157,0.349
Journal of Medical Devices-Transactions of the ASME,J MED DEVICES,1932-6181,0.743,0.209
JOURNAL OF MEDICAL ECONOMICS,J MED ECON,1369-6998,2.956,0.731
JOURNAL OF MEDICAL ENTOMOLOGY,J MED ENTOMOL,0022-2585,2.435,0.55
JOURNAL OF MEDICAL ETHICS,J MED ETHICS,0306-6800,5.926,1.201
JOURNAL OF MEDICAL GENETICS,J MED GENET,0022-2593,5.941,2.081
Journal of Medical Imaging and Radiation Oncology,J MED IMAG RADIAT ON,1754-9477,1.667,0.398
JOURNAL OF MEDICAL INTERNET RESEARCH,J MED INTERNET RES,1438-8871,7.076,1.769
JOURNAL OF MEDICAL MICROBIOLOGY,J MED MICROBIOL,0022-2615,3.196,0.645
JOURNAL OF MEDICAL PRIMATOLOGY,J MED PRIMATOL,0047-2565,0.821,0.152
JOURNAL OF MEDICAL SCREENING,J MED SCREEN,0969-1413,1.687,0.851
JOURNAL OF MEDICAL SYSTEMS,J MED SYST,0148-5598,4.92,0.815
Journal of Medical Toxicology,J MED TOXICOL,1556-9039,2.628,0.845
Journal of Medical Ultrasonics,J MED ULTRASON,1346-4523,1.878,0.276
JOURNAL OF MEDICAL VIROLOGY,J MED VIROL,0146-6615,20.693,2.778
JOURNAL OF MEDICINAL CHEMISTRY,J MED CHEM,0022-2623,8.039,1.579
JOURNAL OF MEDICINAL FOOD,J MED FOOD,1096-620X,2.542,0.385
JOURNAL OF MEDICINE AND PHILOSOPHY,J MED PHILOS,0360-5310,1.493,0.62
JOURNAL OF MEMBRANE BIOLOGY,J MEMBRANE BIOL,0022-2631,2.426,0.458
JOURNAL OF MEMBRANE SCIENCE,J MEMBRANE SCI,0376-7388,10.53,1.088
JOURNAL OF MEMORY AND LANGUAGE,J MEM LANG,0749-596X,4.521,2.201
Journal of Mens Health,J MENS HEALTH,1875-6867,0.789,0.113
Journal of Mental Health,J MENT HEALTH,0963-8237,3.681,1.019
Journal of Mental Health Policy and Economics,J MENT HEALTH POLICY,1091-4358,1.792,0.511
Journal of Mental Health Research in Intellectual Disabilities,J MENT HEALTH RES IN,1931-5864,2,0.599
JOURNAL OF METAMORPHIC GEOLOGY,J METAMORPH GEOL,0263-4929,4.472,1.676
Journal of Meteorological Research,J METEOROL RES-PRC,2095-6037,2.569,0.701
Journal of Micro-Nanolithography MEMS and MOEMS,J MICRO-NANOLITH MEM,1932-5150,1.167,0.167
JOURNAL OF MICROBIOLOGICAL METHODS,J MICROBIOL METH,0167-7012,2.622,0.448
JOURNAL OF MICROBIOLOGY,J MICROBIOL,1225-8873,2.902,0.741
JOURNAL OF MICROBIOLOGY AND BIOTECHNOLOGY,J MICROBIOL BIOTECHN,1017-7825,3.277,0.468
JOURNAL OF MICROBIOLOGY IMMUNOLOGY AND INFECTION,J MICROBIOL IMMUNOL,1684-1182,10.273,1.198
JOURNAL OF MICROELECTROMECHANICAL SYSTEMS,J MICROELECTROMECH S,1057-7157,2.829,0.508
JOURNAL OF MICROENCAPSULATION,J MICROENCAPSUL,0265-2048,4.034,0.476
JOURNAL OF MICROMECHANICS AND MICROENGINEERING,J MICROMECH MICROENG,0960-1317,2.282,0.403
JOURNAL OF MICROPALAEONTOLOGY,J MICROPALAEONTOL,0262-821X,2.28,0.52
JOURNAL OF MICROSCOPY,J MICROSC-OXFORD,0022-2720,1.952,0.509
JOURNAL OF MICROWAVE POWER AND ELECTROMAGNETIC ENERGY,J MICROWAVE POWER EE,0832-7823,1.85,0.23
Journal of Middle East Womens Studies,J MIDDLE E WOMENS ST,1552-5864,0.815,0.554
JOURNAL OF MIDWIFERY & WOMENS HEALTH,J MIDWIFERY WOM HEAL,1526-9523,2.891,0.749
Journal of Mineralogical and Petrological Sciences,J MINER PETROL SCI,1345-6296,1.041,0.402
Journal of Minimal Access Surgery,J MINIM ACCESS SURG,0972-9941,1.018,0.258
Journal of Minimally Invasive Gynecology,J MINIM INVAS GYN,1553-4650,4.314,0.899
Journal of Mining and Metallurgy Section B-Metallurgy,J MIN METALL B,1450-5339,1.311,0.148
JOURNAL OF MINING SCIENCE,J MIN SCI+,1062-7391,0.85,0.096
Journal of Mixed Methods Research,J MIX METHOD RES,1558-6898,5.746,1.321
JOURNAL OF MODERN AFRICAN STUDIES,J MOD AFR STUD,0022-278X,1.137,0.727
Journal of Modern Dynamics,J MOD DYNAM,1930-5311,0.641,0.9
Journal of Modern European History,J MOD EUR HIST,1611-8944,0.214,0.406
JOURNAL OF MODERN HISTORY,J MOD HIST,0022-2801,0.833,1.152
JOURNAL OF MODERN ITALIAN STUDIES,J MOD ITAL STUD,1354-571X,0.5,0.406
JOURNAL OF MODERN OPTICS,J MOD OPTIC,0950-0340,1.293,0.265
Journal of Modern Power Systems and Clean Energy,J MOD POWER SYST CLE,2196-5625,4.469,0.837
JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,J MOL CELL CARDIOL,0022-2828,5.763,1.335
JOURNAL OF MOLECULAR BIOLOGY,J MOL BIOL,0022-2836,6.151,2.179
Journal of Molecular Cell Biology,J MOL CELL BIOL,1674-2788,8.185,1.864
JOURNAL OF MOLECULAR DIAGNOSTICS,J MOL DIAGN,1525-1578,5.341,1.788
JOURNAL OF MOLECULAR ENDOCRINOLOGY,J MOL ENDOCRINOL,0952-5041,4.869,1.136
JOURNAL OF MOLECULAR EVOLUTION,J MOL EVOL,0022-2844,3.973,0.64
JOURNAL OF MOLECULAR GRAPHICS & MODELLING,J MOL GRAPH MODEL,1093-3263,2.942,0.378
JOURNAL OF MOLECULAR HISTOLOGY,J MOL HISTOL,1567-2379,3.156,0.468
JOURNAL OF MOLECULAR LIQUIDS,J MOL LIQ,0167-7322,6.633,0.677
JOURNAL OF MOLECULAR MEDICINE-JMM,J MOL MED,0946-2716,5.606,1.298
JOURNAL OF MOLECULAR MODELING,J MOL MODEL,1610-2940,2.172,0.275
JOURNAL OF MOLECULAR NEUROSCIENCE,J MOL NEUROSCI,0895-8696,2.866,0.527
JOURNAL OF MOLECULAR RECOGNITION,J MOL RECOGNIT,0952-3499,2.891,0.366
JOURNAL OF MOLECULAR SPECTROSCOPY,J MOL SPECTROSC,0022-2852,1.451,0.448
JOURNAL OF MOLECULAR STRUCTURE,J MOL STRUCT,0022-2860,3.841,0.315
JOURNAL OF MOLLUSCAN STUDIES,J MOLLUS STUD,0260-1230,1.631,0.396
JOURNAL OF MONETARY ECONOMICS,J MONETARY ECON,0304-3932,4.63,5.256
JOURNAL OF MONEY CREDIT AND BANKING,J MONEY CREDIT BANK,0022-2879,1.963,1.892
JOURNAL OF MORAL EDUCATION,J MORAL EDUC,0305-7240,1.398,0.528
Journal of Moral Philosophy,J MORAL PHILOS,1740-4681,0.537,0.681
JOURNAL OF MORPHOLOGY,J MORPHOL,0362-2525,1.966,0.481
JOURNAL OF MOTOR BEHAVIOR,J MOTOR BEHAV,0022-2895,1.358,0.343
Journal of Mountain Science,J MT SCI-ENGL,1672-6316,2.371,0.43
Journal of Movement Disorders,J MOV DISORD,2005-940X,4.229,1.169
JOURNAL OF MULTICULTURAL COUNSELING AND DEVELOPMENT,J MULTICULT COUNS D,0883-8534,0.833,0.878
Journal of Multidisciplinary Healthcare,J MULTIDISCIP HEALTH,1178-2390,2.919,0.916
JOURNAL OF MULTILINGUAL AND MULTICULTURAL DEVELOPMENT,J MULTILING MULTICUL,0143-4632,1.961,0.797
Journal of Multinational Financial Management,J MULTINATL FINANC M,1042-444X,4.482,0.616
JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING,J MULT-VALUED LOG S,1542-3980,0.78,0.129
JOURNAL OF MULTIVARIATE ANALYSIS,J MULTIVARIATE ANAL,0047-259X,1.387,1.006
JOURNAL OF MUSCLE RESEARCH AND CELL MOTILITY,J MUSCLE RES CELL M,0142-4319,3.352,0.626
JOURNAL OF MUSCULOSKELETAL & NEURONAL INTERACTIONS,J MUSCULOSKEL NEURON,1108-7161,1.864,0.494
JOURNAL OF MUSIC THERAPY,J MUSIC THER,0022-2917,2.645,0.59
Journal of Nano Research,J NANO RES-SW,1662-5250,1.78,0.145
JOURNAL OF NANOBIOTECHNOLOGY,J NANOBIOTECHNOL,1477-3155,9.429,1.506
Journal of Nanoelectronics and Optoelectronics,J NANOELECTRON OPTOE,1555-130X,0.697,0.062
Journal of Nanomaterials,J NANOMATER,1687-4110,3.791,0.439
JOURNAL OF NANOPARTICLE RESEARCH,J NANOPART RES,1388-0764,2.533,0.342
Journal of Nanophotonics,J NANOPHOTONICS,1934-2608,1.179,0.177
Journal of Nanostructure in Chemistry,J NANOSTRUCTURE CHEM,2008-9244,8,0.885
Journal of Natural Fibers,J NAT FIBERS,1544-0478,3.507,0.301
Journal of Natural Gas Science and Engineering,J NAT GAS SCI ENG,1875-5100,5.285,0.82
JOURNAL OF NATURAL HISTORY,J NAT HIST,0022-2933,0.947,0.278
Journal of Natural Medicines,J NAT MED-TOKYO,1340-3443,3.192,0.386
JOURNAL OF NATURAL PRODUCTS,J NAT PROD,0163-3864,4.803,0.786
JOURNAL OF NAVIGATION,J NAVIGATION,0373-4633,2.647,0.437
JOURNAL OF NEAR INFRARED SPECTROSCOPY,J NEAR INFRARED SPEC,0967-0335,1.576,0.329
JOURNAL OF NEMATOLOGY,J NEMATOL,0022-300X,1.481,0.308
Journal of Nepal Medical Association,J NEPAL MED ASSOC,0028-2715,0.556,0.1
JOURNAL OF NEPHROLOGY,J NEPHROL,1121-8428,4.393,0.897
JOURNAL OF NERVOUS AND MENTAL DISEASE,J NERV MENT DIS,0022-3018,1.899,0.629
JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,J NETW COMPUT APPL,1084-8045,7.574,1.071
Journal of Network and Systems Management,J NETW SYST MANAG,1064-7570,2.198,0.288
Journal of Neural Engineering,J NEURAL ENG,1741-2560,5.043,1.336
JOURNAL OF NEURAL TRANSMISSION,J NEURAL TRANSM,0300-9564,3.85,0.928
JOURNAL OF NEURO-ONCOLOGY,J NEURO-ONCOL,0167-594X,4.506,1.001
JOURNAL OF NEURO-OPHTHALMOLOGY,J NEURO-OPHTHALMOL,1070-8022,4.415,1.007
JOURNAL OF NEUROCHEMISTRY,J NEUROCHEM,0022-3042,5.546,1.299
Journal of Neurodevelopmental Disorders,J NEURODEV DISORD,1866-1947,4.074,1.467
JOURNAL OF NEUROENDOCRINOLOGY,J NEUROENDOCRINOL,0953-8194,3.87,0.875
Journal of NeuroEngineering and Rehabilitation,J NEUROENG REHABIL,1743-0003,5.208,1.256
Journal of Neurogastroenterology and Motility,J NEUROGASTROENTEROL,2093-0879,4.725,1.205
JOURNAL OF NEUROGENETICS,J NEUROGENET,0167-7063,1.696,0.627
JOURNAL OF NEUROIMAGING,J NEUROIMAGING,1051-2284,2.324,0.684
Journal of Neuroimmune Pharmacology,J NEUROIMMUNE PHARM,1557-1890,7.285,1.101
JOURNAL OF NEUROIMMUNOLOGY,J NEUROIMMUNOL,0165-5728,3.221,0.717
Journal of Neuroinflammation,J NEUROINFLAMM,1742-2094,9.587,1.861
Journal of NeuroInterventional Surgery,J NEUROINTERV SURG,1759-8478,8.572,1.615
JOURNAL OF NEUROLINGUISTICS,J NEUROLINGUIST,0911-6044,2.373,0.671
Journal of Neurologic Physical Therapy,J NEUROL PHYS THER,1557-0576,4.655,1.198
Journal of Neurological Surgery Part A-Central European Neurosurgery,J NEUROL SURG PART A,2193-6315,0.984,0.229
Journal of Neurological Surgery Part B-Skull Base,J NEUROL SURG PART B,2193-6331,1.407,0.506
JOURNAL OF NEUROLOGY,J NEUROL,0340-5354,6.682,1.591
JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY,J NEUROL NEUROSUR PS,0022-3050,13.654,3.469
JOURNAL OF NEUROPATHOLOGY AND EXPERIMENTAL NEUROLOGY,J NEUROPATH EXP NEUR,0022-3069,3.148,1.079
JOURNAL OF NEUROPHYSIOLOGY,J NEUROPHYSIOL,0022-3077,2.974,1.011
JOURNAL OF NEUROPSYCHIATRY AND CLINICAL NEUROSCIENCES,J NEUROPSYCH CLIN N,0895-0172,2.891,0.795
Journal of Neuropsychology,J NEUROPSYCHOL,1748-6645,2.276,0.668
JOURNAL OF NEURORADIOLOGY,J NEURORADIOLOGY,0150-9861,4.6,0.865
JOURNAL OF NEUROSCIENCE,J NEUROSCI,0270-6474,6.709,2.548
JOURNAL OF NEUROSCIENCE METHODS,J NEUROSCI METH,0165-0270,2.987,0.892
JOURNAL OF NEUROSCIENCE NURSING,J NEUROSCI NURS,0888-0395,1.627,0.348
Journal of Neuroscience Psychology and Economics,J NEUROSCI PSYCHOL E,1937-321X,1.28,0.548
JOURNAL OF NEUROSCIENCE RESEARCH,J NEUROSCI RES,0360-4012,4.433,1.173
JOURNAL OF NEUROSURGERY,J NEUROSURG,0022-3085,5.408,1.356
Journal of Neurosurgery-Pediatrics,J NEUROSURG-PEDIATR,1933-0707,2.713,0.785
JOURNAL OF NEUROSURGERY-SPINE,J NEUROSURG-SPINE,1547-5654,3.467,1.158
JOURNAL OF NEUROSURGICAL ANESTHESIOLOGY,J NEUROSURG ANESTH,0898-4921,3.969,0.686
Journal of Neurosurgical Sciences,J NEUROSURG SCI,0390-5616,2.392,0.54
JOURNAL OF NEUROTRAUMA,J NEUROTRAUM,0897-7151,4.869,1.243
